pool_id,split,net_return_mean_delta_vs_global_baseline_A,p10_delta_vs_global_baseline_A,loss_le_minus5_delta_vs_global_baseline_A,max_gain50_rate_delta_vs_global_baseline_A
baseline_A_r04_included_rps_episode_first_trigger,train,0.0,0.0,0.0,0.0
baseline_A_r04_included_rps_episode_first_trigger,validation,0.0,0.0,0.0,0.0
baseline_A_r04_included_rps_episode_first_trigger,robustness,0.0,0.0,0.0,0.0
r04_rps95,robustness,-0.05525799035776992,-0.04061628495339978,0.0886764705882353,-0.040664629488158896
r04_rps95,train,0.033575809395002945,-0.0380162949788459,-0.027286152630660254,0.08363917955125202
r04_rps95,validation,-0.02751788089007398,-0.05234726436370202,0.055724898563312864,0.07298976771370703
r04_rps95_money80,train,0.03194151178272704,-0.041354966294715134,-0.04990342738866471,0.09757829950303018
r04_rps95_money80,validation,-0.04798937996873148,-0.05799883238286285,0.09469504654038918,0.10339777387229056
r04_rps95_money80,robustness,-0.051991794691157486,-0.03454790773427269,0.1166358024691358,-0.022322163433274533
r04_rps95_industry80,robustness,-0.05306374663029632,-0.0406831214353372,0.08500000000000002,-0.039327731092436966
r04_rps95_industry80,validation,-0.017912240906344953,-0.03944680536380696,0.04042927917558026,0.09008573979348332
r04_rps95_industry80,train,0.06062171257158909,-0.014619828854758155,-0.06998888040946893,0.11216178733253487
r04_rps95_industry_relative10,robustness,-0.0028889790817517927,-0.020270647787889867,0.015921052631578947,0.0055639097744360905
r04_rps95_industry_relative10,validation,-0.0704955003478567,-0.06739233291601021,0.07213612398146663,0.027640198114714812
r04_rps95_industry_relative10,train,-0.12866622465646155,-0.15031902088598614,0.19839258040101398,-0.00802748711541465
r02_precision_momentum_rps,train,-0.028287275845039435,-0.002139835010726565,0.021107553869756268,-0.04493931900212092
r02_precision_momentum_rps,validation,0.031442017158867325,0.018548454734316322,-0.06788021706580227,0.0009658415434510154
r02_precision_momentum_rps,robustness,0.009038388835038283,0.031658757574241164,-0.05290816326530612,-0.017346938775510204
r02_precision_oscillator,train,-0.03744259315295017,0.005504759314654606,0.006909546738718408,-0.057939613653200245
r02_precision_oscillator,validation,0.036135746250853265,0.03138796903592611,-0.1008311727482063,-0.006503216226719337
r02_precision_oscillator,robustness,0.01819268989271093,0.04455060620551238,-0.08751997336884154,-0.015653414494959092
r02_precision_price_trend,train,-0.03488546858065051,-0.00025590484175708195,0.019921861009578434,-0.05926363374798074
r02_precision_price_trend,validation,0.03025542983726414,0.01580382327508395,-0.07976813259205062,-0.00023387333912318342
r02_precision_price_trend,robustness,0.02676324824015583,0.050623724404163434,-0.07999793559042112,-0.004682080924855489
r02_precision_pullback_drawdown,train,-0.03537070058697614,0.01278623090608022,0.016962057697212762,-0.05687980413576979
r02_precision_pullback_drawdown,validation,0.04214291324160434,0.026719810192009252,-0.09575968275989394,0.004593821714204249
r02_precision_pullback_drawdown,robustness,0.02276306599283269,0.05437600218960198,-0.0874683544303797,-0.014755877034358045
r02_precision_range_breakout,train,-0.047376366413686206,0.004306894037197695,0.015385014196726443,-0.0686832248203327
r02_precision_range_breakout,validation,0.041880785265058784,0.0357091422046798,-0.10940905756371488,0.0005449210194377191
r02_precision_range_breakout,robustness,0.024492850480113973,0.053836369812747836,-0.09884146341463412,-0.007166085946573739
r02_precision_volatility_band,train,-0.02684387292694465,0.013149429822263414,0.0005022354518454675,-0.056003040973321455
r02_precision_volatility_band,validation,0.03265621276603814,0.01927616498461765,-0.09126713942179676,-0.00452763405311736
r02_precision_volatility_band,robustness,0.02248468753047389,0.04738359599776845,-0.09687182280319534,-0.012639277933395573
r02_precision_volume_money,train,-0.034235882298767506,0.013299605340688803,0.004025142517240621,-0.06319757805512499
r02_precision_volume_money,validation,0.043029004707689486,0.027578626754073243,-0.10999127243164403,-0.003319913202539368
r02_precision_volume_money,robustness,0.0170686352826937,0.044259908704397,-0.09364616870573084,-0.011118572348449998
