pool_id,pool_event_count,baseline_A_event_count,overlap_with_baseline_A_count,overlap_with_baseline_A_share,pool_unique_event_share,max_pairwise_jaccard_with_other_pools,max_pairwise_jaccard_pool_id
baseline_A_r04_included_rps_episode_first_trigger,12973,12973,12973,1.0,0.0,0.3367755532139094,r02_precision_momentum_rps
r04_rps95,1685,12973,1685,1.0,0.0,0.7531157270029674,r04_rps95_industry80
r04_rps95_money80,1106,12973,1106,1.0,0.0,0.656379821958457,r04_rps95
r04_rps95_industry80,1269,12973,1269,1.0,0.0,0.7531157270029674,r04_rps95
r04_rps95_industry_relative10,212,12973,212,1.0,0.0,0.1258160237388724,r04_rps95
r02_precision_momentum_rps,6056,12973,4794,0.7916116248348745,0.20838837516512554,0.3367755532139094,baseline_A_r04_included_rps_episode_first_trigger
r02_precision_oscillator,7675,12973,2039,0.26566775244299673,0.7343322475570033,0.19502359502359504,r02_precision_price_trend
r02_precision_price_trend,6253,12973,2556,0.408763793379178,0.591236206620822,0.30102526160025367,r02_precision_momentum_rps
r02_precision_pullback_drawdown,6266,12973,2156,0.34407915735716565,0.6559208426428343,0.2660022603513819,r02_precision_momentum_rps
r02_precision_range_breakout,6558,12973,1444,0.22018908203720647,0.7798109179627936,0.2158671586715867,r02_precision_volume_money
r02_precision_volatility_band,7115,12973,2189,0.30765987350667606,0.692340126493324,0.24087997772208297,r02_precision_price_trend
r02_precision_volume_money,7940,12973,1677,0.21120906801007558,0.7887909319899244,0.2158671586715867,r02_precision_range_breakout
