pool_id,pool_family_id,pool_source_id,adapter_id,pool_promotability_status,split,event_count,replay_complete_count,censored_count,censored_share,net_return_mean,net_return_median,net_return_p10,net_return_p25,net_return_p75,net_return_p90,loss_le_minus5_rate,loss_le_minus10_rate,max_drawdown_p50,max_drawdown_p90,max_gain50_count,max_gain50_rate,max_gain120d_p90,avg_holding_days,top1_calendar_year_share,top1_instrument_share,top5_instrument_share,top1_industry_share,calendar_year_count,instrument_count,industry_count,pool_denominator_status
baseline_A_r04_included_rps_episode_first_trigger,control_baseline_A,r04_baseline_A,control_baseline_A,control_baseline,train,6656,6403,253,0.038010817307692304,0.07641810034567485,0.0043620293187831465,-0.2675522891050917,-0.15406607840186887,0.22705934765828661,0.5253204755426624,0.41699203498360143,0.3345306887396533,-0.14594590663909912,-0.015780925750732422,1332,0.20802748711541466,0.7656922340393066,121.0,0.33499921911603936,0.010932375449008278,0.04903951272840856,0.10651257223176636,5,329,30,sufficient
baseline_A_r04_included_rps_episode_first_trigger,control_baseline_A,r04_baseline_A,control_baseline_A,control_baseline,validation,3453,3414,39,0.011294526498696786,-0.06377282782391708,-0.08206951356512338,-0.2938227651154334,-0.19401315480633513,0.045430730930314564,0.18969105131633052,0.5793790275336849,0.45869947275922673,-0.18129923939704895,-0.03793560266494746,216,0.0632688927943761,0.4106032729148865,121.0,0.6657879320445226,0.00849443468072642,0.04159343878148798,0.08875219683655536,2,296,29,sufficient
baseline_A_r04_included_rps_episode_first_trigger,control_baseline_A,r04_baseline_A,control_baseline_A,control_baseline,robustness,2864,2800,64,0.0223463687150838,0.06117699975983362,0.02315686820441231,-0.19918835019175754,-0.10305872520372802,0.15706190032341094,0.33667639539833516,0.3525,0.2546428571428571,-0.1237337589263916,-0.016591238975524926,316,0.11285714285714285,0.5320515871047973,121.0,0.6839285714285714,0.010357142857142856,0.04785714285714285,0.1275,2,274,26,sufficient
r04_rps95,r04_deterministic_auxiliary,r04_baseline_A,r04_deterministic_auxiliary,promotable,robustness,384,374,10,0.026041666666666668,0.005919009402063701,-0.028349774755157438,-0.23980463514515732,-0.1413985605613326,0.1099775512463268,0.2686432948135363,0.4411764705882353,0.3449197860962567,-0.1813468635082245,-0.02416159510612489,27,0.07219251336898395,0.4535723447799683,121.0,0.6524064171122995,0.03208556149732621,0.12032085561497327,0.20320855614973263,2,131,22,insufficient
r04_rps95,r04_deterministic_auxiliary,r04_baseline_A,r04_deterministic_auxiliary,promotable,train,860,816,44,0.05116279069767442,0.1099939097406778,0.03759977866399632,-0.3055685840839376,-0.1657005524528723,0.3268698939416282,0.61407990401629,0.3897058823529412,0.3284313725490196,-0.17081356048583984,-0.011334717273712158,238,0.2916666666666667,0.9182376861572266,121.0,0.32598039215686275,0.031862745098039214,0.11764705882352941,0.14705882352941177,5,184,29,sufficient
r04_rps95,r04_deterministic_auxiliary,r04_baseline_A,r04_deterministic_auxiliary,promotable,validation,441,433,8,0.018140589569160998,-0.09129070871399106,-0.1242433639333288,-0.34617002947913544,-0.24851356056809626,0.011816439742432062,0.17694847782713324,0.6351039260969977,0.5496535796766744,-0.22035479545593262,-0.05578501224517822,59,0.13625866050808313,0.5446144104003907,121.0,0.648960739030023,0.02771362586605081,0.11547344110854504,0.12240184757505773,2,143,27,sufficient
r04_rps95_money80,r04_deterministic_auxiliary,r04_baseline_A,r04_deterministic_auxiliary,promotable,train,584,553,31,0.053082191780821915,0.1083596121284019,0.05102122557403031,-0.30890725539980685,-0.1540739372016714,0.3085632961098734,0.5843213305971627,0.3670886075949367,0.31103074141048825,-0.172807514667511,-0.009767150878906245,169,0.30560578661844484,0.8880450963974,121.0,0.3182640144665461,0.03616636528028933,0.15732368896925858,0.18625678119349007,5,132,26,sufficient
r04_rps95_money80,r04_deterministic_auxiliary,r04_baseline_A,r04_deterministic_auxiliary,promotable,validation,275,270,5,0.01818181818181818,-0.11176220779264856,-0.15707851576769122,-0.3518215974982963,-0.27452643777783914,-0.012088601661133912,0.17334304300504047,0.674074074074074,0.6074074074074074,-0.2293713092803955,-0.056068146228790285,45,0.16666666666666666,0.6068331718444824,121.0,0.5740740740740741,0.037037037037037035,0.16296296296296292,0.15185185185185185,2,87,25,insufficient
r04_rps95_money80,r04_deterministic_auxiliary,r04_baseline_A,r04_deterministic_auxiliary,promotable,robustness,247,243,4,0.016194331983805668,0.009185205068676136,-0.03534904879349145,-0.23373625792603023,-0.1430870879239961,0.11129699715315877,0.2660202470571834,0.4691358024691358,0.36213991769547327,-0.19289475679397583,-0.029975104331970197,22,0.09053497942386832,0.46871461868286135,121.0,0.6872427983539094,0.03292181069958848,0.15226337448559674,0.26337448559670784,2,85,19,insufficient
r04_rps95_industry80,r04_deterministic_auxiliary,r04_baseline_A,r04_deterministic_auxiliary,promotable,robustness,278,272,6,0.02158273381294964,0.008113253129537304,-0.030461627961595468,-0.23987147162709474,-0.1431719598100412,0.11975747685081245,0.2927791127409678,0.4375,0.3713235294117647,-0.18422478437423706,-0.03560535311698913,20,0.07352941176470588,0.46301721334457396,121.0,0.6470588235294118,0.04411764705882353,0.1433823529411765,0.20955882352941177,2,105,21,insufficient
