pool_id,split,matched_comparator_status,matched_comparator_count,matched_comparator_unique_event_count,matched_comparator_effective_sample_size,matched_pool_event_count,pool_net_return_mean,matched_baseline_net_return_mean,net_return_mean_delta_vs_matched_baseline_A,pool_net_return_p10,matched_baseline_net_return_p10,p10_delta_vs_matched_baseline_A,pool_loss_le_minus5_rate,matched_baseline_loss_le_minus5_rate,loss_le_minus5_delta_vs_matched_baseline_A,pool_max_gain50_rate,matched_baseline_max_gain50_rate,max_gain50_rate_delta_vs_matched_baseline_A,pool_top1_calendar_year_share,matched_baseline_top1_calendar_year_share,top1_calendar_year_share_delta_vs_matched_baseline_A,pool_top1_instrument_share,matched_baseline_top1_instrument_share,top1_instrument_share_delta_vs_matched_baseline_A
baseline_A_r04_included_rps_episode_first_trigger,train,sufficient,6403,6403,6403.0,6403,0.07641810034567485,0.07641810034567485,0.0,-0.2675522891050917,-0.26764239513255,9.01060274582921e-05,0.41699203498360143,0.41699203498360143,0.0,0.20802748711541466,0.20802748711541466,0.0,0.33499921911603936,0.33499921911603936,0.0,0.010932375449008278,0.010932375449008278,0.0
baseline_A_r04_included_rps_episode_first_trigger,validation,sufficient,3414,3414,3414.0,3414,-0.06377282782391708,-0.06377282782391708,0.0,-0.2938227651154334,-0.2938547224858063,3.1957370372870386e-05,0.5793790275336849,0.5793790275336849,0.0,0.0632688927943761,0.0632688927943761,0.0,0.6657879320445226,0.6657879320445226,0.0,0.00849443468072642,0.00849443468072642,0.0
baseline_A_r04_included_rps_episode_first_trigger,robustness,sufficient,2800,2800,2800.0,2800,0.06117699975983362,0.06117699975983362,0.0,-0.19918835019175754,-0.1992608785355895,7.252834383195128e-05,0.3525,0.3525,0.0,0.11285714285714285,0.11285714285714285,0.0,0.6839285714285714,0.6839285714285714,0.0,0.010357142857142856,0.010357142857142856,0.0
r04_rps95,robustness,sufficient,41095,2599,1933.638822638145,374,0.005919009402063701,0.07284258968812367,-0.06692358028605996,-0.23980463514515732,-0.20393922197805325,-0.035865413167104065,0.4411764705882353,0.3527298728991073,0.08844659768912799,0.07219251336898395,0.1250047528922473,-0.052812239523263346,0.6524064171122995,0.6524064171122995,0.0,0.03208556149732621,0.015360576616042189,0.016724984881284016
r04_rps95,train,sufficient,132201,5847,4539.3065727271705,816,0.1099939097406778,0.08493917546167712,0.02505473427900068,-0.3055685840839376,-0.26548928984883463,-0.04007929423510298,0.3897058823529412,0.40139725978683777,-0.011691377433896588,0.2916666666666667,0.22754486359807435,0.06412180306859233,0.32598039215686275,0.32598039215686275,0.0,0.031862745098039214,0.011989408039947693,0.019873337058091523
r04_rps95,validation,sufficient,56614,3307,2584.501935143223,433,-0.09129070871399106,-0.06753603414263455,-0.023754674571356507,-0.34617002947913544,-0.298470971230761,-0.04769905824837445,0.6351039260969977,0.5861807502780723,0.04892317581892547,0.13625866050808313,0.0759851821881832,0.06027347831989993,0.648960739030023,0.648960739030023,0.0,0.02771362586605081,0.012093371346928648,0.015620254519122162
r04_rps95_money80,train,sufficient,84357,5602,3893.338484204468,553,0.1083596121284019,0.0777101710494568,0.0306494410789451,-0.30890725539980685,-0.26198162856473345,-0.0469256268350734,0.3670886075949367,0.3988737443313191,-0.03178513673638239,0.30560578661844484,0.21960166933789552,0.08600411728054932,0.3182640144665461,0.3182640144665461,0.0,0.03616636528028933,0.014532841063232457,0.021633524217056874
r04_rps95_money80,validation,sufficient,35043,3024,2008.1822239145033,270,-0.11176220779264856,-0.07150235338367239,-0.04025985440897617,-0.3518215974982963,-0.3051565206573335,-0.04666507684096277,0.674074074074074,0.5933946833876439,0.08067939068643015,0.16666666666666666,0.08283334376691842,0.08383332289974824,0.5740740740740741,0.5740740740740741,0.0,0.037037037037037035,0.015821242532991903,0.02121579450404513
r04_rps95_money80,robustness,sufficient,28490,2472,1662.86210985457,243,0.009185205068676136,0.06263962031423995,-0.05345441524556381,-0.23373625792603023,-0.20920574967272199,-0.024530508253308242,0.4691358024691358,0.3786884404558884,0.09044736201324738,0.09053497942386832,0.12409699474723544,-0.033562015323367125,0.6872427983539094,0.6872427983539094,0.0,0.03292181069958848,0.018408154775028367,0.014513655924560113
r04_rps95_industry80,robustness,sufficient,30818,2174,1532.9179196353605,272,0.008113253129537304,0.07189033635475639,-0.06377708322521909,-0.23987147162709474,-0.1982962045097818,-0.041575267117312936,0.4375,0.345351075960554,0.09214892403944602,0.07352941176470588,0.1186625869831835,-0.04513317521847761,0.6470588235294118,0.6470588235294118,0.0,0.04411764705882353,0.016259780388577887,0.027857866670245646
r04_rps95_industry80,train,sufficient,104329,5238,3869.028095543835,634,0.13703981291726394,0.09202002977359783,0.045019783143666114,-0.28217211795984987,-0.26274654963194327,-0.019425568327906595,0.3470031545741325,0.3934419350445731,-0.04643878047044059,0.32018927444794953,0.23761206408362195,0.08257721036432758,0.32334384858044163,0.32334384858044163,0.0,0.04100946372239748,0.012344586705600806,0.028664877016796673
r04_rps95_industry80,validation,sufficient,42001,2670,2008.4555511176604,313,-0.08168506873026203,-0.06685699410420338,-0.014828074626058646,-0.3332695704792404,-0.2986020637826822,-0.03466750669655816,0.6198083067092651,0.5847228602760975,0.03508544643316758,0.15335463258785942,0.0858685138777429,0.06748611871011652,0.6357827476038339,0.6357827476038339,0.0,0.02875399361022364,0.01541044184530191,0.01334355176492173
r04_rps95_industry_relative10,robustness,sufficient,4574,851,641.0563581648443,76,0.05828802067808183,0.14700148105973382,-0.08871346038165198,-0.2194589979796474,-0.14590416150194407,-0.07355483647770333,0.3684210526315789,0.25002675924629053,0.1183942933852884,0.11842105263157894,0.17423034846406169,-0.055809295832482744,0.5657894736842105,0.5657894736842105,0.0,0.05263157894736842,0.025238835563170775,0.027392743384197643
r04_rps95_industry_relative10,validation,sufficient,4052,1280,724.9837696388917,66,-0.13426832817177378,-0.07938286824691669,-0.05488545992485709,-0.36121509803144364,-0.3030891272447947,-0.05812597078664894,0.6515151515151515,0.5863391109698861,0.06517604054526538,0.09090909090909091,0.03722816439794712,0.05368092651114379,0.7878787878787878,0.7878787878787878,0.0,0.10606060606060606,0.02060350509330398,0.08545710096730208
r04_rps95_industry_relative10,train,sufficient,4906,1156,720.5202605062175,65,-0.05224812431078671,0.020873145895090848,-0.07312127020587755,-0.41787130999107786,-0.299227252778069,-0.11864405721300886,0.6153846153846154,0.4930622364538869,0.1223223789307285,0.2,0.16336507741871775,0.03663492258128226,0.5538461538461539,0.5538461538461539,0.0,0.09230769230769231,0.022074950740754978,0.07023274156693733
