pool_id,split,top1_calendar_year_share,matched_baseline_top1_calendar_year_share,absolute_year_concentration_flag,relative_year_concentration_flag,top1_instrument_share,matched_baseline_top1_instrument_share,relative_instrument_concentration_flag,top5_instrument_share,top1_industry_share
baseline_A_r04_included_rps_episode_first_trigger,train,0.33499921911603936,0.33499921911603936,False,False,0.010932375449008278,0.010932375449008278,False,0.04903951272840856,0.10651257223176636
baseline_A_r04_included_rps_episode_first_trigger,validation,0.6657879320445226,0.6657879320445226,True,False,0.00849443468072642,0.00849443468072642,False,0.04159343878148798,0.08875219683655536
baseline_A_r04_included_rps_episode_first_trigger,robustness,0.6839285714285714,0.6839285714285714,True,False,0.010357142857142856,0.010357142857142856,False,0.04785714285714285,0.1275
r04_rps95,robustness,0.6524064171122995,0.6524064171122995,True,False,0.03208556149732621,0.015360576616042189,False,0.12032085561497327,0.20320855614973263
r04_rps95,train,0.32598039215686275,0.32598039215686275,False,False,0.031862745098039214,0.011989408039947693,False,0.11764705882352941,0.14705882352941177
r04_rps95,validation,0.648960739030023,0.648960739030023,True,False,0.02771362586605081,0.012093371346928648,False,0.11547344110854504,0.12240184757505773
r04_rps95_money80,train,0.3182640144665461,0.3182640144665461,False,False,0.03616636528028933,0.014532841063232457,False,0.15732368896925858,0.18625678119349007
r04_rps95_money80,validation,0.5740740740740741,0.5740740740740741,True,False,0.037037037037037035,0.015821242532991903,False,0.16296296296296292,0.15185185185185185
r04_rps95_money80,robustness,0.6872427983539094,0.6872427983539094,True,False,0.03292181069958848,0.018408154775028367,False,0.15226337448559674,0.26337448559670784
r04_rps95_industry80,robustness,0.6470588235294118,0.6470588235294118,True,False,0.04411764705882353,0.016259780388577887,False,0.1433823529411765,0.20955882352941177
r04_rps95_industry80,validation,0.6357827476038339,0.6357827476038339,True,False,0.02875399361022364,0.01541044184530191,False,0.14057507987220447,0.14696485623003194
r04_rps95_industry80,train,0.32334384858044163,0.32334384858044163,False,False,0.04100946372239748,0.012344586705600806,False,0.14353312302839116,0.1529968454258675
r04_rps95_industry_relative10,robustness,0.5657894736842105,0.5657894736842105,True,False,0.05263157894736842,0.025238835563170775,True,0.25,0.35526315789473684
r04_rps95_industry_relative10,validation,0.7878787878787878,0.7878787878787878,True,False,0.10606060606060606,0.02060350509330398,True,0.40909090909090906,0.25757575757575757
r04_rps95_industry_relative10,train,0.5538461538461539,0.5538461538461539,True,False,0.09230769230769231,0.022074950740754978,True,0.3230769230769231,0.2923076923076923
r02_precision_momentum_rps,train,0.31155778894472363,0.31155778894472363,False,False,0.008222932846048425,0.010858030846812233,False,0.03928734582000914,0.1187756966651439
r02_precision_momentum_rps,validation,0.63441712926249,0.63441712926249,True,False,0.007137192704203013,0.00989329603052292,False,0.03251387787470261,0.0880253766851705
r02_precision_momentum_rps,robustness,0.6922448979591836,0.6922448979591836,True,False,0.007346938775510204,0.009604454268436056,False,0.03346938775510205,0.11020408163265306
r02_precision_oscillator,train,0.30755711775043937,0.30755711775043937,False,False,0.007381370826010545,0.01160585937627555,False,0.035852372583479786,0.12231985940246046
r02_precision_oscillator,validation,0.6079207920792079,0.6079207920792079,True,False,0.006600660066006601,0.00981808200325419,False,0.03036303630363036,0.10561056105610561
r02_precision_oscillator,robustness,0.6611185086551264,0.6611185086551264,True,False,0.007323568575233023,0.010053305778680497,False,0.03195739014647137,0.12383488681757657
r02_precision_price_trend,train,0.3052003410059676,0.3052003410059676,False,False,0.0076726342710997444,0.010902482620452117,False,0.03751065643648764,0.12105711849957375
r02_precision_price_trend,validation,0.6233463035019455,0.6233463035019455,True,False,0.007003891050583658,0.00963440917356219,False,0.03268482490272374,0.08949416342412451
r02_precision_price_trend,robustness,0.70355078447564,0.70355078447564,True,False,0.008257638315441783,0.009065694993946147,False,0.03633360858794385,0.0957886044591247
r02_precision_pullback_drawdown,train,0.2992637505413599,0.2992637505413599,False,False,0.007795582503248159,0.011758552448110249,False,0.037678648765699436,0.1281940233867475
r02_precision_pullback_drawdown,validation,0.6318252730109204,0.6318252730109204,True,False,0.0070202808112324495,0.009931218466898636,False,0.031981279251170044,0.09204368174726989
r02_precision_pullback_drawdown,robustness,0.6962025316455697,0.6962025316455697,True,False,0.007120253164556962,0.010377583033025292,False,0.03322784810126582,0.11629746835443038
r02_precision_range_breakout,train,0.294672131147541,0.294672131147541,False,False,0.00860655737704918,0.01328444061049312,False,0.036885245901639344,0.12991803278688524
r02_precision_range_breakout,validation,0.6501501501501501,0.6501501501501501,True,False,0.006006006006006006,0.011434567540258253,False,0.03003003003003003,0.09309309309309309
r02_precision_range_breakout,robustness,0.6634146341463415,0.6634146341463415,True,False,0.007317073170731708,0.011257826070234381,False,0.03333333333333333,0.0983739837398374
r02_precision_volatility_band,train,0.31207028265851794,0.31207028265851794,False,False,0.008403361344537815,0.010435938620313258,False,0.03743315508021391,0.12223071046600459
r02_precision_volatility_band,validation,0.6265734265734266,0.6265734265734266,True,False,0.006293706293706294,0.010208321423727757,False,0.028671328671328673,0.0958041958041958
