input_id,path,input_kind,exists,readability_status,status,missing_required_columns,actual_columns,sha256
run_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/manifests/run_manifest.json,required,True,readable_non_tabular,ok,,,77f5a1cdc7d34eaada2f25b6e95ab75ff156d7bc38e7d3d6a10964a3c6ae07c7
density_fast_fail_audit_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/manifests/density_fast_fail_audit/density_fast_fail_audit_manifest.json,required,True,readable_non_tabular,ok,,,5890db114330f848de4a6b9a37307540dc69e7dcd32b2214c42a3b8bfa18c3a2
density_fast_fail_caliber_contract,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/reports/density_fast_fail_audit/density_fast_fail_caliber_contract.md,required,True,readable_non_tabular,ok,,,b2a483a46a6f1511ede5fd0b58d8696935a3edf7151a7be9785440f8ff9745b6
density_fast_fail_audit_report,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/reports/density_fast_fail_audit/density_fast_fail_audit_report.md,required,True,readable_non_tabular,ok,,,5c56c3b7f95338fd07bf513a3bbfd3ea9ca3106fb71816747f273075f64ae3fb
density_fast_fail_audit_gate_summary,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/density_fast_fail_audit/density_fast_fail_audit_gate_summary.csv,required,True,readable_tabular,ok,,gate_id;gate_type;candidate_scope_id;gate_status;metric_value;threshold_value;threshold_source;train_only_threshold_flag;denominator_compatibility_flag;uses_episode_window_density_flag;uses_future_label_flag;failure_reason,cb7a355b548a77a658c7b11612a219bea327dd0affba422a07aa5b8e14f7c7d3
candidate_scope_mapping_contract,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/density_fast_fail_audit/candidate_scope_mapping_contract.csv,required,True,readable_tabular,ok,,candidate_scope_id;source_experiment;source_artifact_path;source_artifact_hash;source_row_filter;canonicalization_rule;expected_source_columns;actual_source_columns_hash;reconstructability_requirement;scope_mapping_status,c99625e0ca82e717aa03aa497e652a47c2dcda7f17c41512575bf299de994d16
candidate_scope_reconstructability_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/density_fast_fail_audit/candidate_scope_reconstructability_audit.csv,required,True,readable_tabular,ok,,candidate_scope_id;scope_status;source_artifact_path;source_artifact_hash_status;source_row_count;selected_event_count;published_reference_event_count;reconstructed_vs_published_count_difference;missing_required_columns;aggregate_only_reason;event_level_label_source_status;episode_capture_source_status;hard_gate_eligible_flag;notes,6e706b765288e5323d42d0b2cd26efd8be5a59a1ffcc0aba3e82f70fb0146dd1
candidate_density_caliber_crosswalk,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/density_fast_fail_audit/candidate_density_caliber_crosswalk.csv,required,True,readable_tabular,ok,,candidate_scope_id;formal_full_denominator_density;denominator_source_id;denominator_compatibility_group;cross_source_ratio_gate_eligible;family_mechanism_concentration_status;episode_window_event_count_median;episode_window_event_count_top10;rolling_10d_window_count_self_included_mean;rolling_10d_neighbor_count_ex_self_mean;rolling_10d_duplicate_rate;event_uniqueness_10d_p10;adjacent_gap_median;final_hard_gate_status;final_diagnostic_alert_status,04c8f7cf901d84f2548fc5ee5a3445009dc36388dbbe06d883f558cc3e5a2a40
candidate_10d_density_summary,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/density_fast_fail_audit/candidate_10d_density_summary.csv,required,True,readable_tabular,ok,,candidate_scope_id;candidate_scope_type;source_experiment;event_count;executable_event_count;failure_10_complete_event_count;event_window_anchor_policy_id;non_executable_t0_fallback_event_count;denominator_source_id;instrument_years;denominator_compatibility_group;events_per_instrument_year_mean;events_per_instrument_year_p95;rolling_10d_window_count_self_included_mean;rolling_10d_neighbor_count_ex_self_mean;rolling_10d_duplicate_event_count;rolling_10d_duplicate_rate;rolling_20d_window_count_self_included_mean;rolling_20d_neighbor_count_ex_self_mean;rolling_20d_duplicate_event_count;rolling_20d_duplicate_rate;event_uniqueness_10d_mean;event_uniqueness_10d_median;event_uniqueness_10d_p10;event_uniqueness_10d_low_share;same_day_duplicate_rate;event_uniqueness_concurrency_scope;density_vs_07_E1_only;density_vs_07_E1_only_compatibility_flag;density_vs_08_E1_recomputed;density_vs_08_E1_recomputed_compatibility_flag;scope_status,da237dd93551fd9fefb957ed1bf33bb9dc1bb70cb2455d1e06fb37d8bc40bfba
candidate_10d_uniqueness_diagnostic,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/density_fast_fail_audit/candidate_10d_uniqueness_diagnostic.csv,required,True,readable_tabular,ok,,candidate_scope_id;event_split;market_regime_bucket;event_count;executable_event_count;active_interval_definition;active_interval_horizon_trading_days;concurrency_scope;concurrency_mean;concurrency_p95;event_uniqueness_10d_mean;event_uniqueness_10d_median;event_uniqueness_10d_p10;event_uniqueness_10d_low_share;low_uniqueness_threshold;uniqueness_diagnostic_alert_flag,c92c2b799499fc62abbdb37e225518124f49578ab5fed28b004b799b824437af
candidate_10d_fast_fail_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/density_fast_fail_audit/candidate_10d_fast_fail_readout.csv,required,True,readable_tabular,ok,,candidate_scope_id;event_split;market_regime_bucket;event_count;failure_10_complete_event_count;fast_fail_10d_count;fast_fail_10d_rate;false_repair_20d_count;false_repair_20d_rate;non_executable_event_count;horizon_incomplete_10d_count;label_source_column;fast_fail_definition_id;fast_fail_definition_comparable_to_failure_10_path;label_mapping_status;event_level_label_source_status,719240d8b67dbf6ffb010b7739639ba5cd72090e871c39700b010187e8258765
candidate_10d_retention_by_split_regime,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/density_fast_fail_audit/candidate_10d_retention_by_split_regime.csv,required,True,readable_tabular,ok,,candidate_scope_id;retention_replay_id;retention_replay_definition;replay_uses_future_label;episode_split;market_regime_bucket;target_episode_denominator;pre_replay_any_recall;post_replay_any_recall;any_recall_retention;pre_replay_bridge_recall;post_replay_bridge_recall;bridge_recall_retention;e1_missed_capture_retention;event_level_label_source_status;cell_sample_status;retention_source_status;episode_capture_source_path;episode_capture_source_hash,76cd1f69c359e3162a26dae3345382f2df3d86864dbf29d762d32e2f84b3d002
candidate_adjacent_event_gap_diagnostic,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/density_fast_fail_audit/candidate_adjacent_event_gap_diagnostic.csv,required,True,readable_tabular,ok,,candidate_scope_id;event_split;market_regime_bucket;instrument_count;gap_sample_count;gap_anchor_policy_id;adjacent_gap_p10;adjacent_gap_median;adjacent_gap_p90;gap_lt_5d_rate;gap_lt_10d_rate;gap_ge_20d_rate;diagnostic_alert_flag,2ae4f80a881093bfca957a1b06d2a9f6c820961fdb3ea8361cbb27e8c60b8122
candidate_10d_density_vs_episode_density_comparison,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/density_fast_fail_audit/candidate_10d_density_vs_episode_density_comparison.csv,required,True,readable_tabular,ok,,candidate_scope_id;episode_split;market_regime_bucket;episode_window_metric_status;episode_event_count_mean;episode_event_count_median;episode_event_count_top10;episode_adjacent_gap_median;rolling_10d_duplicate_rate;event_uniqueness_10d_p10;executable_timing_alert_flag;episode_window_alert_flag;episode_window_used_as_hard_gate_flag;density_concept_mismatch_note,62d8873cdec3c79fca608d9cbe4b3090f77236fc466610e1b904a50a4e96ec50
candidate_family_event_instances,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/candidate_family_event_instances.csv,required,True,readable_tabular,ok,,event_id;instrument;event_family;event_variant;union_family;canonical_event_scope;event_t0_date;event_t0_pos;trade_open_date;trade_open_pos;trade_open_price;non_executable_next_open;non_executable_reason;limit_threshold_status;source_seed_low_date;source_seed_low_pos;first_ema60_reclaim_date;first_ema60_reclaim_pos;days_seed_to_event;days_reclaim_to_event;seed_cluster_id;reclaim_cluster_id;union_cluster_id;union_density_kept;event_family_priority;event_split;market_regime_bucket;benchmark_alias;board_bucket;is_st;total_market_cap_cny;liquidity_money_20d;early_no_false_repair_5d;early_no_false_repair_10d;early_relative_strength_turn_flag;strict_rank_persistence_reference_flag;raw_source_event_ids;raw_cluster_event_count;close_to_ema20;close_to_ema60;ema20_slope_20d;ema60_slope_20d;return_5d;return_10d;return_20d;return_60d;stock_vs_market_5d;stock_vs_market_10d;stock_vs_market_20d;amount_ratio_20d;amount_ratio_60d;turnover_ratio_20d;turnover_ratio_60d;derived_daily_vwap_available;close_to_derived_daily_vwap;vwap_reclaim_flag;intraday_range_pct;close_position_in_range;upper_shadow_pct;gap_open_pct;gap_fade_flag;gap_fade_flag_status;atr_20_pct;market_return_20d;market_drawdown_60d;market_volatility_20d;quality_amount_flag;quality_vwap_flag;quality_range_flag;quality_gap_fade_flag;quality_amount_flag_status;quality_vwap_flag_status;quality_range_flag_status;quality_gap_fade_flag_status;family_id;family_input_status;mechanism_cluster;event_regime_bucket;event_close;event_close_to_episode_low_basis;close_to_high_60;close_to_high_120;range_width_ratio_20d_60d;direction_entropy_20d;relative_cusum_20d;momentum_percentile_20d;momentum_percentile_20d_lag20;universe_up_share;universe_up_share_z;universe_up_share_change_5d;stock_vs_board_20d;board_relative_cusum_20d;atr_pct_rank_60d;ema60_positive_run;variant_id;family_variant_id;event_regime_gating;threshold_variant_id;event_t0_confirmation_time;channel_id;channel_family;is_setup_context;recommended_union_included;event_executable_date;symbol,b4f7abe202f5a02d26c9eba636d8b7846c3e29ebd34462436807883a339f51db
