candidate_scope_id,family_id,split,market_regime_bucket,retention_source_status,episode_denominator_n,pre_replay_any_recall,pre_replay_bridge_recall,post_replay_any_recall,post_replay_bridge_recall,experiment_a_source_caveat,cell_sample_status
07_E1_only,E1_early_ema60_repair,all,all,pre_replay_capture_only,2493.0,0.7111913357400722,0.3255627009646302,,,pre_replay_capture_only_not_post_filter_retention,sufficient_for_cell_readout
07_E1_only,E1_early_ema60_repair,all,risk_off,,,,,,,,diagnostic_only
07_E1_only,E1_early_ema60_repair,all,risk_on,,,,,,,,diagnostic_only
07_E1_only,E1_early_ema60_repair,all,transition,,,,,,,,diagnostic_only
07_E1_only,E1_early_ema60_repair,robustness,all,,,,,,,,diagnostic_only
07_E1_only,E1_early_ema60_repair,robustness,risk_off,pre_replay_capture_only,477.0,0.8092243186582809,0.3361344537815126,,,pre_replay_capture_only_not_post_filter_retention,sufficient_for_cell_readout
07_E1_only,E1_early_ema60_repair,robustness,risk_on,pre_replay_capture_only,181.0,0.4917127071823204,0.3480662983425414,,,pre_replay_capture_only_not_post_filter_retention,sufficient_for_cell_readout
07_E1_only,E1_early_ema60_repair,robustness,transition,pre_replay_capture_only,100.0,0.4,0.24,,,pre_replay_capture_only_not_post_filter_retention,sufficient_for_cell_readout
07_E1_only,E1_early_ema60_repair,train,all,,,,,,,,diagnostic_only
07_E1_only,E1_early_ema60_repair,train,risk_off,pre_replay_capture_only,761.0,0.7582128777923784,0.380764163372859,,,pre_replay_capture_only_not_post_filter_retention,sufficient_for_cell_readout
07_E1_only,E1_early_ema60_repair,train,risk_on,pre_replay_capture_only,225.0,0.6311111111111111,0.2888888888888888,,,pre_replay_capture_only_not_post_filter_retention,sufficient_for_cell_readout
07_E1_only,E1_early_ema60_repair,train,transition,pre_replay_capture_only,304.0,0.6217105263157895,0.3201320132013201,,,pre_replay_capture_only_not_post_filter_retention,sufficient_for_cell_readout
07_E1_only,E1_early_ema60_repair,validation,all,,,,,,,,diagnostic_only
07_E1_only,E1_early_ema60_repair,validation,risk_off,pre_replay_capture_only,342.0,0.8304093567251462,0.2434017595307918,,,pre_replay_capture_only_not_post_filter_retention,sufficient_for_cell_readout
07_E1_only,E1_early_ema60_repair,validation,risk_on,pre_replay_capture_only,22.0,0.4090909090909091,0.1818181818181818,,,pre_replay_capture_only_not_post_filter_retention,diagnostic_only
07_E1_only,E1_early_ema60_repair,validation,transition,pre_replay_capture_only,81.0,0.7037037037037037,0.3086419753086419,,,pre_replay_capture_only_not_post_filter_retention,low_power_caution
07_E2_channel,E2_same_day_confirmation_tag,robustness,risk_on,07_context_not_in_a_retention,,,,,,not_in_experiment_a_scope,diagnostic_only
07_E2_channel,E2_same_day_confirmation_tag,train,risk_off,07_context_not_in_a_retention,,,,,,not_in_experiment_a_scope,diagnostic_only
07_E2_channel,E2_same_day_confirmation_tag,train,risk_on,07_context_not_in_a_retention,,,,,,not_in_experiment_a_scope,diagnostic_only
07_E2_channel,E2_same_day_confirmation_tag,validation,risk_off,07_context_not_in_a_retention,,,,,,not_in_experiment_a_scope,diagnostic_only
07_E2_channel,E2_same_day_confirmation_tag,validation,risk_on,07_context_not_in_a_retention,,,,,,not_in_experiment_a_scope,diagnostic_only
07_E3_channel,E3_persistence_quality,robustness,risk_off,07_context_not_in_a_retention,,,,,,not_in_experiment_a_scope,diagnostic_only
