candidate_scope_id,family_id,split,market_regime_bucket,episode_denominator_n,bridge_denominator_n,experiment_a_cell_sample_status,computed_cell_sample_status,cell_sample_status,cell_sample_status_resolution,retention_source_status,experiment_a_source_caveat
07_E1_only,E1_early_ema60_repair,all,all,2493.0,2493.0,sufficient_for_cell_readout,sufficient_for_cell_readout,sufficient_for_cell_readout,same_status,pre_replay_capture_only,pre_replay_capture_only_not_post_filter_retention
07_E1_only,E1_early_ema60_repair,all,risk_off,,,,diagnostic_only,diagnostic_only,conservative_override,,
07_E1_only,E1_early_ema60_repair,all,risk_on,,,,diagnostic_only,diagnostic_only,conservative_override,,
07_E1_only,E1_early_ema60_repair,all,transition,,,,diagnostic_only,diagnostic_only,conservative_override,,
07_E1_only,E1_early_ema60_repair,robustness,all,,,,diagnostic_only,diagnostic_only,conservative_override,,
07_E1_only,E1_early_ema60_repair,robustness,risk_off,477.0,477.0,sufficient_for_cell_readout,sufficient_for_cell_readout,sufficient_for_cell_readout,same_status,pre_replay_capture_only,pre_replay_capture_only_not_post_filter_retention
07_E1_only,E1_early_ema60_repair,robustness,risk_on,181.0,181.0,sufficient_for_cell_readout,sufficient_for_cell_readout,sufficient_for_cell_readout,same_status,pre_replay_capture_only,pre_replay_capture_only_not_post_filter_retention
07_E1_only,E1_early_ema60_repair,robustness,transition,100.0,100.0,sufficient_for_cell_readout,sufficient_for_cell_readout,sufficient_for_cell_readout,same_status,pre_replay_capture_only,pre_replay_capture_only_not_post_filter_retention
07_E1_only,E1_early_ema60_repair,train,all,,,,diagnostic_only,diagnostic_only,conservative_override,,
07_E1_only,E1_early_ema60_repair,train,risk_off,761.0,761.0,sufficient_for_cell_readout,sufficient_for_cell_readout,sufficient_for_cell_readout,same_status,pre_replay_capture_only,pre_replay_capture_only_not_post_filter_retention
07_E1_only,E1_early_ema60_repair,train,risk_on,225.0,225.0,sufficient_for_cell_readout,sufficient_for_cell_readout,sufficient_for_cell_readout,same_status,pre_replay_capture_only,pre_replay_capture_only_not_post_filter_retention
07_E1_only,E1_early_ema60_repair,train,transition,304.0,304.0,sufficient_for_cell_readout,sufficient_for_cell_readout,sufficient_for_cell_readout,same_status,pre_replay_capture_only,pre_replay_capture_only_not_post_filter_retention
07_E1_only,E1_early_ema60_repair,validation,all,,,,diagnostic_only,diagnostic_only,conservative_override,,
07_E1_only,E1_early_ema60_repair,validation,risk_off,342.0,342.0,sufficient_for_cell_readout,sufficient_for_cell_readout,sufficient_for_cell_readout,same_status,pre_replay_capture_only,pre_replay_capture_only_not_post_filter_retention
07_E1_only,E1_early_ema60_repair,validation,risk_on,22.0,22.0,diagnostic_only,diagnostic_only,diagnostic_only,same_status,pre_replay_capture_only,pre_replay_capture_only_not_post_filter_retention
07_E1_only,E1_early_ema60_repair,validation,transition,81.0,81.0,low_power_caution,low_power_caution,low_power_caution,same_status,pre_replay_capture_only,pre_replay_capture_only_not_post_filter_retention
07_E2_channel,E2_same_day_confirmation_tag,robustness,risk_on,,,,diagnostic_only,diagnostic_only,conservative_override,07_context_not_in_a_retention,not_in_experiment_a_scope
07_E2_channel,E2_same_day_confirmation_tag,train,risk_off,,,,diagnostic_only,diagnostic_only,conservative_override,07_context_not_in_a_retention,not_in_experiment_a_scope
07_E2_channel,E2_same_day_confirmation_tag,train,risk_on,,,,diagnostic_only,diagnostic_only,conservative_override,07_context_not_in_a_retention,not_in_experiment_a_scope
07_E2_channel,E2_same_day_confirmation_tag,validation,risk_off,,,,diagnostic_only,diagnostic_only,conservative_override,07_context_not_in_a_retention,not_in_experiment_a_scope
07_E2_channel,E2_same_day_confirmation_tag,validation,risk_on,,,,diagnostic_only,diagnostic_only,conservative_override,07_context_not_in_a_retention,not_in_experiment_a_scope
07_E3_channel,E3_persistence_quality,robustness,risk_off,,,,diagnostic_only,diagnostic_only,conservative_override,07_context_not_in_a_retention,not_in_experiment_a_scope
07_E3_channel,E3_persistence_quality,robustness,risk_on,,,,diagnostic_only,diagnostic_only,conservative_override,07_context_not_in_a_retention,not_in_experiment_a_scope
07_E3_channel,E3_persistence_quality,robustness,transition,,,,diagnostic_only,diagnostic_only,conservative_override,07_context_not_in_a_retention,not_in_experiment_a_scope
07_E3_channel,E3_persistence_quality,train,risk_off,,,,diagnostic_only,diagnostic_only,conservative_override,07_context_not_in_a_retention,not_in_experiment_a_scope
07_E3_channel,E3_persistence_quality,train,risk_on,,,,diagnostic_only,diagnostic_only,conservative_override,07_context_not_in_a_retention,not_in_experiment_a_scope
07_E3_channel,E3_persistence_quality,train,transition,,,,diagnostic_only,diagnostic_only,conservative_override,07_context_not_in_a_retention,not_in_experiment_a_scope
07_E3_channel,E3_persistence_quality,validation,risk_off,,,,diagnostic_only,diagnostic_only,conservative_override,07_context_not_in_a_retention,not_in_experiment_a_scope
07_E3_channel,E3_persistence_quality,validation,risk_on,,,,diagnostic_only,diagnostic_only,conservative_override,07_context_not_in_a_retention,not_in_experiment_a_scope
07_E3_channel,E3_persistence_quality,validation,transition,,,,diagnostic_only,diagnostic_only,conservative_override,07_context_not_in_a_retention,not_in_experiment_a_scope
07_E6_channel,E6_continuation_tag,robustness,risk_off,,,,diagnostic_only,diagnostic_only,conservative_override,07_context_not_in_a_retention,not_in_experiment_a_scope
07_E6_channel,E6_continuation_tag,robustness,risk_on,,,,diagnostic_only,diagnostic_only,conservative_override,07_context_not_in_a_retention,not_in_experiment_a_scope
07_E6_channel,E6_continuation_tag,robustness,transition,,,,diagnostic_only,diagnostic_only,conservative_override,07_context_not_in_a_retention,not_in_experiment_a_scope
07_E6_channel,E6_continuation_tag,train,risk_off,,,,diagnostic_only,diagnostic_only,conservative_override,07_context_not_in_a_retention,not_in_experiment_a_scope
07_E6_channel,E6_continuation_tag,train,risk_on,,,,diagnostic_only,diagnostic_only,conservative_override,07_context_not_in_a_retention,not_in_experiment_a_scope
07_E6_channel,E6_continuation_tag,train,transition,,,,diagnostic_only,diagnostic_only,conservative_override,07_context_not_in_a_retention,not_in_experiment_a_scope
07_E6_channel,E6_continuation_tag,validation,risk_off,,,,diagnostic_only,diagnostic_only,conservative_override,07_context_not_in_a_retention,not_in_experiment_a_scope
07_E6_channel,E6_continuation_tag,validation,risk_on,,,,diagnostic_only,diagnostic_only,conservative_override,07_context_not_in_a_retention,not_in_experiment_a_scope
07_E6_channel,E6_continuation_tag,validation,transition,,,,diagnostic_only,diagnostic_only,conservative_override,07_context_not_in_a_retention,not_in_experiment_a_scope
07_full_union,07_full_union,all,all,2493.0,2493.0,sufficient_for_cell_readout,sufficient_for_cell_readout,sufficient_for_cell_readout,same_status,pre_replay_capture_only,pre_replay_capture_only_not_post_filter_retention
07_full_union,07_full_union,all,risk_off,,,,diagnostic_only,diagnostic_only,conservative_override,,
07_full_union,07_full_union,all,risk_on,,,,diagnostic_only,diagnostic_only,conservative_override,,
07_full_union,07_full_union,all,transition,,,,diagnostic_only,diagnostic_only,conservative_override,,
