candidate_scope_id,family_id,split,market_regime_bucket,transition_reselection_role,transition_score,pre_replay_any_recall,pre_replay_bridge_recall,incremental_recall_over_e1,incremental_recall_source_status,fast_fail_10d_rate,false_repair_20d_rate,rolling_10d_duplicate_rate,density_granularity,event_uniqueness_10d_p10,cross_family_collision_10d_rate,cell_sample_status,experiment_a_source_caveat,t4_t7_source_rule
07_full_union,07_full_union,all,transition,transition_inconclusive,-0.0695301376364499,,,,not_available_publishable_source,0.1390602752728998,0.2009966777408638,0.2959567310863399,scope_level_only,0.7272727272727273,,diagnostic_only,,
07_E1_only,E1_early_ema60_repair,all,transition,transition_inconclusive,-0.07055837563451775,,,0.0,baseline_zero,0.1411167512690355,0.1964467005076142,0.0019061583577712,scope_level_only,1.0,,diagnostic_only,,
08_T4_gated,T4_entropy_compression_then_directional_expansion,all,transition,transition_inconclusive,-0.13005050505050506,,,,not_available_publishable_source,0.2601010101010101,0.2957393483709273,0.0,scope_level_only,1.0,,diagnostic_only,,recall_bridge_from_candidate_10d_retention_by_split_regime
08_selected_T4_T7_union,selected_T4_T7_union,all,transition,transition_inconclusive,-0.13038793103448276,,,0.0556701030927835,candidate_family_incremental_recall_over_e1,0.2607758620689655,0.2955032119914347,0.0373242850218128,scope_level_only,1.0,,diagnostic_only,,
08_T7_gated,T7_board_relative_strength_break,all,transition,transition_inconclusive,-0.13380281690140844,,,,not_available_publishable_source,0.2676056338028169,0.3098591549295774,0.0,scope_level_only,1.0,,diagnostic_only,,recall_bridge_from_candidate_10d_retention_by_split_regime
08_R6_event_regime_gated,R6_market_breadth_thrust,all,transition,transition_inconclusive,-0.21259134432423865,,,0.2824742268041237,candidate_family_incremental_recall_over_e1,0.1938599019890458,0.2580645161290322,0.0,scope_level_only,1.0,0.5783069666485787,diagnostic_only,,
08_R7_event_regime_gated,R7_cross_sectional_momentum_rank_jump,all,transition,transition_inconclusive,-0.2137634099370704,,,0.2701030927835051,candidate_family_incremental_recall_over_e1,0.1962040332147093,0.2579421526789948,0.0,scope_level_only,1.0,0.5783069666485787,diagnostic_only,,
08_R_core_event_regime_gated,R_core_event_regime_gated,all,transition,transition_inconclusive,-0.21579580193186626,,,,not_available_publishable_source,0.200268817204301,0.264540995094604,0.5783069666485787,scope_level_only,0.3787878787878787,0.5783069666485787,diagnostic_only,scope_capture_not_available,
08_R2_event_regime_gated,R2_near_high_volume_expansion,all,transition,transition_inconclusive,-0.2242328219011443,,,0.245360824742268,candidate_family_incremental_recall_over_e1,0.2171428571428571,0.2689486552567237,0.0,scope_level_only,1.0,0.5783069666485787,diagnostic_only,,
08_R1_event_regime_gated,R1_relative_strength_breakout,all,transition,transition_inconclusive,-0.22526621346085166,,,0.2927835051546392,candidate_family_incremental_recall_over_e1,0.2192096402622718,0.2907450008847991,0.0,scope_level_only,1.0,0.5783069666485787,diagnostic_only,,
08_R8_event_regime_gated,R8_persistent_distance_above_ema,all,transition,transition_inconclusive,-0.2261328845577859,,,0.2783505154639175,candidate_family_incremental_recall_over_e1,0.2209429824561403,0.2758620689655172,0.0,scope_level_only,1.0,0.5783069666485787,diagnostic_only,,
07_full_union,07_full_union,robustness,transition,transition_inconclusive,0.6282002706359946,0.4,0.26,,not_available_publishable_source,0.0635994587280108,0.128552097428958,0.2959567310863399,scope_level_only,0.7272727272727273,,sufficient_for_cell_readout,pre_replay_capture_only_not_post_filter_retention,
07_E1_only,E1_early_ema60_repair,robustness,transition,transition_context_only,0.6018320610687024,0.4,0.24,0.0,baseline_zero,0.0763358778625954,0.1348600508905852,0.0019061583577712,scope_level_only,1.0,,sufficient_for_cell_readout,pre_replay_capture_only_not_post_filter_retention,
08_R6_event_regime_gated,R6_market_breadth_thrust,robustness,transition,transition_primary_candidate,0.5122631349721709,0.43,0.27,0.07,candidate_family_incremental_recall_over_e1,0.1441509433962264,0.2088989441930618,0.0,scope_level_only,1.0,0.5783069666485787,sufficient_for_cell_readout,pre_replay_capture_only_not_post_filter_retention,
08_R2_event_regime_gated,R2_near_high_volume_expansion,robustness,transition,transition_support_feature,0.48614383232349095,0.45,0.21,0.09,candidate_family_incremental_recall_over_e1,0.1163895486935867,0.171021377672209,0.0,scope_level_only,1.0,0.5783069666485787,sufficient_for_cell_readout,pre_replay_capture_only_not_post_filter_retention,
