left_scope_id,right_scope_id,mapped_left_candidate_scope_id,mapped_right_candidate_scope_id,left_episode_count,right_episode_count,overlap_episode_count,left_overlap_rate,right_overlap_rate,jaccard_overlap,same_day_overlap_count,same_day_jaccard,same_episode_different_day_overlap_count,high_risk_overlap_pair
R2_near_high_volume_expansion__event_regime_gated,R2_near_high_volume_expansion__event_regime_gated,08_R2_event_regime_gated,08_R2_event_regime_gated,1901,1901,1901,1.0,1.0,1.0,9537,1.0,0,False
T4_entropy_compression_then_directional_expansion__event_regime_gated,T4_entropy_compression_then_directional_expansion__event_regime_gated,08_T4_gated,08_T4_gated,300,300,300,1.0,1.0,1.0,1463,1.0,0,False
R7_cross_sectional_momentum_rank_jump__event_regime_gated,R7_cross_sectional_momentum_rank_jump__event_regime_gated,08_R7_event_regime_gated,08_R7_event_regime_gated,1966,1966,1966,1.0,1.0,1.0,9786,1.0,0,False
R8_persistent_distance_above_ema__event_regime_gated,R8_persistent_distance_above_ema__event_regime_gated,08_R8_event_regime_gated,08_R8_event_regime_gated,1866,1866,1866,1.0,1.0,1.0,12896,1.0,0,False
T3_style_rotation_break__event_regime_gated,T7_board_relative_strength_break__event_regime_gated,,08_T7_gated,158,158,158,1.0,1.0,1.0,629,1.0,0,True
07_e1_only,07_e1_only,07_E1_only,07_E1_only,1773,1773,1773,1.0,1.0,1.0,0,,0,False
R1_relative_strength_breakout__event_regime_gated,R1_relative_strength_breakout__event_regime_gated,08_R1_event_regime_gated,08_R1_event_regime_gated,2126,2126,2126,1.0,1.0,1.0,14363,1.0,0,False
T7_board_relative_strength_break__event_regime_gated,T7_board_relative_strength_break__event_regime_gated,08_T7_gated,08_T7_gated,158,158,158,1.0,1.0,1.0,629,1.0,0,False
R6_market_breadth_thrust__event_regime_gated,R6_market_breadth_thrust__event_regime_gated,08_R6_event_regime_gated,08_R6_event_regime_gated,2200,2200,2200,1.0,1.0,1.0,16204,1.0,0,False
T7_board_relative_strength_break__event_regime_gated,T3_style_rotation_break__event_regime_gated,08_T7_gated,,158,158,158,1.0,1.0,1.0,629,1.0,0,True
