candidate_scope_id,family_id,source_kind,experiment_a_decision,event_n,pre_replay_any_recall,pre_replay_bridge_recall,rolling_10d_duplicate_rate,event_uniqueness_10d_p10,fast_fail_10d_rate,false_repair_20d_rate,density_granularity,source_caveat,b_interpretation
07_E1_only,E1_early_ema60_repair,experiment_a_scope,density_fast_fail_audit_partial_source_complete,6820.0,0.7111913357400722,0.3255627009646302,0.0019061583577712,1.0,0.1451849677040516,0.2061583577712609,scope_level_only,pre_replay_capture_only_not_post_filter_retention,backbone_candidate
07_full_union,07_full_union,experiment_a_scope,density_fast_fail_audit_partial_source_complete,15161.0,0.7204171680705976,0.3475291281639212,0.2959567310863399,0.7272727272727273,0.1633003300330033,0.2313171954356573,scope_level_only,pre_replay_capture_only_not_post_filter_retention,density_or_fast_fail_blocked
08_R1_event_regime_gated,R1_relative_strength_breakout,experiment_a_scope,density_fast_fail_audit_partial_source_complete,14363.0,0.8527878058563979,0.338430583501006,0.0,1.0,0.2660941209328306,0.3348882545429228,scope_level_only,pre_replay_capture_only_not_post_filter_retention,collision_deoverlap_required
08_R2_event_regime_gated,R2_near_high_volume_expansion,experiment_a_scope,density_fast_fail_audit_partial_source_complete,9537.0,0.7625350982751705,0.2713022508038585,0.0,1.0,0.2374645222327341,0.2916011324315822,scope_level_only,pre_replay_capture_only_not_post_filter_retention,collision_deoverlap_required
08_R6_event_regime_gated,R6_market_breadth_thrust,experiment_a_scope,density_fast_fail_audit_partial_source_complete,16204.0,0.8824709185720016,0.3898713826366559,0.0,1.0,0.2318777832756061,0.3030116020735621,scope_level_only,pre_replay_capture_only_not_post_filter_retention,collision_deoverlap_required
08_R7_event_regime_gated,R7_cross_sectional_momentum_rank_jump,experiment_a_scope,density_fast_fail_audit_partial_source_complete,9786.0,0.7886081026875251,0.3329307568438003,0.0,1.0,0.2330295894338077,0.2962395258532597,scope_level_only,pre_replay_capture_only_not_post_filter_retention,collision_deoverlap_required
08_R8_event_regime_gated,R8_persistent_distance_above_ema,experiment_a_scope,density_fast_fail_audit_partial_source_complete,12896.0,0.7484957882069796,0.2804339092004821,0.0,1.0,0.2633092406932463,0.3370037220843672,scope_level_only,pre_replay_capture_only_not_post_filter_retention,collision_deoverlap_required
08_R_core_event_regime_gated,R_core_event_regime_gated,experiment_a_scope,density_fast_fail_audit_partial_source_complete,47914.0,,,0.5783069666485787,0.3636363636363636,0.2419695291437647,0.3111199231957257,scope_level_only,scope_capture_not_available,union_collision_diagnostic_only
08_T4_gated,T4_entropy_compression_then_directional_expansion,experiment_a_scope,density_fast_fail_audit_partial_source_complete,1463.0,0.1203369434416365,0.0361010830324909,0.0,1.0,0.3285123966942149,0.3807245386192754,scope_level_only,pre_replay_capture_only_not_post_filter_retention,quality_filter_required
08_T7_gated,T7_board_relative_strength_break,experiment_a_scope,density_fast_fail_audit_partial_source_complete,629.0,0.0633774568792619,0.0160449257922182,0.0,1.0,0.4057507987220447,0.4213036565977742,scope_level_only,pre_replay_capture_only_not_post_filter_retention,quality_filter_required
08_selected_T4_T7_union,selected_T4_T7_union,experiment_a_scope,density_fast_fail_audit_partial_source_complete,2063.0,0.1760930605695948,0.0509426393902928,0.0373242850218128,1.0,0.3518789653489507,0.3906931652932622,scope_level_only,pre_replay_capture_only_not_post_filter_retention,quality_filter_required
