candidate_scope_id,family_id,split,market_regime_bucket,event_n,rolling_10d_duplicate_rate,event_uniqueness_10d_p10,concurrency_p95,fast_fail_10d_rate,pre_replay_any_recall,pre_replay_bridge_recall,r_core_event_n,r_core_rolling_10d_duplicate_rate,r_core_event_uniqueness_10d_p10,r_core_concurrency_p95,r_core_adjacent_gap_median,r_core_fast_fail_10d_rate,collision_interpretation
08_R1_event_regime_gated,R1_relative_strength_breakout,all,all,14363.0,0.0,1.0,1.0,0.2660941209328306,0.8527878058563979,0.338430583501006,47914.0,0.5783069666485787,0.3636363636363636,4.0,7.0,0.2419695291437647,individual_sparse_but_r_core_cross_family_collision
08_R1_event_regime_gated,R1_relative_strength_breakout,all,risk_on,8712.0,0.0,1.0,1.0,0.2965779467680608,,,30790.0,0.5783069666485787,0.356060606060606,4.0,6.0,0.2651852815824576,individual_sparse_but_r_core_cross_family_collision
08_R1_event_regime_gated,R1_relative_strength_breakout,all,transition,5651.0,0.0,1.0,1.0,0.2192096402622718,,,17124.0,0.5783069666485787,0.3787878787878787,3.0,8.0,0.200268817204301,individual_sparse_but_r_core_cross_family_collision
08_R1_event_regime_gated,R1_relative_strength_breakout,robustness,all,3746.0,0.0,1.0,1.0,0.2426352437064809,,,12955.0,0.5783069666485787,0.3636363636363636,4.0,7.0,0.213623009123241,individual_sparse_but_r_core_cross_family_collision
08_R1_event_regime_gated,R1_relative_strength_breakout,robustness,risk_off,14363.0,0.0,,,,0.7840670859538784,0.2721518987341772,,,,,,,no_r_core_collision_alert
08_R1_event_regime_gated,R1_relative_strength_breakout,robustness,risk_on,2704.0,0.0,1.0,1.0,0.273199703043801,0.856353591160221,0.4917127071823204,9730.0,0.5783069666485787,0.356060606060606,4.0,6.0,0.2412727834414581,individual_sparse_but_r_core_cross_family_collision
08_R1_event_regime_gated,R1_relative_strength_breakout,robustness,transition,1042.0,0.0,1.0,1.0,0.1634615384615384,0.42,0.2222222222222222,3225.0,0.5783069666485787,0.393939393939394,3.0,11.0,0.1303133726341917,individual_sparse_but_r_core_cross_family_collision
08_R1_event_regime_gated,R1_relative_strength_breakout,train,all,7212.0,0.0,1.0,1.0,0.3032707028531663,,,24292.0,0.5783069666485787,0.3636363636363636,4.0,6.0,0.2744289601715181,individual_sparse_but_r_core_cross_family_collision
08_R1_event_regime_gated,R1_relative_strength_breakout,train,risk_off,14363.0,0.0,,,,0.885676741130092,0.3662714097496706,,,,,,,no_r_core_collision_alert
08_R1_event_regime_gated,R1_relative_strength_breakout,train,risk_on,4672.0,0.0,1.0,1.0,0.3311827956989247,0.96,0.4285714285714285,16603.0,0.5783069666485787,0.356060606060606,4.0,6.0,0.2979904652706535,individual_sparse_but_r_core_cross_family_collision
08_R1_event_regime_gated,R1_relative_strength_breakout,train,transition,2540.0,0.0,1.0,1.0,0.2520710059171597,0.9703947368421052,0.4671052631578947,7689.0,0.5783069666485787,0.3787878787878788,3.0,8.0,0.2236105687882337,individual_sparse_but_r_core_cross_family_collision
