condition_group_id,family_id,grain,split,horizon,signal_count,complete_horizon_count,incomplete_horizon_count,endpoint_return_max,endpoint_return_min,endpoint_return_mean,endpoint_return_median,endpoint_return_p25,endpoint_return_p75,endpoint_return_positive_rate,path_max_return_mean,path_max_return_median,path_min_return_mean,path_min_return_median
momentum_rps__and3__68b32373ce93,momentum_rps,episode,all,1,11879,11848,31,0.1225296230376054,-0.10965589646515483,0.001663546439747391,-0.0009155724132147713,-0.014169101185092986,0.01369995578779093,0.4678426738690074,0.001663546439747391,-0.0009155724132147713,0.001663546439747391,-0.0009155724132147713
momentum_rps__and3__68b32373ce93,momentum_rps,episode,all,3,11879,11797,82,0.4051383821970489,-0.297123733834436,0.0016130026028467641,-0.0024450436451716184,-0.026436375671967216,0.02569927728102761,0.47240823938289395,0.019152231536194456,0.011149441767342672,-0.015427772746856968,-0.013536771089502242
momentum_rps__and3__68b32373ce93,momentum_rps,episode,all,5,11879,11730,149,0.537448633058921,-0.3757062063872768,0.0006791051648354741,-0.00307533622705497,-0.035794150989266416,0.03165665531539358,0.4711849957374254,0.030361708447509236,0.018941980545149506,-0.026451384081610615,-0.02120387479173569
momentum_rps__and3__68b32373ce93,momentum_rps,episode,all,10,11879,11635,244,1.057245024345138,-0.347617085963831,0.0025984355874394518,-0.004880519527859395,-0.04983147752813566,0.046182295909904636,0.46953158573270304,0.05227610077270074,0.03423733236439952,-0.04501843490571081,-0.03566815030938825
momentum_rps__and3__68b32373ce93,momentum_rps,episode,all,20,11879,11422,457,1.3083110716990105,-0.5113122169993092,0.004693463672269484,-0.008345633220231241,-0.07432332133560252,0.06766912165843242,0.465417615128699,0.08395991252575885,0.055893081863036986,-0.06964768762526037,-0.0557308136810577
momentum_rps__and3__68b32373ce93,momentum_rps,episode,robustness,1,3078,3066,12,0.10257786043637718,-0.10169497552667062,0.0015697311847013614,-0.0012325314448350388,-0.013633479109587232,0.012686776782272924,0.46477495107632094,0.0015697311847013614,-0.0012325314448350388,0.0015697311847013614,-0.0012325314448350388
momentum_rps__and3__68b32373ce93,momentum_rps,episode,robustness,3,3078,3057,21,0.3303472387626467,-0.1673819224273918,0.0029893037864269965,-0.001777818467881942,-0.024742244931687862,0.022774355124627332,0.478900883218842,0.019358637906104533,0.010578723056771322,-0.01383531353341318,-0.012227514554307595
momentum_rps__and3__68b32373ce93,momentum_rps,episode,robustness,5,3078,3034,44,0.5018282390647157,-0.2258204329243072,0.002317242414658597,-0.003383699455346889,-0.03227556090593231,0.02710159117770833,0.46374423203691495,0.03027668801757422,0.016917896536564503,-0.023156787084328632,-0.0186049575378211
momentum_rps__and3__68b32373ce93,momentum_rps,episode,robustness,10,3078,2991,87,0.7906976357352222,-0.27786609678753615,0.006754466633896053,-0.004019231410537283,-0.04094648463042383,0.04206669741762925,0.47141424272818455,0.05100289616600981,0.031166553493912952,-0.038170755215173754,-0.031889579676106616
momentum_rps__and3__68b32373ce93,momentum_rps,episode,robustness,20,3078,2930,148,0.8433179075419375,-0.38643921136081616,0.01335189493671189,-0.0013230374067051964,-0.058296428657295174,0.06510101724046835,0.49180887372013654,0.08229645696993075,0.052790268201461266,-0.056267820906016126,-0.045659745852995426
momentum_rps__and3__68b32373ce93,momentum_rps,episode,train,1,5780,5772,8,0.1225296230376054,-0.10965589646515483,0.0026102167259978394,0.0,-0.014337814730640996,0.015619280735948537,0.481981981981982,0.0026102167259978394,0.0,0.0026102167259978394,0.0
momentum_rps__and3__68b32373ce93,momentum_rps,episode,train,3,5780,5756,24,0.4051383821970489,-0.297123733834436,0.001923107318535246,-0.00206918884682622,-0.028209927763461484,0.02870094288295505,0.4777623349548297,0.020851394589674936,0.012799987792968759,-0.016224736719995112,-0.014245998527802617
