condition_group_id,family_id,split,grain,signal_count,complete_h120_count,positive_h120_count,precision_h120_close_anchor,background_prior_global_h120_close_anchor,background_prior_feature_matched_h120_close_anchor,precision_lift_feature_matched_h120_close_anchor,precision_h120_next_open_anchor,incomplete_h120_count,feature_complete_ratio,positive_h120_count_min_gate_pass,bootstrap_precision_lift_ci90_lower,bootstrap_precision_lift_ci90_upper
momentum_rps__and3__68b32373ce93,momentum_rps,robustness,stock_day,10929,6864,730,0.10635198135198135,0.09666945957268538,0.09666945957268538,1.1001611245381557,0.10664335664335664,4065,1.0,True,0.9613601589840461,1.2348962478900627
momentum_rps__and3__68b32373ce93,momentum_rps,train,stock_day,22272,17122,3798,0.22181988085504029,0.14272082973206568,0.14272082973206568,1.5542221921738386,0.22327999065529727,5150,1.0,True,1.467333566068455,1.6392376588582658
momentum_rps__and3__68b32373ce93,momentum_rps,validation,stock_day,10919,9175,578,0.06299727520435967,0.05112444148213977,0.05112444148213977,1.232234003502369,0.06354223433242506,1744,1.0,True,1.0722981151179467,1.3956220511828719
oscillator__and4__95dbd99ae828,oscillator,robustness,stock_day,7042,4852,395,0.08140972794723825,0.09666945957268538,0.09666945957268538,0.8421452680825902,0.08140972794723825,2190,1.0,True,0.7639076852605156,0.9273832560489926
oscillator__and4__95dbd99ae828,oscillator,train,stock_day,10681,8729,1397,0.16004124183755297,0.14272082973206568,0.14272181657262972,1.1213509306484308,0.1609577271165082,1952,0.9999888352359952,True,1.0653311986106975,1.173387131478895
oscillator__and4__95dbd99ae828,oscillator,validation,stock_day,5409,4326,219,0.05062413314840499,0.05112444148213977,0.05112444148213977,0.9902139110133934,0.05016181229773463,1083,0.9999907274328897,True,0.8685017191996017,1.1143264542415083
price_trend__and3__6030760ed19f,price_trend,robustness,stock_day,8370,5409,533,0.09853947125161767,0.09666945957268538,0.09666945957268538,1.0193443895021077,0.09706045479755962,2961,1.0,True,0.8975448916052986,1.1609151412282555
price_trend__and3__6030760ed19f,price_trend,train,stock_day,18594,14356,3015,0.2100167177486765,0.14272082973206568,0.14272082973206568,1.4715211377550672,0.21120089161326275,4238,1.0,True,1.3903651213122283,1.5546176925880397
price_trend__and3__6030760ed19f,price_trend,validation,stock_day,7628,6528,451,0.06908700980392157,0.05112444148213977,0.05112444148213977,1.3513499179850599,0.06985294117647059,1100,1.0,True,1.1406757362676314,1.553883445413176
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,robustness,stock_day,13646,8968,858,0.09567350579839429,0.09666945957268538,0.09666945957268538,0.9896973275872899,0.09522747546833185,4678,1.0,True,0.8930002709540953,1.1002975735039278
