split,base_family,added_family,pair_denominator_count,base_signal_count,added_signal_count,base_and_added_signal_count,base_only_signal_count,added_only_signal_count,base_precision_h120_close_anchor,base_and_added_precision_h120_close_anchor,base_only_precision_h120_close_anchor,added_only_precision_h120_close_anchor,delta_precision_base_and_added_minus_base,lift_base_and_added_vs_base,signal_retention_base_and_added_vs_base,positive_h120_count_base_and_added,complete_h120_count_base_and_added
train,momentum_rps,oscillator,179133,22272,10681,6191,16081,4490,0.22181988085504029,0.21322314049586777,0.2252076209086468,0.09385446130110568,-0.008596740359172517,0.9612445001501443,0.277972341954023,1032,4840
train,momentum_rps,price_trend,179135,22272,18594,13336,8936,5258,0.22181988085504029,0.2302677072014225,0.20960137162451778,0.16158752657689582,0.00844782634638222,1.03808417132774,0.5987787356321839,2331,10123
train,momentum_rps,pullback_drawdown,179135,22272,29756,19403,2869,10353,0.22181988085504029,0.21984396879375875,0.23576470588235293,0.16770483948251078,-0.0019759120612815317,0.9910922679533274,0.8711835488505747,3297,14997
train,momentum_rps,range_breakout,179066,22272,32074,14170,8102,17904,0.22181988085504029,0.21993252484726908,0.22518277822908206,0.11069767441860465,-0.001887356007771207,0.9914914930055138,0.6362248563218391,2412,10967
train,momentum_rps,volatility_band,179063,22272,13158,8056,14216,5102,0.22181988085504029,0.20249172054880935,0.23318801595399313,0.09160129210890632,-0.01932816030623094,0.912865518493079,0.36170977011494254,1284,6341
train,momentum_rps,volume_money,179135,22272,10803,4240,18032,6563,0.22181988085504029,0.20883777239709442,0.22492401215805471,0.1041061046511628,-0.012982108457945868,0.9414745494952741,0.1903735632183908,690,3304
train,oscillator,momentum_rps,179133,10681,22272,6191,4490,16081,0.16004124183755297,0.21322314049586777,0.09385446130110568,0.2252076209086468,0.0531818986583148,1.3323012121606512,0.5796273757138845,1032,4840
train,oscillator,price_trend,179133,10681,18594,7661,3020,10933,0.16004124183755297,0.19563074901445465,0.07800075728890572,0.22060957910014514,0.03558950717690168,1.2223770996042769,0.7172549386761539,1191,6088
train,oscillator,pullback_drawdown,179133,10681,29756,7541,3140,22215,0.16004124183755297,0.1872820853395318,0.09940872135994087,0.20603856367624984,0.027240843501978834,1.1702113979447195,0.7060200355771932,1128,6023
train,oscillator,range_breakout,179065,10679,32074,10081,598,21993,0.1600595783684693,0.15907710989678203,0.17647058823529413,0.1556630300303678,-0.000982468471687259,0.9938618576801099,0.9440022474014421,1310,8235
