condition_group_id,family_id,condition_text,coverage_t0_t30,eligible_day_density,coverage_by_split_train,coverage_by_split_validation,coverage_by_split_robustness
momentum_rps__and3__68b32373ce93,momentum_rps,roc5_r02 >= 0.05 AND rps5_r02 >= 0.8 AND rps10_r02 >= 0.5,0.850887573964497,0.1115871578659841,0.8609865470852018,0.8417721518987342,0.8381742738589212
oscillator__and4__95dbd99ae828,oscillator,kdj_k5_r02 >= 60 AND cci5_r02 >= 100 AND kdj_k10_r02 >= 55 AND cci10_r02 >= 150,0.850887573964497,0.0585048534849488,0.8452914798206278,0.8291139240506329,0.8755186721991701
price_trend__and3__6030760ed19f,price_trend,close_over_ma5_r02 >= 0.03 AND ema_slope5_r02 >= 0.0 AND close_over_ma10_r02 >= 0.03,0.8615384615384616,0.0874891877810544,0.8789237668161435,0.8227848101265823,0.8547717842323651
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,pullback_depth5_r02 >= -0.05 AND rebound_from_low5_r02 >= 0.05 AND days_since_high10_r02 <= 5,0.9029585798816568,0.1427617568654428,0.9192825112107624,0.8860759493670886,0.8838174273858921
range_breakout__and3__00e51295d9c3,range_breakout,range_position5_r02 >= 0.9 AND new_high_flag10_r02 == 1.0 AND range_position10_r02 >= 0.7,0.9680473372781064,0.1737441386392032,0.968609865470852,0.9556962025316456,0.975103734439834
volatility_band__and4__ef9c875dde10,volatility_band,boll_pct_b5_r02 >= 0.8 AND boll_width5_r02 >= 1.0 AND boll_width10_r02 >= 1.0 AND price_channel_position10_r02 >= 0.8,0.8520710059171598,0.0713505283444532,0.8340807174887892,0.8544303797468354,0.8838174273858921
volume_money__and4__4eb7a99e922f,volume_money,volume_ratio5_r02 >= 1.5 AND money_zscore5_r02 >= 2.0 AND money_price_coherence5_r02 == 1.0 AND money_price_coherence10_r02 == 1.0,0.8816568047337278,0.0576803427536635,0.8699551569506726,0.879746835443038,0.9045643153526972
