condition_group_id,family_id,grain,year,signal_count,complete_h120_count,positive_h120_count,precision_h120_close_anchor,background_prior_global_h120_close_anchor,background_prior_feature_matched_h120_close_anchor,precision_lift_feature_matched_h120_close_anchor,incomplete_h120_count,feature_complete_ratio
momentum_rps__and3__68b32373ce93,momentum_rps,stock_day,2017,1052,953,46,0.048268625393494226,0.051256776737309016,0.051256776737309016,0.9417023165711518,99,1.0
momentum_rps__and3__68b32373ce93,momentum_rps,stock_day,2018,2829,2697,162,0.060066740823136816,0.055985509632800926,0.055985509632800926,1.0728979912320877,132,1.0
momentum_rps__and3__68b32373ce93,momentum_rps,stock_day,2019,3745,3598,637,0.17704280155642024,0.09367667761614265,0.09367667761614265,1.889934678105105,147,1.0
momentum_rps__and3__68b32373ce93,momentum_rps,stock_day,2020,6172,5977,2166,0.3623891584406893,0.24836732868133835,0.24836732868133835,1.459085461701945,195,1.0
momentum_rps__and3__68b32373ce93,momentum_rps,stock_day,2021,8474,3897,787,0.20195021811649988,0.15459467369037166,0.15459467369037166,1.3063206726059255,4577,1.0
momentum_rps__and3__68b32373ce93,momentum_rps,stock_day,2022,6103,6021,424,0.0704201959807341,0.06140136947753494,0.06140136947753494,1.1468831490232299,82,1.0
momentum_rps__and3__68b32373ce93,momentum_rps,stock_day,2023,4816,3154,154,0.04882688649334179,0.03135712481506874,0.03135712481506874,1.557122560863039,1662,1.0
momentum_rps__and3__68b32373ce93,momentum_rps,stock_day,2024,4796,4696,322,0.06856899488926746,0.08235766643237273,0.08235766643237273,0.832575737749591,100,1.0
momentum_rps__and3__68b32373ce93,momentum_rps,stock_day,2025,6133,2168,408,0.1881918819188192,0.12347211252773703,0.12347211252773703,1.5241650771670678,3965,1.0
oscillator__and4__95dbd99ae828,oscillator,stock_day,2017,521,500,27,0.054,0.051256776737309016,0.051256776737309016,1.0535192307692307,21,1.0
oscillator__and4__95dbd99ae828,oscillator,stock_day,2018,1410,1350,54,0.04,0.055985509632800926,0.055985509632800926,0.7144705882352941,60,1.0
oscillator__and4__95dbd99ae828,oscillator,stock_day,2019,2378,2306,233,0.101040763226366,0.09367667761614265,0.09367667761614265,1.078611729169122,72,1.0
oscillator__and4__95dbd99ae828,oscillator,stock_day,2020,3031,2930,822,0.28054607508532425,0.24836732868133835,0.24836732868133835,1.1295611084389932,101,1.0
oscillator__and4__95dbd99ae828,oscillator,stock_day,2021,3341,1643,261,0.1588557516737675,0.15459467369037166,0.15460032924821657,1.027525312825943,1698,0.9999651002495332
oscillator__and4__95dbd99ae828,oscillator,stock_day,2022,2625,2591,149,0.05750675414897723,0.06140136947753494,0.06140136947753494,0.9365711976508497,34,1.0
oscillator__and4__95dbd99ae828,oscillator,stock_day,2023,2784,1735,70,0.040345821325648415,0.03135712481506874,0.03135712481506874,1.2866556345197866,1049,0.9999814553816483
oscillator__and4__95dbd99ae828,oscillator,stock_day,2024,3433,3366,205,0.060903149138443254,0.08235766643237273,0.08235766643237273,0.7394958086683203,67,1.0
oscillator__and4__95dbd99ae828,oscillator,stock_day,2025,3609,1486,190,0.1278600269179004,0.12347211252773703,0.12347211252773703,1.0355376959244758,2123,1.0
price_trend__and3__6030760ed19f,price_trend,stock_day,2017,693,624,29,0.046474358974358976,0.051256776737309016,0.051256776737309016,0.906696868836292,69,1.0
price_trend__and3__6030760ed19f,price_trend,stock_day,2018,2055,1960,114,0.058163265306122446,0.055985509632800926,0.055985509632800926,1.0388985594237694,95,1.0
price_trend__and3__6030760ed19f,price_trend,stock_day,2019,3082,2965,451,0.15210792580101182,0.09367667761614265,0.09367667761614265,1.6237544890768,117,1.0
price_trend__and3__6030760ed19f,price_trend,stock_day,2020,5528,5342,1756,0.32871583676525645,0.24836732868133835,0.24836732868133835,1.3235067531245517,186,1.0
price_trend__and3__6030760ed19f,price_trend,stock_day,2021,7236,3465,665,0.1919191919191919,0.15459467369037166,0.15459467369037166,1.2414346971848154,3771,1.0
price_trend__and3__6030760ed19f,price_trend,stock_day,2022,4396,4333,328,0.07569813062543272,0.06140136947753494,0.06140136947753494,1.2328410794343694,63,1.0
price_trend__and3__6030760ed19f,price_trend,stock_day,2023,3232,2195,123,0.05603644646924829,0.03135712481506874,0.03135712481506874,1.7870403233628052,1037,1.0
price_trend__and3__6030760ed19f,price_trend,stock_day,2024,4129,4061,271,0.06673233193794632,0.08235766643237273,0.08235766643237273,0.8102746815045201,68,1.0
price_trend__and3__6030760ed19f,price_trend,stock_day,2025,4241,1348,262,0.1943620178041543,0.12347211252773703,0.12347211252773703,1.5741369757522568,2893,1.0
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,stock_day,2017,1242,1126,49,0.043516873889875664,0.051256776737309016,0.051256776737309016,0.8489974723322858,116,1.0
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,stock_day,2018,3741,3586,172,0.04796430563301729,0.055985509632800926,0.055985509632800926,0.8567271414979823,155,1.0
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,stock_day,2019,5304,5090,750,0.14734774066797643,0.09367667761614265,0.09367667761614265,1.572939438264034,214,1.0
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,stock_day,2020,8645,8376,2807,0.3351241642788921,0.24836732868133835,0.24836732868133835,1.3493085667030906,269,1.0
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,stock_day,2021,10824,5167,919,0.1778594929359396,0.15459467369037166,0.15459467369037166,1.1504891384043647,5657,1.0
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,stock_day,2022,7444,7349,527,0.07171043679412165,0.06140136947753494,0.06140136947753494,1.1678963743692803,95,1.0
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,stock_day,2023,5600,3678,181,0.04921152800435019,0.03135712481506874,0.03135712481506874,1.5693890397981092,1922,1.0
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,stock_day,2024,6639,6515,416,0.06385264773599386,0.08235766643237273,0.08235766643237273,0.77530909388291,124,1.0
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,stock_day,2025,7007,2453,442,0.1801875254790053,0.12347211252773703,0.12347211252773703,1.459337835809099,4554,1.0
range_breakout__and3__00e51295d9c3,range_breakout,stock_day,2017,1594,1498,72,0.04806408544726302,0.051256776737309016,0.05126309303758472,0.9375962822224504,96,0.9997702469844917
range_breakout__and3__00e51295d9c3,range_breakout,stock_day,2018,4788,4596,185,0.04025239338555266,0.055985509632800926,0.055991041433370664,0.7189077458659704,192,0.9999056574106104
range_breakout__and3__00e51295d9c3,range_breakout,stock_day,2019,7100,6873,693,0.10082933216935835,0.09367667761614265,0.09371515756117599,1.0759127423281376,227,0.999600946327281
range_breakout__and3__00e51295d9c3,range_breakout,stock_day,2020,8546,8277,2409,0.29104748097136646,0.24836732868133835,0.24843386432790407,1.17152901742581,269,0.9996539867217404
range_breakout__and3__00e51295d9c3,range_breakout,stock_day,2021,10046,4773,719,0.1506390111041274,0.15459467369037166,0.1546569075937786,0.9740205817369335,5273,0.9994067042420647
range_breakout__and3__00e51295d9c3,range_breakout,stock_day,2022,8151,8047,528,0.06561451472598484,0.06140136947753494,0.06142409281195442,1.0682211445411023,104,0.9993323565957605
range_breakout__and3__00e51295d9c3,range_breakout,stock_day,2023,8659,5034,203,0.040325784664282875,0.03135712481506874,0.03135825635103926,1.2859702469696284,3625,0.9999258215265929
range_breakout__and3__00e51295d9c3,range_breakout,stock_day,2024,9395,9208,610,0.06624674196350999,0.08235766643237273,0.0823593204000482,0.8043624163206575,187,0.9999802990602652
range_breakout__and3__00e51295d9c3,range_breakout,stock_day,2025,10400,4643,545,0.1173810036614258,0.12347211252773703,0.12348140068454508,0.950596632453953,5757,0.9999479591305706
volatility_band__and4__ef9c875dde10,volatility_band,stock_day,2017,784,737,25,0.033921302578018994,0.051256776737309016,0.05126309303758472,0.6617100250495772,47,0.9997702469844917
volatility_band__and4__ef9c875dde10,volatility_band,stock_day,2018,1671,1610,55,0.034161490683229816,0.055985509632800926,0.055991041433370664,0.6101242236024844,61,0.9999056574106104
volatility_band__and4__ef9c875dde10,volatility_band,stock_day,2019,2776,2689,288,0.10710301227222016,0.09367667761614265,0.09371515756117599,1.1428568767256755,87,0.999600946327281
volatility_band__and4__ef9c875dde10,volatility_band,stock_day,2020,3744,3627,1026,0.28287841191067,0.24836732868133835,0.24843386432790407,1.1386467488075742,117,0.9996539867217404
