selected_family_set,combo_pair_count,combo_mean_abs_phi,combo_max_abs_phi,combo_mean_jaccard,combo_max_jaccard,sorted_family_id_tuple,selection_rank
momentum_rps|oscillator|pullback_drawdown|volume_money,6,0.3782170371095523,0.7395643599204739,0.27688383507166675,0.6204901787009136,momentum_rps|oscillator|pullback_drawdown|volume_money,1
momentum_rps|oscillator|volatility_band|volume_money,6,0.3783055473185694,0.513274620748172,0.2654917838365133,0.37163389613165204,momentum_rps|oscillator|volatility_band|volume_money,2
oscillator|pullback_drawdown|volatility_band|volume_money,6,0.38189141504428803,0.513274620748172,0.26456061932005803,0.37163389613165204,oscillator|pullback_drawdown|volatility_band|volume_money,3
momentum_rps|oscillator|range_breakout|volume_money,6,0.38893163134516845,0.5067648592049906,0.2616577145876822,0.32698461248882404,momentum_rps|oscillator|range_breakout|volume_money,4
momentum_rps|pullback_drawdown|volatility_band|volume_money,6,0.39441348234210016,0.7395643599204739,0.2926279068870125,0.6204901787009136,momentum_rps|pullback_drawdown|volatility_band|volume_money,5
oscillator|pullback_drawdown|range_breakout|volume_money,6,0.3979095673879185,0.5067648592049906,0.26969019639426267,0.37927423444079456,oscillator|pullback_drawdown|range_breakout|volume_money,6
momentum_rps|range_breakout|volatility_band|volume_money,6,0.4045707443270863,0.5641530847367793,0.2790413659981071,0.37950134559797233,momentum_rps|range_breakout|volatility_band|volume_money,7
oscillator|price_trend|pullback_drawdown|volume_money,6,0.4058818118744875,0.5941795013459248,0.28583167612178273,0.4478513947644645,oscillator|price_trend|pullback_drawdown|volume_money,8
momentum_rps|oscillator|price_trend|volume_money,6,0.4060815327727456,0.6065978663403903,0.29034555741570184,0.470839951415491,momentum_rps|oscillator|price_trend|volume_money,9
pullback_drawdown|range_breakout|volatility_band|volume_money,6,0.4108357908962539,0.5641530847367793,0.2855521798035241,0.37950134559797233,pullback_drawdown|range_breakout|volatility_band|volume_money,10
momentum_rps|pullback_drawdown|range_breakout|volume_money,6,0.41382480045977577,0.7395643599204739,0.31339562153756967,0.6204901787009136,momentum_rps|pullback_drawdown|range_breakout|volume_money,11
price_trend|pullback_drawdown|volatility_band|volume_money,6,0.422883628399975,0.5941795013459248,0.30451452571471577,0.4478513947644645,price_trend|pullback_drawdown|volatility_band|volume_money,12
momentum_rps|price_trend|volatility_band|volume_money,6,0.42579623877181555,0.6065978663403903,0.31055007500979825,0.470839951415491,momentum_rps|price_trend|volatility_band|volume_money,13
momentum_rps|price_trend|range_breakout|volume_money,6,0.4307349044044277,0.6065978663403903,0.30821346307062897,0.470839951415491,momentum_rps|price_trend|range_breakout|volume_money,14
price_trend|pullback_drawdown|range_breakout|volume_money,6,0.43321436234961846,0.5941795013459248,0.3111415600985821,0.4478513947644645,price_trend|pullback_drawdown|range_breakout|volume_money,15
momentum_rps|price_trend|pullback_drawdown|volume_money,6,0.45373691678551936,0.7395643599204739,0.3469957557078014,0.6204901787009136,momentum_rps|price_trend|pullback_drawdown|volume_money,16
oscillator|price_trend|volatility_band|volume_money,6,0.45749850951527,0.5767501555299942,0.32700068577273167,0.4355299549703993,oscillator|price_trend|volatility_band|volume_money,17
oscillator|price_trend|range_breakout|volume_money,6,0.45904400937383705,0.5361158836228911,0.3090259362572098,0.38486811226884443,oscillator|price_trend|range_breakout|volume_money,18
momentum_rps|oscillator|range_breakout|volatility_band,6,0.45998831840930327,0.5641530847367793,0.31815089075144865,0.37950134559797233,momentum_rps|oscillator|range_breakout|volatility_band,19
momentum_rps|oscillator|pullback_drawdown|volatility_band,6,0.46459184955176774,0.7395643599204739,0.3393109887172154,0.6204901787009136,momentum_rps|oscillator|pullback_drawdown|volatility_band,20
oscillator|range_breakout|volatility_band|volume_money,6,0.46821288690971546,0.5641530847367793,0.31295063120375205,0.37950134559797233,oscillator|range_breakout|volatility_band|volume_money,21
oscillator|pullback_drawdown|range_breakout|volatility_band,6,0.47324085957461487,0.5641530847367793,0.32789007708252593,0.37950134559797233,oscillator|pullback_drawdown|range_breakout|volatility_band,22
momentum_rps|oscillator|pullback_drawdown|range_breakout,6,0.47351536864529864,0.7395643599204739,0.34972761691319354,0.6204901787009136,momentum_rps|oscillator|pullback_drawdown|range_breakout,23
price_trend|range_breakout|volatility_band|volume_money,6,0.47548849364869444,0.5767501555299942,0.32934836544522195,0.4355299549703993,price_trend|range_breakout|volatility_band|volume_money,24
momentum_rps|oscillator|price_trend|range_breakout,6,0.48452640621924864,0.6065978663403903,0.34529441911928216,0.470839951415491,momentum_rps|oscillator|price_trend|range_breakout,25
momentum_rps|oscillator|price_trend|volatility_band,6,0.4900755396107812,0.6065978663403903,0.3579821175130305,0.470839951415491,momentum_rps|oscillator|price_trend|volatility_band,26
oscillator|price_trend|pullback_drawdown|range_breakout,6,0.4939933587605833,0.5941795013459248,0.3514508886728956,0.4478513947644645,oscillator|price_trend|pullback_drawdown|range_breakout,27
oscillator|price_trend|pullback_drawdown|volatility_band,6,0.4941504238350845,0.5941795013459248,0.3551749407436082,0.4478513947644645,oscillator|price_trend|pullback_drawdown|volatility_band,28
momentum_rps|pullback_drawdown|range_breakout|volatility_band,6,0.5060370353860358,0.7395643599204739,0.38172714373712147,0.6204901787009136,momentum_rps|pullback_drawdown|range_breakout|volatility_band,29
momentum_rps|price_trend|range_breakout|volatility_band,6,0.5205663337265077,0.6065978663403903,0.38175439172196085,0.470839951415491,momentum_rps|price_trend|range_breakout|volatility_band,30
momentum_rps|oscillator|price_trend|pullback_drawdown,6,0.5222892117277909,0.7395643599204739,0.3916502688333159,0.6204901787009136,momentum_rps|oscillator|price_trend|pullback_drawdown,31
price_trend|pullback_drawdown|range_breakout|volatility_band,6,0.52732039679426,0.5941795013459248,0.38638919327441085,0.4478513947644645,price_trend|pullback_drawdown|range_breakout|volatility_band,32
oscillator|price_trend|range_breakout|volatility_band,6,0.5319944959563534,0.5767501555299942,0.37243522339725316,0.4355299549703993,oscillator|price_trend|range_breakout|volatility_band,33
