condition_group_id,family_id,split,base_action_time_row_count,feature_complete_count,feature_incomplete_count,signal_count,complete_h120_count,incomplete_h120_count,complete_h1_count,incomplete_h1_count,complete_h3_count,incomplete_h3_count,complete_h5_count,incomplete_h5_count,complete_h10_count,incomplete_h10_count,complete_h20_count,incomplete_h20_count
momentum_rps__and3__68b32373ce93,momentum_rps,train,179135,179135,0,22272,144625,34510,178883,252,178259,876,177671,1464,176271,2864,173580,5555
oscillator__and4__95dbd99ae828,oscillator,train,179135,179133,2,10681,144625,34510,178883,252,178259,876,177671,1464,176271,2864,173580,5555
price_trend__and3__6030760ed19f,price_trend,train,179135,179135,0,18594,144625,34510,178883,252,178259,876,177671,1464,176271,2864,173580,5555
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,train,179135,179135,0,29756,144625,34510,178883,252,178259,876,177671,1464,176271,2864,173580,5555
range_breakout__and3__00e51295d9c3,range_breakout,train,179135,179066,69,32074,144625,34510,178883,252,178259,876,177671,1464,176271,2864,173580,5555
volatility_band__and4__ef9c875dde10,volatility_band,train,179135,179063,72,13158,144625,34510,178883,252,178259,876,177671,1464,176271,2864,173580,5555
volume_money__and4__4eb7a99e922f,volume_money,train,179135,179135,0,10803,144625,34510,178883,252,178259,876,177671,1464,176271,2864,173580,5555
momentum_rps__and3__68b32373ce93,momentum_rps,validation,107845,107845,0,10919,81018,26827,107638,207,107214,631,106800,1045,105772,2073,103687,4158
oscillator__and4__95dbd99ae828,oscillator,validation,107845,107844,1,5409,81018,26827,107638,207,107214,631,106800,1045,105772,2073,103687,4158
price_trend__and3__6030760ed19f,price_trend,validation,107845,107845,0,7628,81018,26827,107638,207,107214,631,106800,1045,105772,2073,103687,4158
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,validation,107845,107845,0,13044,81018,26827,107638,207,107214,631,106800,1045,105772,2073,103687,4158
range_breakout__and3__00e51295d9c3,range_breakout,validation,107845,107805,40,16810,81018,26827,107638,207,107214,631,106800,1045,105772,2073,103687,4158
volatility_band__and4__ef9c875dde10,volatility_band,validation,107845,107807,38,6385,81018,26827,107638,207,107214,631,106800,1045,105772,2073,103687,4158
volume_money__and4__4eb7a99e922f,volume_money,validation,107845,107845,0,5692,81018,26827,107638,207,107214,631,106800,1045,105772,2073,103687,4158
momentum_rps__and3__68b32373ce93,momentum_rps,robustness,108406,108406,0,10929,76384,32022,108135,271,107555,851,106984,1422,105584,2822,102902,5504
oscillator__and4__95dbd99ae828,oscillator,robustness,108406,108406,0,7042,76384,32022,108135,271,107555,851,106984,1422,105584,2822,102902,5504
price_trend__and3__6030760ed19f,price_trend,robustness,108406,108406,0,8370,76384,32022,108135,271,107555,851,106984,1422,105584,2822,102902,5504
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,robustness,108406,108406,0,13646,76384,32022,108135,271,107555,851,106984,1422,105584,2822,102902,5504
range_breakout__and3__00e51295d9c3,range_breakout,robustness,108406,108402,4,19795,76384,32022,108135,271,107555,851,106984,1422,105584,2822,102902,5504
volatility_band__and4__ef9c875dde10,volatility_band,robustness,108406,108402,4,8668,76384,32022,108135,271,107555,851,106984,1422,105584,2822,102902,5504
volume_money__and4__4eb7a99e922f,volume_money,robustness,108406,108406,0,6311,76384,32022,108135,271,107555,851,106984,1422,105584,2822,102902,5504
momentum_rps__and3__68b32373ce93,momentum_rps,all,395386,395386,0,44120,302027,93359,394656,730,393028,2358,391455,3931,387627,7759,380169,15217
oscillator__and4__95dbd99ae828,oscillator,all,395386,395383,3,23132,302027,93359,394656,730,393028,2358,391455,3931,387627,7759,380169,15217
price_trend__and3__6030760ed19f,price_trend,all,395386,395386,0,34592,302027,93359,394656,730,393028,2358,391455,3931,387627,7759,380169,15217
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,all,395386,395386,0,56446,302027,93359,394656,730,393028,2358,391455,3931,387627,7759,380169,15217
range_breakout__and3__00e51295d9c3,range_breakout,all,395386,395273,113,68679,302027,93359,394656,730,393028,2358,391455,3931,387627,7759,380169,15217
volatility_band__and4__ef9c875dde10,volatility_band,all,395386,395272,114,28211,302027,93359,394656,730,393028,2358,391455,3931,387627,7759,380169,15217
volume_money__and4__4eb7a99e922f,volume_money,all,395386,395386,0,22806,302027,93359,394656,730,393028,2358,391455,3931,387627,7759,380169,15217
