condition_group_id,family_id,split,background_denominator_role,denominator_count,positive_h120_count,background_prior_h120_close_anchor
momentum_rps__and3__68b32373ce93,momentum_rps,train,global,144625,20641,0.14272082973206568
momentum_rps__and3__68b32373ce93,momentum_rps,train,feature_matched,144625,20641,0.14272082973206568
oscillator__and4__95dbd99ae828,oscillator,train,global,144625,20641,0.14272082973206568
oscillator__and4__95dbd99ae828,oscillator,train,feature_matched,144624,20641,0.14272181657262972
price_trend__and3__6030760ed19f,price_trend,train,global,144625,20641,0.14272082973206568
price_trend__and3__6030760ed19f,price_trend,train,feature_matched,144625,20641,0.14272082973206568
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,train,global,144625,20641,0.14272082973206568
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,train,feature_matched,144625,20641,0.14272082973206568
range_breakout__and3__00e51295d9c3,range_breakout,train,global,144625,20641,0.14272082973206568
range_breakout__and3__00e51295d9c3,range_breakout,train,feature_matched,144580,20640,0.14275833448609765
volatility_band__and4__ef9c875dde10,volatility_band,train,global,144625,20641,0.14272082973206568
volatility_band__and4__ef9c875dde10,volatility_band,train,feature_matched,144580,20640,0.14275833448609765
volume_money__and4__4eb7a99e922f,volume_money,train,global,144625,20641,0.14272082973206568
volume_money__and4__4eb7a99e922f,volume_money,train,feature_matched,144625,20641,0.14272082973206568
momentum_rps__and3__68b32373ce93,momentum_rps,validation,global,81018,4142,0.05112444148213977
momentum_rps__and3__68b32373ce93,momentum_rps,validation,feature_matched,81018,4142,0.05112444148213977
oscillator__and4__95dbd99ae828,oscillator,validation,global,81018,4142,0.05112444148213977
oscillator__and4__95dbd99ae828,oscillator,validation,feature_matched,81018,4142,0.05112444148213977
price_trend__and3__6030760ed19f,price_trend,validation,global,81018,4142,0.05112444148213977
price_trend__and3__6030760ed19f,price_trend,validation,feature_matched,81018,4142,0.05112444148213977
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,validation,global,81018,4142,0.05112444148213977
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,validation,feature_matched,81018,4142,0.05112444148213977
range_breakout__and3__00e51295d9c3,range_breakout,validation,global,81018,4142,0.05112444148213977
range_breakout__and3__00e51295d9c3,range_breakout,validation,feature_matched,80981,4141,0.051135451525666516
volatility_band__and4__ef9c875dde10,volatility_band,validation,global,81018,4142,0.05112444148213977
volatility_band__and4__ef9c875dde10,volatility_band,validation,feature_matched,80983,4142,0.0511465369275033
volume_money__and4__4eb7a99e922f,volume_money,validation,global,81018,4142,0.05112444148213977
volume_money__and4__4eb7a99e922f,volume_money,validation,feature_matched,81018,4142,0.05112444148213977
momentum_rps__and3__68b32373ce93,momentum_rps,robustness,global,76384,7384,0.09666945957268538
momentum_rps__and3__68b32373ce93,momentum_rps,robustness,feature_matched,76384,7384,0.09666945957268538
oscillator__and4__95dbd99ae828,oscillator,robustness,global,76384,7384,0.09666945957268538
oscillator__and4__95dbd99ae828,oscillator,robustness,feature_matched,76384,7384,0.09666945957268538
price_trend__and3__6030760ed19f,price_trend,robustness,global,76384,7384,0.09666945957268538
price_trend__and3__6030760ed19f,price_trend,robustness,feature_matched,76384,7384,0.09666945957268538
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,robustness,global,76384,7384,0.09666945957268538
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,robustness,feature_matched,76384,7384,0.09666945957268538
range_breakout__and3__00e51295d9c3,range_breakout,robustness,global,76384,7384,0.09666945957268538
range_breakout__and3__00e51295d9c3,range_breakout,robustness,feature_matched,76381,7384,0.09667325643811943
volatility_band__and4__ef9c875dde10,volatility_band,robustness,global,76384,7384,0.09666945957268538
volatility_band__and4__ef9c875dde10,volatility_band,robustness,feature_matched,76381,7384,0.09667325643811943
volume_money__and4__4eb7a99e922f,volume_money,robustness,global,76384,7384,0.09666945957268538
volume_money__and4__4eb7a99e922f,volume_money,robustness,feature_matched,76384,7384,0.09666945957268538
momentum_rps__and3__68b32373ce93,momentum_rps,all,global,302027,32167,0.10650372317706695
momentum_rps__and3__68b32373ce93,momentum_rps,all,feature_matched,302027,32167,0.10650372317706695
oscillator__and4__95dbd99ae828,oscillator,all,global,302027,32167,0.10650372317706695
oscillator__and4__95dbd99ae828,oscillator,all,feature_matched,302026,32167,0.10650407580804301
price_trend__and3__6030760ed19f,price_trend,all,global,302027,32167,0.10650372317706695
price_trend__and3__6030760ed19f,price_trend,all,feature_matched,302027,32167,0.10650372317706695
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,all,global,302027,32167,0.10650372317706695
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,all,feature_matched,302027,32167,0.10650372317706695
range_breakout__and3__00e51295d9c3,range_breakout,all,global,302027,32167,0.10650372317706695
range_breakout__and3__00e51295d9c3,range_breakout,all,feature_matched,301942,32165,0.10652708135999629
volatility_band__and4__ef9c875dde10,volatility_band,all,global,302027,32167,0.10650372317706695
volatility_band__and4__ef9c875dde10,volatility_band,all,feature_matched,301944,32166,0.10652968762419522
volume_money__and4__4eb7a99e922f,volume_money,all,global,302027,32167,0.10650372317706695
volume_money__and4__4eb7a99e922f,volume_money,all,feature_matched,302027,32167,0.10650372317706695
