condition_a,condition_b,signal_count_a,joint_signal_count,p_b_given_a,joint_complete_h120_count,joint_precision_h120
momentum_rps__and3__68b32373ce93,momentum_rps__and3__68b32373ce93,44120,44120,1.0,33161,0.15397605621060884
momentum_rps__and3__68b32373ce93,oscillator__and4__95dbd99ae828,44120,12397,0.2809836808703536,9352,0.14809666381522668
momentum_rps__and3__68b32373ce93,price_trend__and3__6030760ed19f,44120,25197,0.5711015412511333,18757,0.16255264701178226
momentum_rps__and3__68b32373ce93,pullback_drawdown__and3__11795aa42e45,44120,38507,0.8727787851314597,28946,0.15228356249568162
momentum_rps__and3__68b32373ce93,range_breakout__and3__00e51295d9c3,44120,27795,0.6299864007252947,20969,0.15284467547331776
momentum_rps__and3__68b32373ce93,volatility_band__and4__ef9c875dde10,44120,16382,0.3713055303717135,12296,0.1403708523096942
momentum_rps__and3__68b32373ce93,volume_money__and4__4eb7a99e922f,44120,8785,0.19911604714415232,6630,0.14796380090497738
oscillator__and4__95dbd99ae828,momentum_rps__and3__68b32373ce93,23132,12397,0.5359242607643092,9352,0.14809666381522668
oscillator__and4__95dbd99ae828,oscillator__and4__95dbd99ae828,23132,23132,1.0,17907,0.11230245155525773
oscillator__and4__95dbd99ae828,price_trend__and3__6030760ed19f,23132,15000,0.6484523603665917,11557,0.13913645409708403
oscillator__and4__95dbd99ae828,pullback_drawdown__and3__11795aa42e45,23132,15071,0.6515217015389936,11619,0.1327136586625355
oscillator__and4__95dbd99ae828,range_breakout__and3__00e51295d9c3,23132,21831,0.9437575652775376,16897,0.11215008581404984
oscillator__and4__95dbd99ae828,volatility_band__and4__ef9c875dde10,23132,13911,0.6013747190039772,10710,0.11260504201680673
oscillator__and4__95dbd99ae828,volume_money__and4__4eb7a99e922f,23132,10347,0.447302438180875,8049,0.11554230339172568
price_trend__and3__6030760ed19f,momentum_rps__and3__68b32373ce93,34592,25197,0.7284054116558741,18757,0.16255264701178226
price_trend__and3__6030760ed19f,oscillator__and4__95dbd99ae828,34592,15000,0.43362627197039777,11557,0.13913645409708403
price_trend__and3__6030760ed19f,price_trend__and3__6030760ed19f,34592,34592,1.0,26293,0.15209371315559275
