family_a,family_b,pair_denominator_count,pair_feature_incomplete_count,signal_count_a,signal_count_b,joint_signal_count,union_signal_count,p_b_given_a,p_a_given_b,phi_correlation,jaccard_overlap,joint_precision_h120_close_anchor,joint_complete_h120_count,joint_positive_h120_count,phi_null_reason
price_trend,price_trend,395386,0,34592,34592,34592,34592,1.0,1.0,1.0,1.0,0.15209371315559275,26293,3999,
price_trend,pullback_drawdown,395386,0,34592,56446,28160,62878,0.8140610545790934,0.49888388902668035,0.5941795013459248,0.4478513947644645,0.15153929056745233,21341,3234,
price_trend,range_breakout,395273,113,34592,68679,28700,74571,0.8296716003700277,0.4178861078350005,0.5361158836228912,0.38486811226884443,0.14870177363320533,21876,3253,
price_trend,volatility_band,395272,114,34592,28211,19054,43749,0.5508209990749307,0.6754103009464393,0.5767501555299942,0.4355299549703993,0.1344555135692202,14555,1957,
price_trend,volume_money,395386,0,34592,22806,11565,45833,0.33432585568917667,0.5071033938437254,0.36742505830127,0.25232910784805707,0.13452461227242077,8898,1197,
pullback_drawdown,momentum_rps,395386,0,56446,44120,38507,62059,0.6821918293590334,0.8727787851314597,0.7395643599204739,0.6204901787009136,0.15228356249568162,28946,4408,
pullback_drawdown,oscillator,395383,3,56446,23132,15071,64507,0.26699854728413,0.6515217015389936,0.3625288372277767,0.23363355914861952,0.1327136586625355,11619,1542,
pullback_drawdown,price_trend,395386,0,56446,34592,28160,62878,0.49888388902668035,0.8140610545790934,0.5941795013459248,0.4478513947644645,0.15153929056745233,21341,3234,
pullback_drawdown,pullback_drawdown,395386,0,56446,56446,56446,56446,1.0,1.0,1.0,1.0,0.14450853714813106,43340,6263,
pullback_drawdown,range_breakout,395273,113,56446,68679,34407,90718,0.6095560358572796,0.5009828331804481,0.46946269926662393,0.37927423444079456,0.14175248010259892,26511,3758,
pullback_drawdown,volatility_band,395272,114,56446,28211,19098,65559,0.3383410693406087,0.6769699762503988,0.4232610562633463,0.2913101176039903,0.1284843503869598,14601,1876,
pullback_drawdown,volume_money,395386,0,56446,22806,9694,69558,0.17173936151365907,0.4250635797597124,0.1996511254095419,0.1393657091923287,0.12885977810453147,7481,964,
range_breakout,momentum_rps,395273,113,68679,44120,27795,85004,0.4047088629712139,0.6299864007252947,0.4268151226150401,0.32698461248882404,0.15284467547331776,20969,3205,
range_breakout,oscillator,395271,115,68679,23126,21831,69974,0.3178700912942821,0.9440024215169074,0.5067648592049906,0.3119873095721268,0.11215008581404984,16897,1895,
range_breakout,price_trend,395273,113,68679,34592,28700,74571,0.4178861078350005,0.8296716003700277,0.5361158836228911,0.38486811226884443,0.14870177363320533,21876,3253,
range_breakout,pullback_drawdown,395273,113,68679,56446,34407,90718,0.5009828331804481,0.6095560358572796,0.46946269926662393,0.37927423444079456,0.14175248010259892,26511,3758,
range_breakout,range_breakout,395273,113,68679,68679,68679,68679,1.0,1.0,1.0,1.0,0.11263668813386467,52949,5964,
range_breakout,volatility_band,395206,180,68670,28211,26652,70229,0.38811708169506337,0.9447378682074368,0.5641530847367793,0.37950134559797233,0.11266362700397117,20397,2298,
range_breakout,volume_money,395273,113,68679,22789,19056,72412,0.2774647272091906,0.8361929000833735,0.4324519061514593,0.2631608020770038,0.11120996441281139,14612,1625,
volatility_band,momentum_rps,395272,114,28211,44120,16382,55949,0.5806954733969019,0.3713055303717135,0.41296588951395086,0.292802373590234,0.1403708523096942,12296,1726,
volatility_band,oscillator,395270,116,28211,23132,13911,37432,0.49310552621317927,0.6013747190039772,0.513274620748172,0.37163389613165204,0.11260504201680673,10710,1206,
volatility_band,price_trend,395272,114,28211,34592,19054,43749,0.6754103009464393,0.5508209990749307,0.5767501555299942,0.4355299549703993,0.1344555135692202,14555,1957,
volatility_band,pullback_drawdown,395272,114,28211,56446,19098,65559,0.6769699762503988,0.3383410693406087,0.4232610562633463,0.2913101176039903,0.1284843503869598,14601,1876,
volatility_band,range_breakout,395206,180,28211,68670,26652,70229,0.9447378682074368,0.38811708169506337,0.5641530847367793,0.37950134559797233,0.11266362700397117,20397,2298,
volatility_band,volatility_band,395272,114,28211,28211,28211,28211,1.0,1.0,1.0,1.0,0.11239233120311197,21594,2427,
volatility_band,volume_money,395272,114,28211,22802,10549,40464,0.37393215412427777,0.46263485659152703,0.3760348735497727,0.26070086990905494,0.10958395245170877,8076,885,
volume_money,momentum_rps,395386,0,22806,44120,8785,58141,0.3852056476365869,0.19911604714415232,0.21500358939551525,0.1510981923255534,0.14796380090497738,6630,981,
volume_money,oscillator,395383,3,22806,23132,10347,35591,0.453696395685346,0.447302438180875,0.41659797706711865,0.2907195639347026,0.11554230339172568,8049,930,
volume_money,price_trend,395386,0,22806,34592,11565,45833,0.5071033938437254,0.33432585568917667,0.36742505830127,0.25232910784805707,0.13452461227242077,8898,1197,
volume_money,pullback_drawdown,395386,0,22806,56446,9694,69558,0.4250635797597124,0.17173936151365907,0.19965112540954194,0.1393657091923287,0.12885977810453147,7481,964,
volume_money,range_breakout,395273,113,22789,68679,19056,72412,0.8361929000833735,0.2774647272091906,0.4324519061514593,0.2631608020770038,0.11120996441281139,14612,1625,
volume_money,volatility_band,395272,114,22802,28211,10549,40464,0.46263485659152703,0.37393215412427777,0.3760348735497727,0.26070086990905494,0.10958395245170877,8076,885,
volume_money,volume_money,395386,0,22806,22806,22806,22806,1.0,1.0,1.0,1.0,0.11187175537680415,17529,1961,
