policy_id,split,replay_status,event_count,share_of_policy_split
hold_120d|ATR_trailing_k3_activation_0|market_state_scaled|k_atr=3.0_min_activation_gain_pct=0.0,train,replay_complete,6415,0.9637920673076923
hold_120d|ATR_trailing_k3_activation_0|market_state_scaled|k_atr=3.0_min_activation_gain_pct=0.0,validation,censored_by_missing_price,33,0.009556907037358819
hold_120d|ATR_trailing_k3_activation_0|market_state_scaled|k_atr=3.0_min_activation_gain_pct=0.0,validation,replay_complete,3420,0.9904430929626412
hold_120d|ATR_trailing_k3_activation_0|volatility_scaled|k_atr=3.0_min_activation_gain_pct=0.0,robustness,censored_by_missing_price,57,0.019902234636871508
hold_120d|ATR_trailing_k3_activation_0|volatility_scaled|k_atr=3.0_min_activation_gain_pct=0.0,robustness,replay_complete,2807,0.9800977653631285
hold_120d|ATR_trailing_k3_activation_0|volatility_scaled|k_atr=3.0_min_activation_gain_pct=0.0,train,censored_by_missing_price,241,0.036207932692307696
hold_120d|ATR_trailing_k3_activation_0|volatility_scaled|k_atr=3.0_min_activation_gain_pct=0.0,train,replay_complete,6415,0.9637920673076923
hold_120d|ATR_trailing_k3_activation_0|volatility_scaled|k_atr=3.0_min_activation_gain_pct=0.0,validation,censored_by_missing_price,33,0.009556907037358819
hold_120d|ATR_trailing_k3_activation_0|volatility_scaled|k_atr=3.0_min_activation_gain_pct=0.0,validation,replay_complete,3420,0.9904430929626412
hold_120d|EMA_trailing_10d_confirm_1d|fixed_size|confirm_days=1_ema_window=10,robustness,censored_by_missing_price,57,0.019902234636871508
hold_120d|EMA_trailing_10d_confirm_1d|fixed_size|confirm_days=1_ema_window=10,robustness,replay_complete,2807,0.9800977653631285
hold_120d|EMA_trailing_10d_confirm_1d|fixed_size|confirm_days=1_ema_window=10,train,censored_by_missing_price,241,0.036207932692307696
hold_120d|EMA_trailing_10d_confirm_1d|fixed_size|confirm_days=1_ema_window=10,train,replay_complete,6415,0.9637920673076923
hold_120d|EMA_trailing_10d_confirm_1d|fixed_size|confirm_days=1_ema_window=10,validation,censored_by_missing_price,33,0.009556907037358819
hold_120d|EMA_trailing_10d_confirm_1d|fixed_size|confirm_days=1_ema_window=10,validation,replay_complete,3420,0.9904430929626412
hold_120d|EMA_trailing_10d_confirm_1d|market_state_scaled|confirm_days=1_ema_window=10,robustness,censored_by_missing_price,57,0.019902234636871508
hold_120d|EMA_trailing_10d_confirm_1d|market_state_scaled|confirm_days=1_ema_window=10,robustness,replay_complete,2807,0.9800977653631285
hold_120d|EMA_trailing_10d_confirm_1d|market_state_scaled|confirm_days=1_ema_window=10,train,censored_by_missing_price,241,0.036207932692307696
hold_120d|EMA_trailing_10d_confirm_1d|market_state_scaled|confirm_days=1_ema_window=10,train,replay_complete,6415,0.9637920673076923
hold_120d|EMA_trailing_10d_confirm_1d|market_state_scaled|confirm_days=1_ema_window=10,validation,censored_by_missing_price,33,0.009556907037358819
hold_120d|EMA_trailing_10d_confirm_1d|market_state_scaled|confirm_days=1_ema_window=10,validation,replay_complete,3420,0.9904430929626412
hold_120d|EMA_trailing_10d_confirm_1d|volatility_scaled|confirm_days=1_ema_window=10,robustness,censored_by_missing_price,57,0.019902234636871508
hold_120d|EMA_trailing_10d_confirm_1d|volatility_scaled|confirm_days=1_ema_window=10,robustness,replay_complete,2807,0.9800977653631285
