split,r04_candidate_rows,included_rows,valid_entry_rows,policy_replay_eligible_rows,excluded_invalid_entry,excluded_entry_price_mismatch,excluded_missing_price_path,excluded_missing_required_indicator,excluded_split_boundary,other_unrecognized_market_regime_rows,entry_price_rel_diff_p50,entry_price_rel_diff_p95,entry_price_rel_diff_max,source_manifest_hash,source_candidate_panel_hash
train,8245,6656,6656,6656,0,0,0,0,0,0,0.0,2.220446049250313e-16,2.220446049250313e-16,3e3d9f6f7d5f246c6f006c2701ae32e674cad5142892897ea9d802a450f3b307,d00dea1db5139931f88fc806f9f2cacacbd7bd57b4c94d9de93296c3962ce8cb
validation,4130,3453,3453,3453,0,0,0,0,0,0,0.0,2.220446049250313e-16,2.220446049250313e-16,3e3d9f6f7d5f246c6f006c2701ae32e674cad5142892897ea9d802a450f3b307,d00dea1db5139931f88fc806f9f2cacacbd7bd57b4c94d9de93296c3962ce8cb
robustness,4207,2864,2864,2864,0,0,0,0,0,0,0.0,2.220446049250313e-16,2.220446049250313e-16,3e3d9f6f7d5f246c6f006c2701ae32e674cad5142892897ea9d802a450f3b307,d00dea1db5139931f88fc806f9f2cacacbd7bd57b4c94d9de93296c3962ce8cb
