spec_section,spec_item,frozen_value_json,formula_text,source_config_key,formula_hash
return,simple_return,"{""return_type"":""simple_return""}",gross_return=exit_price/entry_price-1;net=gross-cost,return,bdc9fee0c6c2b55761c1312d130d83d69b70243f910d297f9deb0a01157ce190
cost,a_share_daily_replay_default_v1,"{""commission_bps_per_side"":3.0,""cost_model_id"":""a_share_daily_replay_default_v1"",""entry_slippage_bps"":5.0,""exit_slippage_bps"":5.0,""min_fee_policy"":""none"",""stamp_tax_bps_on_exit"":5.0}",entry/exit bps frozen in config,cost,8fbd3bf3b1222f757adef0dca26a43f958c55dcf3b27063df712040aed030bd3
sizing,weighted_net_return,"{""formula"":""position_weight * unweighted_net_return""}",headline net_return_* uses weighted_net_return,sizing,1a41239fca7b17bd00ebc5f63afeac98577819492c53d71aaf710002efa44c05
execution,close_signal_next_open,"{""execution_policy"":""close_signal_next_open"",""max_exit_execution_lag_trading_days"":5,""max_holding_days"":120,""pre_entry_lookback_trading_days"":60,""return_type"":""simple_return""}","signal at close, execute first executable next open",execution,ea119a3b587e76c2cf26afef7c426b9bd7c0d457ac00d3f45027137b12826c06
price_adjustment,qlib_adjusted_ohlc_fields,"{""adjustment_policy"":""qlib_adjusted_ohlc_fields"",""calendar_source_path"":""data/qlib/cn_data_pit/calendars/day.txt"",""instrument_source_path"":""data/qlib/cn_data_pit/instruments/pit_mcap500_mainboard.txt"",""price_source_path"":""data/qlib/cn_data_pit"",""provider_type"":""qlib_pit_local"",""required_qlib_fields"":[""$open"",""$high"",""$low"",""$close"",""$volume"",""$money"",""$factor""]}",Qlib adjusted OHLC interpreted as executable adjusted prices,price_adjustment,95941d06528a3d2a34f28862eb1238e32dd4e1c26a866c3f665d7b62e89066cf
censored,status_set,"{""statuses"":[""replay_complete"",""censored_by_split_boundary"",""censored_by_missing_price"",""censored_by_missing_required_indicator"",""censored_by_suspension_or_dirty_bar"",""censored_by_no_exit_execution"",""invalid_entry""]}",headline uses replay_complete only,censored,94aa78b7903bfc0f90b10f270cae7be7dd9fd5df5e8bdeecc12177f4a04d0e20
max_gain50_retention,hold120,"{""threshold"":0.5}",policy_exit_execution_date > hold120_first_plus50_hit_date,max_gain50_retention,bc05cfac35dc1b4f81472dd3f2216b553a0dcf8d23eb071b2a84ca78fdc1331b
baseline_delta,hold120_no_exit_fixed_size,"{""baseline_policy_id"":""baseline_hold120_no_exit_fixed_size""}",same split / same subgroup baseline comparisons,baseline_delta,bb700e44672a71dafa6bc4506e84ca72fa58a1ac9487577a40d9c037f9286291
