selection_stage,split_used,policy_family_id,exit_rule_family_id,candidate_policy_id,parameter_set_id,parameter_values_json,selection_metric_name,selection_metric_value,selection_rank,z_reference_set_id,z_reference_set_size,selected_flag,rejection_reason
train_parameter_selection,train,hold_20d|no_exit|fixed_size,no_exit,hold_20d|no_exit|fixed_size|no_params,ecaf22503df568a0,{},train_selection_score,0.0,1,hold_20d|no_exit|fixed_size,1,False,failed_train_gate
train_parameter_selection,train,hold_20d|fixed_stop|fixed_size,fixed_stop,hold_20d|fixed_stop_10pct|fixed_size|stop_loss_pct=-0.1,820234c096390337,"{""stop_loss_pct"":-0.1}",train_selection_score,1.4472174020323512,1,hold_20d|fixed_stop|fixed_size,3,False,failed_train_gate
train_parameter_selection,train,hold_20d|fixed_stop|fixed_size,fixed_stop,hold_20d|fixed_stop_8pct|fixed_size|stop_loss_pct=-0.08,a76054f209c25cdc,"{""stop_loss_pct"":-0.08}",train_selection_score,-0.5501117188323329,2,hold_20d|fixed_stop|fixed_size,3,False,failed_train_gate
train_parameter_selection,train,hold_20d|fixed_stop|fixed_size,fixed_stop,hold_20d|fixed_stop_5pct|fixed_size|stop_loss_pct=-0.05,184bb3b552945013,"{""stop_loss_pct"":-0.05}",train_selection_score,-0.8971056831999834,3,hold_20d|fixed_stop|fixed_size,3,False,failed_train_gate
train_parameter_selection,train,hold_20d|time_stop|fixed_size,time_stop,hold_20d|time_stop_10d|fixed_size|time_stop_days=10,c3ce4e135c0ca765,"{""time_stop_days"":10}",train_selection_score,0.0,1,hold_20d|time_stop|fixed_size,1,False,failed_train_gate
train_parameter_selection,train,hold_20d|break_even_after_gain|fixed_size,break_even_after_gain,hold_20d|break_even_after_gain_10pct|fixed_size|activation_gain_pct=0.1,1bf1c857136dce65,"{""activation_gain_pct"":0.1}",train_selection_score,3.817209900309977,1,hold_20d|break_even_after_gain|fixed_size,3,False,failed_train_gate
train_parameter_selection,train,hold_20d|break_even_after_gain|fixed_size,break_even_after_gain,hold_20d|break_even_after_gain_15pct|fixed_size|activation_gain_pct=0.15,382a2a20a8a9c935,"{""activation_gain_pct"":0.15}",train_selection_score,-0.687635695202035,2,hold_20d|break_even_after_gain|fixed_size,3,False,failed_train_gate
train_parameter_selection,train,hold_20d|break_even_after_gain|fixed_size,break_even_after_gain,hold_20d|break_even_after_gain_20pct|fixed_size|activation_gain_pct=0.2,4d94dcba7da306e7,"{""activation_gain_pct"":0.2}",train_selection_score,-3.1295742051079416,3,hold_20d|break_even_after_gain|fixed_size,3,False,failed_train_gate
train_parameter_selection,train,hold_20d|profit_lock_after_gain|fixed_size,profit_lock_after_gain,hold_20d|profit_lock_after_gain_15pct_lock_5pct|fixed_size|activation_gain_pct=0.15_locked_gain_pct=0.05,c7475cc21dbd08a2,"{""activation_gain_pct"":0.15,""locked_gain_pct"":0.05}",train_selection_score,4.178943634482161,1,hold_20d|profit_lock_after_gain|fixed_size,6,False,failed_train_gate
train_parameter_selection,train,hold_20d|profit_lock_after_gain|fixed_size,profit_lock_after_gain,hold_20d|profit_lock_after_gain_15pct_lock_10pct|fixed_size|activation_gain_pct=0.15_locked_gain_pct=0.1,853baf57901ae627,"{""activation_gain_pct"":0.15,""locked_gain_pct"":0.1}",train_selection_score,3.156048287075004,2,hold_20d|profit_lock_after_gain|fixed_size,6,False,failed_train_gate
