split,seed_family_id,reference_type,big_winner_reference_count,captured_big_winner_count,missed_big_winner_count,primary_big_winner_seed_recall,bridge_ep2_big_winner_seed_recall,late_capture_0_to_10_count,seed_recall_diff_vs_ep2_detector
train,ep4_wide_seed_v0,primary_big_winner_50h120_close_confirmed,446,73,373,0.16367713004484305,,0,0.08295964125560538
train,ep2_launch_detector_v0_bridge,primary_big_winner_50h120_close_confirmed,446,36,410,0.08071748878923767,,0,0.0
validation,ep4_wide_seed_v0,primary_big_winner_50h120_close_confirmed,158,15,143,0.0949367088607595,,0,0.0759493670886076
validation,ep2_launch_detector_v0_bridge,primary_big_winner_50h120_close_confirmed,158,3,155,0.0189873417721519,,0,0.0
robustness,ep4_wide_seed_v0,primary_big_winner_50h120_close_confirmed,241,44,197,0.1825726141078838,,0,0.12033195020746887
robustness,ep2_launch_detector_v0_bridge,primary_big_winner_50h120_close_confirmed,241,15,226,0.06224066390041494,,0,0.0
