split,candidate_total_failed_loss_r,ep2_total_failed_loss_r,incremental_abs_failed_loss_r_vs_ep2,candidate_captured_reference_count,ep2_captured_reference_count,overlap_captured_reference_count,added_capture_vs_ep2_count,lost_capture_vs_ep2_count,net_added_capture_vs_ep2_count,late_capture_0_to_10_count,recall_cost_score,incremental_loss_r_per_added_big_winner_vs_ep2,incremental_exposure_days_per_added_big_winner_vs_ep2,max_allowed_incremental_loss_r_per_added_big_winner_vs_ep2,max_allowed_incremental_exposure_days_per_added_big_winner_vs_ep2,decision_support_status
train,285.1217097980586,177.39759428802228,107.72411551003631,124,51,26,98,25,73,0,0.6776569912351597,1.4756728152059768,62.726027397260275,5.0,250.0,passed
validation,114.28890800660501,86.46449101788724,27.824416988717772,28,6,3,25,3,22,0,0.7906724517865207,1.2647462267598988,50.09090909090909,5.0,250.0,passed
robustness,127.04235136360657,101.32988419610972,25.712467167496854,75,23,12,63,11,52,0,2.0223652464487434,0.49447052245186257,26.692307692307693,7.5,375.0,passed
