horizon,validation_mean_spread,robustness_mean_spread,validation_positive_instrument_share,robustness_positive_instrument_share,validation_anchor_decile_monotonicity,robustness_anchor_decile_monotonicity,validation_positive_anchor_offset_count,robustness_positive_anchor_offset_count,validation_top1_instrument_contribution_share,robustness_top1_instrument_contribution_share,validation_top5_instrument_contribution_share,robustness_top5_instrument_contribution_share,diagnostic_concentration_denominator_zero_flag,diagnostic_horizon_positive
H5,0.004416993721539507,0.0028787431248481774,0.7112970711297071,0.7478260869565218,0.8909090909090909,0.9636363636363635,5,5,0.01952334439782892,0.01698375073681405,0.08670903011694246,0.07031975739007162,False,True
H10,0.00839320312432502,0.0037948976523932685,0.7637130801687764,0.775330396475771,0.9636363636363635,0.8545454545454544,10,8,0.017701303507480507,0.01776924811012837,0.0804346270084236,0.07260068600650849,False,True
