,,risk
excess_return_without_cost,mean,0.0009620744482173454
excess_return_without_cost,std,0.004307334978106942
excess_return_without_cost,annualized_return,0.22897371867572822
excess_return_without_cost,information_ratio,3.445787657462934
excess_return_without_cost,max_drawdown,-0.03426419722567253
excess_return_with_cost,mean,0.0006849185855419933
excess_return_with_cost,std,0.004310596601737308
excess_return_with_cost,annualized_return,0.1630106233589944
excess_return_with_cost,information_ratio,2.4512637762780582
excess_return_with_cost,max_drawdown,-0.042279212973178965
benchmark,mean,0.0006773731551573942
benchmark,std,0.009719353201924266
benchmark,annualized_return,0.16121481092745982
benchmark,information_ratio,1.0751748451146768
benchmark,max_drawdown,-0.10799944400787354
strategy_return_without_cost,mean,0.0016394476033747398
strategy_return_without_cost,std,0.00968468076369126
strategy_return_without_cost,annualized_return,0.39018852960318806
strategy_return_without_cost,information_ratio,2.611564221345906
strategy_return_without_cost,max_drawdown,-0.08790099913447919
strategy_return_with_cost,mean,0.0013622917406993875
strategy_return_with_cost,std,0.009682134757113256
strategy_return_with_cost,annualized_return,0.32422543428645423
strategy_return_with_cost,information_ratio,2.170638387576605
strategy_return_with_cost,max_drawdown,-0.09180604661461389
