split,regime_source_artifact,event_regime_source_artifact,event_regime_source_column,event_market_regime_alias_column,event_market_regime_alias_agreement,episode_regime_source_artifact,episode_regime_source_column,event_episode_regime_same_source_flag,event_regime_reconstruction_source,event_regime_reconstruction_join_key,feature_panel_market_wide_regime_check,t0_visible_flag,future_join_count,published_reconstructed_consistency,risk_on_reconstructed_not_published_share,published_risk_on_not_reconstructed_share,risk_off_reconstructed_consistency_readonly,transition_drift_context
all,candidate_family_canonical_events.csv.gz,candidate_family_canonical_events.csv.gz,event_regime_bucket,market_regime_bucket,1.0,candidate_family_capture.parquet,market_regime_bucket,False,cross_section_feature_panel.parquet,event_t0_date,pass,True,0,1.0,0.0,0.0,1.0,transition_readout_only_not_training_scope
train,candidate_family_canonical_events.csv.gz,candidate_family_canonical_events.csv.gz,event_regime_bucket,market_regime_bucket,1.0,candidate_family_capture.parquet,market_regime_bucket,False,cross_section_feature_panel.parquet,event_t0_date,pass,True,0,1.0,0.0,0.0,,transition_readout_only_not_training_scope
validation,candidate_family_canonical_events.csv.gz,candidate_family_canonical_events.csv.gz,event_regime_bucket,market_regime_bucket,1.0,candidate_family_capture.parquet,market_regime_bucket,False,cross_section_feature_panel.parquet,event_t0_date,pass,True,0,1.0,0.0,0.0,,transition_readout_only_not_training_scope
robustness,candidate_family_canonical_events.csv.gz,candidate_family_canonical_events.csv.gz,event_regime_bucket,market_regime_bucket,1.0,candidate_family_capture.parquet,market_regime_bucket,False,cross_section_feature_panel.parquet,event_t0_date,pass,True,0,1.0,0.0,0.0,,transition_readout_only_not_training_scope
