candidate_label_id,is_incumbent_baseline,candidate_label_status,denominator_id,split,raw_event_n,horizon_complete_10d_n,horizon_complete_20d_n,censored_n,non_executable_n,not_evaluable_n,not_evaluable_share,coverage_asymmetry_caveat,winner_120_complete_n,winner_120_incomplete_n,winner_120_incomplete_non_executable_n,winner_120_incomplete_censored_n,winner_120_complete_share,winner_120_completeness_caveat,positive_n,positive_rate,episode_winner_recall_retention,kill_wrong_rate,winner_injury_rate,old_target_jaccard,incumbent_delta_kill_wrong,incumbent_delta_winner_injury,selection_gate_status
incumbent_failure_10_label,True,evaluable,risk_off_e1_horizon_complete_readonly,all,1887,1885,1885,2,2,2,0.0010598834128245894,False,1885,2,2,0,0.9989401165871754,False,307,0.16286472148541115,0.9183333333333333,0.08469055374592833,0.0896551724137931,1.0,0.0,0.0,diagnostic
incumbent_failure_10_label,True,evaluable,risk_off_e1_horizon_complete_readonly,train,754,754,754,0,0,0,0.0,False,754,0,0,0,1.0,False,124,0.16445623342175067,0.9233870967741935,0.12903225806451613,0.11764705882352941,1.0,0.0,0.0,diagnostic
incumbent_failure_10_label,True,evaluable,risk_off_e1_horizon_complete_readonly,validation,666,665,665,1,1,1,0.0015015015015015015,False,665,1,1,0,0.9984984984984985,False,133,0.2,0.900523560209424,0.03007518796992481,0.05263157894736842,1.0,0.0,0.0,diagnostic
incumbent_failure_10_label,True,evaluable,risk_off_e1_horizon_complete_readonly,robustness,467,466,466,1,1,1,0.0021413276231263384,False,466,1,1,0,0.9978586723768736,False,50,0.1072961373390558,0.9272727272727272,0.12,0.07692307692307693,1.0,0.0,0.0,diagnostic
incumbent_failure_10_label,True,evaluable,risk_on_r6_horizon_complete,all,9260,9230,9230,30,30,30,0.0032397408207343412,False,9228,32,30,2,0.9965442764578833,False,2404,0.26045503791982666,0.9069148936170213,0.12317935913441531,0.18419415059116365,1.0,0.0,0.0,diagnostic
incumbent_failure_10_label,True,evaluable,risk_on_r6_horizon_complete,train,4816,4794,4794,22,22,22,0.004568106312292359,False,4794,22,22,0,0.9954318936877077,False,1463,0.30517313308302046,0.9105312208760484,0.12030075187969924,0.20045558086560364,1.0,0.0,0.0,diagnostic
incumbent_failure_10_label,True,evaluable,risk_on_r6_horizon_complete,validation,1441,1440,1440,1,1,1,0.0006939625260235947,False,1440,1,1,0,0.9993060374739764,False,261,0.18125,0.9209302325581395,0.0421455938697318,0.102803738317757,1.0,0.0,0.0,diagnostic
incumbent_failure_10_label,True,evaluable,risk_on_r6_horizon_complete,robustness,3003,2996,2996,7,7,7,0.002331002331002331,False,2994,9,7,2,0.997002997002997,False,680,0.22696929238985314,0.8933333333333333,0.16053019145802652,0.1752411575562701,1.0,0.0,0.0,diagnostic
incumbent_failure_10_label,True,evaluable,risk_on_r_core_horizon_complete,all,30790,30737,30737,53,53,53,0.0017213380967846703,False,30731,59,53,6,0.9980837934394284,False,8151,0.26518528158245763,0.9405895691609978,0.11622484045164458,0.17901701323251418,1.0,0.0,0.0,diagnostic
incumbent_failure_10_label,True,evaluable,risk_on_r_core_horizon_complete,train,16603,16571,16571,32,32,32,0.0019273625248449075,False,16571,32,32,0,0.9980726374751551,False,4938,0.29799046527065354,0.9650291423813488,0.11057108140947752,0.18396226415094338,1.0,0.0,0.0,diagnostic
