candidate_label_id,mechanism_family,required_source_artifacts,required_fields,path_ordering_required,candidate_label_status,not_evaluable_reason,price_path_coverage_rate,field_missing_count,not_evaluable_count
incumbent_failure_10_label,incumbent_fixed_mae10,candidate_family_event_labels.parquet,failure_10_label;failure_10_complete,False,evaluable,upstream_failure_10_incomplete,0.9979731502014927,0,85
fixed_mae10_neg_05,fixed_mae10,data/interim/qlib_csv/day/*.csv,date;open;high;low;close;volume;money;factor;adjustment_policy=qfq_daily_csv_factor_column,True,evaluable,non_executable_next_open,0.9979731502014927,0,85
fixed_mae10_neg_06,fixed_mae10,data/interim/qlib_csv/day/*.csv,date;open;high;low;close;volume;money;factor;adjustment_policy=qfq_daily_csv_factor_column,True,sensitivity_only,non_executable_next_open,0.9979731502014927,0,85
fixed_mae10_neg_08,fixed_mae10,data/interim/qlib_csv/day/*.csv,date;open;high;low;close;volume;money;factor;adjustment_policy=qfq_daily_csv_factor_column,True,evaluable,non_executable_next_open,0.9979731502014927,0,85
fixed_mae10_neg_10,fixed_mae10,data/interim/qlib_csv/day/*.csv,date;open;high;low;close;volume;money;factor;adjustment_policy=qfq_daily_csv_factor_column,True,evaluable,non_executable_next_open,0.9979731502014927,0,85
fixed_mae10_neg_12,fixed_mae10,data/interim/qlib_csv/day/*.csv,date;open;high;low;close;volume;money;factor;adjustment_policy=qfq_daily_csv_factor_column,True,evaluable,non_executable_next_open,0.9979731502014927,0,85
vol_sigma20_1_0,vol_scaled,data/interim/qlib_csv/day/*.csv,date;open;high;low;close;volume;money;factor;adjustment_policy=qfq_daily_csv_factor_column,True,evaluable,non_executable_next_open,0.9979731502014927,0,85
vol_sigma20_1_5,vol_scaled,data/interim/qlib_csv/day/*.csv,date;open;high;low;close;volume;money;factor;adjustment_policy=qfq_daily_csv_factor_column,True,evaluable,barrier_not_evaluable;non_executable_next_open,0.9979493049097455,0,86
vol_sigma20_2_0,vol_scaled,data/interim/qlib_csv/day/*.csv,date;open;high;low;close;volume;money;factor;adjustment_policy=qfq_daily_csv_factor_column,True,evaluable,barrier_not_evaluable;non_executable_next_open,0.9979493049097455,0,86
atr14_1_5,atr_scaled,data/interim/qlib_csv/day/*.csv,date;open;high;low;close;volume;money;factor;adjustment_policy=qfq_daily_csv_factor_column,True,evaluable,non_executable_next_open,0.9979731502014927,0,85
atr14_2_0,atr_scaled,data/interim/qlib_csv/day/*.csv,date;open;high;low;close;volume;money;factor;adjustment_policy=qfq_daily_csv_factor_column,True,evaluable,non_executable_next_open,0.9979731502014927,0,85
break_event_low,structural,data/interim/qlib_csv/day/*.csv,date;open;high;low;close;volume;money;factor;adjustment_policy=qfq_daily_csv_factor_column,True,evaluable,non_executable_next_open,0.9979731502014927,0,85
break_swing_low_20,structural,data/interim/qlib_csv/day/*.csv,date;open;high;low;close;volume;money;factor;adjustment_policy=qfq_daily_csv_factor_column,True,evaluable,non_executable_next_open,0.9979731502014927,0,85
break_ema20,structural,data/interim/qlib_csv/day/*.csv,date;open;high;low;close;volume;money;factor;adjustment_policy=qfq_daily_csv_factor_column,True,evaluable,non_executable_next_open,0.9979731502014927,0,85
break_ema60,structural,data/interim/qlib_csv/day/*.csv,date;open;high;low;close;volume;money;factor;adjustment_policy=qfq_daily_csv_factor_column,True,evaluable,non_executable_next_open,0.9979731502014927,0,85
