label_id,mechanism_family,series_used,lookback_window,as_of_rule,touch_price_field,feature_overlap_risk,selected_fast_fail_component_flag,selected_cost_target_component_flag,not_evaluable_policy
incumbent_failure_10_label,incumbent_fixed_mae10,upstream_failure_10_label,,upstream_label_contract,upstream,low,False,False,upstream_failure_10_complete
fixed_mae10_neg_05,fixed_mae10,qfq_daily_ohlc,10,pre_trade_time_for_barrier_estimator;future_10d_only_for_touch,low,related,False,False,mark_not_evaluable_no_implicit_denominator_change
fixed_mae10_neg_06,fixed_mae10,qfq_daily_ohlc,10,pre_trade_time_for_barrier_estimator;future_10d_only_for_touch,low,related,False,False,mark_not_evaluable_no_implicit_denominator_change
fixed_mae10_neg_08,fixed_mae10,qfq_daily_ohlc,10,pre_trade_time_for_barrier_estimator;future_10d_only_for_touch,low,related,False,False,mark_not_evaluable_no_implicit_denominator_change
fixed_mae10_neg_10,fixed_mae10,qfq_daily_ohlc,10,pre_trade_time_for_barrier_estimator;future_10d_only_for_touch,low,related,False,False,mark_not_evaluable_no_implicit_denominator_change
fixed_mae10_neg_12,fixed_mae10,qfq_daily_ohlc,10,pre_trade_time_for_barrier_estimator;future_10d_only_for_touch,low,related,True,True,mark_not_evaluable_no_implicit_denominator_change
vol_sigma20_1_0,vol_scaled,qfq_daily_ohlc,20,pre_trade_time_for_barrier_estimator;future_10d_only_for_touch,low,direct,False,False,mark_not_evaluable_no_implicit_denominator_change
vol_sigma20_1_5,vol_scaled,qfq_daily_ohlc,20,pre_trade_time_for_barrier_estimator;future_10d_only_for_touch,low,direct,False,False,mark_not_evaluable_no_implicit_denominator_change
vol_sigma20_2_0,vol_scaled,qfq_daily_ohlc,20,pre_trade_time_for_barrier_estimator;future_10d_only_for_touch,low,direct,False,False,mark_not_evaluable_no_implicit_denominator_change
atr14_1_5,atr_scaled,qfq_daily_ohlc,14,pre_trade_time_for_barrier_estimator;future_10d_only_for_touch,low,direct,False,False,mark_not_evaluable_no_implicit_denominator_change
atr14_2_0,atr_scaled,qfq_daily_ohlc,14,pre_trade_time_for_barrier_estimator;future_10d_only_for_touch,low,direct,False,False,mark_not_evaluable_no_implicit_denominator_change
break_event_low,structural,qfq_daily_ohlc,10,pre_trade_time_for_barrier_estimator;future_10d_only_for_touch,low,direct,False,False,mark_not_evaluable_no_implicit_denominator_change
break_swing_low_20,structural,qfq_daily_ohlc,20,pre_trade_time_for_barrier_estimator;future_10d_only_for_touch,low,direct,True,True,mark_not_evaluable_no_implicit_denominator_change
break_ema20,structural,qfq_daily_ohlc,20,pre_trade_time_for_barrier_estimator;future_10d_only_for_touch,low,direct,False,False,mark_not_evaluable_no_implicit_denominator_change
break_ema60,structural,qfq_daily_ohlc,60,pre_trade_time_for_barrier_estimator;future_10d_only_for_touch,low,direct,False,False,mark_not_evaluable_no_implicit_denominator_change
