denominator_id,split,binding_row_n,unique_sample_n,unique_canonical_event_n,winner_120_complete_n,winner_120_incomplete_n,winner_120_incomplete_non_executable_n,winner_120_incomplete_censored_n,null_winner_label_n,candidate_outcome_120d_status_values
risk_off_e1_horizon_complete_readonly,all,1887,1887,1887,1885,2,2,0,2,non_executable_next_open;not_missing
risk_off_e1_horizon_complete_readonly,train,754,754,754,754,0,0,0,0,not_missing
risk_off_e1_horizon_complete_readonly,validation,666,666,666,665,1,1,0,1,non_executable_next_open;not_missing
risk_off_e1_horizon_complete_readonly,robustness,467,467,467,466,1,1,0,1,non_executable_next_open;not_missing
risk_on_r6_horizon_complete,all,9260,9260,9260,9228,32,30,2,32,censored_incomplete_horizon;non_executable_next_open;not_missing
risk_on_r6_horizon_complete,train,4816,4816,4816,4794,22,22,0,22,non_executable_next_open;not_missing
risk_on_r6_horizon_complete,validation,1441,1441,1441,1440,1,1,0,1,non_executable_next_open;not_missing
risk_on_r6_horizon_complete,robustness,3003,3003,3003,2994,9,7,2,9,censored_incomplete_horizon;non_executable_next_open;not_missing
risk_on_r_core_horizon_complete,all,30790,30790,30790,30731,59,53,6,59,censored_incomplete_horizon;non_executable_next_open;not_missing
risk_on_r_core_horizon_complete,train,16603,16603,16603,16571,32,32,0,32,non_executable_next_open;not_missing
risk_on_r_core_horizon_complete,validation,4457,4457,4457,4455,2,2,0,2,non_executable_next_open;not_missing
risk_on_r_core_horizon_complete,robustness,9730,9730,9730,9705,25,19,6,25,censored_incomplete_horizon;non_executable_next_open;not_missing
