gate_order,gate_id,stage_id,status,check_n,pass_n,fail_n,evidence_paths_json,first_failure_reason
1,execution_authorization_gate,E0_PREAUTH_AND_PREFLIGHT,pass,1,1,0,[],
2,paper_and_upstream_hash_gate,E0_PREAUTH_AND_PREFLIGHT,pass,1,1,0,[],
3,upstream_terminal_state_gate,E0_PREAUTH_AND_PREFLIGHT,pass,1,1,0,[],
4,retained_universe_exact_match_gate,E0_PREAUTH_AND_PREFLIGHT,pass,1,1,0,[],
5,ambiguity_and_hypothesis_registry_gate,E0_PREAUTH_AND_PREFLIGHT,pass,1,1,0,[],
6,historical_holdout_zero_access_gate,E0_PREAUTH_AND_PREFLIGHT,pass,1,1,0,[],
7,predictor_arm_exact_gate,E0_PREAUTH_AND_PREFLIGHT,pass,1,1,0,[],
8,exact_predictor_replay_gate,E1_PREDICTOR_EARLY_READOUT,pass,1,1,0,[],
9,predictor_draw_schedule_gate,E1_PREDICTOR_EARLY_READOUT,pass,1,1,0,[],
10,predictor_early_completion_gate,E1_PREDICTOR_EARLY_READOUT,pass,1,1,0,[],
11,training_arm_exact_gate,E2_DRC_TRAINING_AND_EARLY_SELECTION,pass,1,1,0,[],
12,common_resource_contract_gate,E2_DRC_TRAINING_AND_EARLY_SELECTION,pass,1,1,0,[],
13,training_completion_gate,E2_DRC_TRAINING_AND_EARLY_SELECTION,pass,1,1,0,[],
14,exact_g0_retrain_gate,E2_DRC_TRAINING_AND_EARLY_SELECTION,pass,1,1,0,[],
15,gradient_and_collapse_audit_gate,E2_DRC_TRAINING_AND_EARLY_SELECTION,pass,1,1,0,[],
16,early_selection_firewall_gate,E2_DRC_TRAINING_AND_EARLY_SELECTION,pass,1,1,0,[],
17,pre_late_complete_gate,E3_PRE_LATE_COMPLETE,pass,1,1,0,[],
18,fresh_late_worker_gate,E4_FRESH_LATE_READOUT,pass,1,1,0,[],
19,prediction_coverage_gate,E4_FRESH_LATE_READOUT,pass,1,1,0,[],
20,metric_implementation_gate,E4_FRESH_LATE_READOUT,pass,1,1,0,[],
21,paired_contrast_gate,E4_FRESH_LATE_READOUT,pass,1,1,0,[],
22,hypothesis_falsification_gate,E4_FRESH_LATE_READOUT,pass,1,1,0,[],
23,portfolio_output_absence_gate,E4_FRESH_LATE_READOUT,pass,1,1,0,[],
24,historical_holdout_zero_access_finalize_gate,E4_FRESH_LATE_READOUT,pass,1,1,0,[],
25,report_decision_consistency_gate,E5_FINALIZE_AND_SEAL,pass,1,1,0,[],
26,artifact_profile_gate,E5_FINALIZE_AND_SEAL,pass,1,1,0,[],
27,output_manifest_hash_gate,E5_FINALIZE_AND_SEAL,pass,1,1,0,[],
28,post_run_validation_gate,E5_FINALIZE_AND_SEAL,pass,1,1,0,[],
29,finalize_transaction_gate,E5_FINALIZE_AND_SEAL,pass,1,1,0,[],
