contrast_order,contrast_id,family_id,fold,left_arm_id,left_score_variant,right_arm_id,right_score_variant,paired_day_n,mean_rankic_delta,median_rankic_delta,same_direction_seed_n,median_daily_score_spearman,morphology_or_collapse_nonworse,raw_p_value,holm_p_value,material_change,status
1,C01,predictor_semantics,validation_early,P1_SINGLE_DRAW0,point,P0_CURRENT_SCORE_MEAN8,point,107,-0.013262468241265191,-0.011554049887198159,2,0.336364204195163,True,0.003,0.015,True,pass
1,C01,predictor_semantics,validation_late,P1_SINGLE_DRAW0,point,P0_CURRENT_SCORE_MEAN8,point,103,0.01077139205016416,0.011729960926568615,3,0.33385038043335724,True,0.009,0.045,True,pass
2,C02,predictor_semantics,validation_early,P2_SCORE_MEAN64,point,P0_CURRENT_SCORE_MEAN8,point,107,-0.008981472021458393,-0.009612058258082357,3,0.34359875798376466,True,0.111,0.333,True,pass
2,C02,predictor_semantics,validation_late,P2_SCORE_MEAN64,point,P0_CURRENT_SCORE_MEAN8,point,103,0.005722808376168608,0.005120858769246403,2,0.3422342765360572,True,0.149,0.596,True,pass
3,C03,predictor_semantics,validation_early,P3_SCORE_MEAN256_REF,point,P0_CURRENT_SCORE_MEAN8,point,107,-0.011523306858245345,-0.008984953546997,3,0.17230454891331676,True,0.04,0.16,True,pass
3,C03,predictor_semantics,validation_late,P3_SCORE_MEAN256_REF,point,P0_CURRENT_SCORE_MEAN8,point,103,-0.0009621373883962773,-0.006760308876506137,2,0.1715924211394377,True,0.901,1.0,False,pass
4,C04,predictor_semantics,validation_early,P4_ZERO_NOISE_REVERSE_PROXY,point,P3_SCORE_MEAN256_REF,point,107,-0.01927977148043229,-0.020419226202069846,1,0.18394505063429747,True,0.125,0.333,False,pass
4,C04,predictor_semantics,validation_late,P4_ZERO_NOISE_REVERSE_PROXY,point,P3_SCORE_MEAN256_REF,point,103,0.014878401875972547,0.014006277764205023,2,0.13652474974722256,True,0.195,0.596,True,pass
5,C05,corrected_latent,validation_early,P5_KOOPMAN_ONLY,point,P3_SCORE_MEAN256_REF,point,107,-0.020119054298641678,-0.017668444199049345,1,0.17322609510761652,True,0.051,0.051,False,pass
5,C05,corrected_latent,validation_late,P5_KOOPMAN_ONLY,point,P3_SCORE_MEAN256_REF,point,103,0.014481323189031742,0.016700013018629695,2,0.1315320577475401,True,0.178,0.178,True,pass
6,C06,predictor_semantics,validation_early,P6_SCORE_MEDIAN256,point,P3_SCORE_MEAN256_REF,point,107,-0.004215266887317856,-0.0034192978703445065,2,0.786634056571426,True,0.282,0.333,False,pass
6,C06,predictor_semantics,validation_late,P6_SCORE_MEDIAN256,point,P3_SCORE_MEAN256_REF,point,103,-0.0006970073854234312,-0.006040173510757932,2,0.7875781241233829,True,0.778,1.0,False,pass
10,C10,drc_training_graph,validation_early,G1_STOPGRAD_X0_RECON,score_mean64,G0_CURRENT_X0_COUPLED,score_mean64,107,-0.002798025231465345,-0.0014540004250415892,3,0.14211281512010662,True,0.679,1.0,False,pass
10,C10,drc_training_graph,validation_late,G1_STOPGRAD_X0_RECON,score_mean64,G0_CURRENT_X0_COUPLED,score_mean64,103,0.007245258708607697,0.01386945620280955,3,0.14817287524618009,True,0.114,0.228,True,pass
11,C11,drc_training_graph,validation_early,G2_TEACHER_LATENT_RECON_ORACLE,score_mean64,G0_CURRENT_X0_COUPLED,score_mean64,107,0.0014862108459009768,-0.001007287396484459,2,0.07948135551316539,True,0.769,1.0,False,pass
11,C11,drc_training_graph,validation_late,G2_TEACHER_LATENT_RECON_ORACLE,score_mean64,G0_CURRENT_X0_COUPLED,score_mean64,103,-0.00035640342542716066,-0.004809258370632452,0,0.07497649854600677,True,0.885,0.885,False,pass
20,C20,drc_architecture,validation_early,A1_MLP_100_STEP,score_mean64,A0_SELECTED_GRAPH_CONTROL,score_mean64,107,-0.002753101086289498,-0.0015602580997420672,3,-0.003732910241437419,True,0.632,0.632,False,pass
20,C20,drc_architecture,validation_late,A1_MLP_100_STEP,score_mean64,A0_SELECTED_GRAPH_CONTROL,score_mean64,103,-0.004936021363126177,-0.0020010480229926634,2,-0.0008423151094813632,True,0.357,0.714,False,pass
21,C21,drc_architecture,validation_early,A2_RESBLOCK_20_STEP,score_mean64,A0_SELECTED_GRAPH_CONTROL,score_mean64,107,-0.014322103202760837,-0.007529642193497322,2,-0.04341184914226061,True,0.002,0.004,True,pass
21,C21,drc_architecture,validation_late,A2_RESBLOCK_20_STEP,score_mean64,A0_SELECTED_GRAPH_CONTROL,score_mean64,103,-0.00024198392108141595,0.004118726355481467,1,-0.039826910721709234,True,0.931,0.931,False,pass
22,C22,decoder_topology,validation_early,A3_POINTWISE_MLP_DECODER,score_mean64,A0_SELECTED_GRAPH_CONTROL,score_mean64,107,-0.0047171254962983175,-0.009402624195667415,3,0.3780938089074478,True,0.283,0.283,False,pass
22,C22,decoder_topology,validation_late,A3_POINTWISE_MLP_DECODER,score_mean64,A0_SELECTED_GRAPH_CONTROL,score_mean64,103,-0.005360696661178258,-0.00552348443768879,3,0.3853499893763235,True,0.065,0.065,True,pass
