stage_order,stage_id,status,started_at_utc,ended_at_utc,worker_exit_code,required_artifact_n,observed_artifact_n,late_access_allowed,status_reason
0,E0_PREAUTH_AND_PREFLIGHT,complete,,2026-07-18T23:59:51.318962Z,0,0,0,False,
1,E1_PREDICTOR_EARLY_READOUT,complete,,2026-07-18T23:59:51.319020Z,0,0,0,False,
2,E2_DRC_TRAINING_AND_EARLY_SELECTION,complete,,2026-07-18T23:59:51.319024Z,0,0,0,False,
3,E3_PRE_LATE_COMPLETE,complete,,2026-07-18T23:59:51.319027Z,0,0,0,False,
4,E4_FRESH_LATE_READOUT,complete,,2026-07-18T23:59:51.319029Z,0,0,0,True,
5,E5_FINALIZE_AND_SEAL,complete,,2026-07-18T23:59:51.319031Z,0,0,0,True,
