schedule_id,comparison_id,comparison_schedule_id,mean_after_cost_return_diff,median_after_cost_return_diff,after_cost_lift,random_p05,random_p50,random_p95,schedule_random_percentile,big_winner_coverage_loss,turnover_reduction
buy_all_on_launch_hold_to_H,random,random_probe_within_launch_window,0.0009655559002459402,0.007160785597825747,,-0.006854008600525829,-0.00537676965678751,-0.004152621668698014,0.86,0.30932412432165757,0.0005234674319746224
buy_all_on_launch_hold_to_H,buy_all_hold_to_H,buy_all_on_launch_hold_to_H,0.0,0.0,,,,,,0.0,0.0
buy_all_on_launch_hold_to_H,buy_all_same_fast_fail,buy_all_on_launch_with_same_fast_fail,0.0006112693881178367,0.006318904406163395,,,,,,0.0,0.0012212497455728055
buy_all_on_launch_with_same_fast_fail,random,random_probe_within_launch_window,0.0003542865121281035,0.0008418811916623518,,-0.006854008600525829,-0.00537676965678751,-0.004152621668698014,0.67,0.30932412432165757,-0.0006986355220517382
buy_all_on_launch_with_same_fast_fail,buy_all_hold_to_H,buy_all_on_launch_hold_to_H,-0.0006112693881178367,-0.006318904406163395,,,,,,0.0,-0.001222743020175221
buy_all_on_launch_with_same_fast_fail,buy_all_same_fast_fail,buy_all_on_launch_with_same_fast_fail,0.0,0.0,,,,,,0.0,0.0
fixed_delay_1d,random,random_probe_within_launch_window,0.0007031517905727236,0.010919935747598041,,-0.006854008600525829,-0.00537676965678751,-0.004152621668698014,0.82,0.5046558954119388,0.0936069757636615
fixed_delay_1d,buy_all_hold_to_H,buy_all_on_launch_hold_to_H,-0.0002624041096732166,0.0037591501497722946,,,,,,0.2828125,0.09313226003668229
fixed_delay_1d,buy_all_same_fast_fail,buy_all_on_launch_with_same_fast_fail,0.0003488652784446201,0.01007805455593569,,,,,,0.2828125,0.09423977203338063
fixed_delay_3d,random,random_probe_within_launch_window,-0.0012533141964456594,0.02428912104845916,,-0.006854008600525829,-0.00537676965678751,-0.004152621668698014,0.11,0.4104691270360592,0.24351827145758176
fixed_delay_3d,buy_all_hold_to_H,buy_all_on_launch_hold_to_H,-0.0022188700966915996,0.017128335450633414,,,,,,0.14644351464435157,0.24312207051151424
fixed_delay_3d,buy_all_same_fast_fail,buy_all_on_launch_with_same_fast_fail,-0.0016076007085737629,0.02344723985679681,,,,,,0.14644351464435157,0.24404640749033168
fixed_delay_5d,random,random_probe_within_launch_window,-0.0008637782356071778,0.02428912104845916,,-0.006854008600525829,-0.00537676965678751,-0.004152621668698014,0.19,0.28839455233140465,0.3549333240996665
fixed_delay_5d,buy_all_hold_to_H,buy_all_on_launch_hold_to_H,-0.001829334135853118,0.017128335450633414,,,,,,-0.030303030303030498,0.3545954758508254
fixed_delay_5d,buy_all_same_fast_fail,buy_all_on_launch_with_same_fast_fail,-0.0012180647477352813,0.02344723985679681,,,,,,-0.030303030303030498,0.35538367596173415
fixed_delay_10d,random,random_probe_within_launch_window,0.0006931699102801997,0.02428912104845916,,-0.006854008600525829,-0.00537676965678751,-0.004152621668698014,0.82,0.7428870827766755,0.5347861421672366
fixed_delay_10d,buy_all_hold_to_H,buy_all_on_launch_hold_to_H,-0.00027238598996574045,0.017128335450633414,,,,,,0.6277372262773723,0.5345424903199512
fixed_delay_10d,buy_all_same_fast_fail,buy_all_on_launch_with_same_fast_fail,0.00033888339815209625,0.02344723985679681,,,,,,0.6277372262773723,0.5351109301852228
random_probe_within_launch_window,random,random_probe_within_launch_window,0.0,0.0,,-0.006854008600525829,-0.00537676965678751,-0.004152621668698014,0.43,0.0,0.0
random_probe_within_launch_window,buy_all_hold_to_H,buy_all_on_launch_hold_to_H,-0.0009655559002459402,-0.007160785597825747,,,,,,-0.44785714285714273,-0.0005237415936416578
random_probe_within_launch_window,buy_all_same_fast_fail,buy_all_on_launch_with_same_fast_fail,-0.0003542865121281035,-0.0008418811916623518,,,,,,-0.44785714285714273,0.0006981477712191264
staged_buy_all,random,random_probe_within_launch_window,-0.0007442320814854868,0.008526966403032087,,-0.006854008600525829,-0.00537676965678751,-0.004152621668698014,0.22,0.30149776878989165,0.11026831270355664
staged_buy_all,buy_all_hold_to_H,buy_all_on_launch_hold_to_H,-0.001709787981731427,0.0013661808052063407,,,,,,-0.011331444759206777,0.10980232321173855
staged_buy_all,buy_all_same_fast_fail,buy_all_on_launch_with_same_fast_fail,-0.0010985185936135903,0.0076850852113697354,,,,,,-0.011331444759206777,0.11088947689802575
probe_then_naive_add,random,random_probe_within_launch_window,-0.001104636510708119,0.010859112168756357,,-0.006854008600525829,-0.00537676965678751,-0.004152621668698014,0.13,0.2017117357598761,0.09110166470790715
probe_then_naive_add,buy_all_hold_to_H,buy_all_on_launch_hold_to_H,-0.002070192410954059,0.00369832657093061,,,,,,-0.15580736543909346,0.09062563684532299
probe_then_naive_add,buy_all_same_fast_fail,buy_all_on_launch_with_same_fast_fail,-0.0014589230228362225,0.010017230977094005,,,,,,-0.15580736543909346,0.09173621005495614
probe_with_simple_stop,random,random_probe_within_launch_window,0.004060326423305317,0.017763413364846836,,-0.006854008600525829,-0.00537676965678751,-0.004152621668698014,1.0,0.30149776878989165,0.7011347225928137
probe_with_simple_stop,buy_all_hold_to_H,buy_all_on_launch_hold_to_H,0.0030947705230593772,0.010602627767021089,,,,,,-0.011331444759206777,0.7009781944161403
probe_with_simple_stop,buy_all_same_fast_fail,buy_all_on_launch_with_same_fast_fail,0.003706039911177214,0.016921532173184484,,,,,,-0.011331444759206777,0.7013433747201303
