artifact_name,artifact_path,authority_role,producer_command,schema_version,required_for_requirement,row_count,content_hash
ep2_engineering_baseline_manifest.json,ep2/engineering_baseline/outputs/manifests/ep2_engineering_baseline_manifest.json,manifest,uv run python ep2/engineering_baseline/scripts/validate_engineering_baseline.py --config ep2/engineering_baseline/config.yaml,ep2_engineering_baseline_v1,True,,f10d04cbd28addad275f07c771a41eb4c7aa835dfc0cc25bc3361d13563e8996
ep2_launch_observation_pool.parquet,ep2/engineering_baseline/outputs/cache/ep2_launch_observation_pool.parquet,cache,uv run python ep2/engineering_baseline/scripts/validate_engineering_baseline.py --config ep2/engineering_baseline/config.yaml,ep2_engineering_baseline_v1,True,5605,ff302924138261ecf89d63c12551414abbd0254c9e64baeddac3fc9dbb3e80ed
ep2_launch_episode_dictionary.csv,ep2/engineering_baseline/outputs/reports/ep2_launch_episode_dictionary.csv,report,uv run python ep2/engineering_baseline/scripts/validate_engineering_baseline.py --config ep2/engineering_baseline/config.yaml,ep2_engineering_baseline_v1,True,2464,acc6dbc8e4a1b9e0ad89d2017b7f2db2efdbc09beb212fdf9d3e4500da1beaab
ep2_pool_freeze_manifest.json,ep2/engineering_baseline/outputs/manifests/ep2_pool_freeze_manifest.json,manifest,uv run python ep2/engineering_baseline/scripts/validate_engineering_baseline.py --config ep2/engineering_baseline/config.yaml,ep2_engineering_baseline_v1,True,,1d11502b82a77a7a1d763c33781e2fe672305f93dd84f82f22c87eb1215ef30e
ep2_launch_detector_dictionary.csv,ep2/engineering_baseline/outputs/reports/ep2_launch_detector_dictionary.csv,report,uv run python ep2/engineering_baseline/scripts/validate_engineering_baseline.py --config ep2/engineering_baseline/config.yaml,ep2_engineering_baseline_v1,True,1,659f5cb8bc8f90418da7e5b8588035621b02848a0a7d3606c7ee0d80bf4f9c45
ep2_pool_frequency_audit.csv,ep2/engineering_baseline/outputs/reports/ep2_pool_frequency_audit.csv,report,uv run python ep2/engineering_baseline/scripts/validate_engineering_baseline.py --config ep2/engineering_baseline/config.yaml,ep2_engineering_baseline_v1,True,10,b972763b544089354a7b542a474479d20d0015027de852fbfabf88335fa4f7b3
ep2_pit_input_audit.csv,ep2/engineering_baseline/outputs/reports/ep2_pit_input_audit.csv,report,uv run python ep2/engineering_baseline/scripts/validate_engineering_baseline.py --config ep2/engineering_baseline/config.yaml,ep2_engineering_baseline_v1,True,5,23f1037474d24943e0bf0c89e4082afb3fa0b76456cf8fe7ac80c6c556393a8a
ep2_feature_asof_audit.csv,ep2/engineering_baseline/outputs/reports/ep2_feature_asof_audit.csv,report,uv run python ep2/engineering_baseline/scripts/validate_engineering_baseline.py --config ep2/engineering_baseline/config.yaml,ep2_engineering_baseline_v1,True,3,991b3988aff2bc314e1023ff753804837fa0befdffb30c9ad8251b6551938841
ep2_execution_block_audit.csv,ep2/engineering_baseline/outputs/reports/ep2_execution_block_audit.csv,report,uv run python ep2/engineering_baseline/scripts/validate_engineering_baseline.py --config ep2/engineering_baseline/config.yaml,ep2_engineering_baseline_v1,True,4,1f11e959c8fa81d48d38699f3184e1103c33a220ee359c0e78501cc7e2c2e474
ep2_candidate_probe_grid.parquet,ep2/engineering_baseline/outputs/cache/ep2_candidate_probe_grid.parquet,cache,uv run python ep2/engineering_baseline/scripts/validate_engineering_baseline.py --config ep2/engineering_baseline/config.yaml,ep2_engineering_baseline_v1,True,27038,1263f834328611ad71906d05d52543d9f851aa2ba23834cda918c9e82954f259
ep2_path_label_panel.parquet,ep2/engineering_baseline/outputs/cache/ep2_path_label_panel.parquet,cache,uv run python ep2/engineering_baseline/scripts/validate_engineering_baseline.py --config ep2/engineering_baseline/config.yaml,ep2_engineering_baseline_v1,True,1980180,359e82d2e19067a006c37a9c1a0a68d63042c019181086f846a96822bbf94f92
ep2_label_sweep_grid.csv,ep2/engineering_baseline/outputs/reports/ep2_label_sweep_grid.csv,report,uv run python ep2/engineering_baseline/scripts/validate_engineering_baseline.py --config ep2/engineering_baseline/config.yaml,ep2_engineering_baseline_v1,True,108,3afc659de152f4deb23c4a5a34a5028b63c53452920198a9dbe3a6eec0bef66e
ep2_label_freeze_candidate.csv,ep2/engineering_baseline/outputs/reports/ep2_label_freeze_candidate.csv,report,uv run python ep2/engineering_baseline/scripts/validate_engineering_baseline.py --config ep2/engineering_baseline/config.yaml,ep2_engineering_baseline_v1,True,108,c67d0809e85f7406c4b6eae051d71bd74fb457420e604a791c17da91ac51b401
ep2_schedule_action_panel.parquet,ep2/engineering_baseline/outputs/cache/ep2_schedule_action_panel.parquet,cache,uv run python ep2/engineering_baseline/scripts/validate_engineering_baseline.py --config ep2/engineering_baseline/config.yaml,ep2_engineering_baseline_v1,True,48469,07b0b68c6aebcefb5868c4bf739aa3c883549f7d5e962e15f5c59104a6f66e41
ep2_exposure_daily_panel.parquet,ep2/engineering_baseline/outputs/cache/ep2_exposure_daily_panel.parquet,cache,uv run python ep2/engineering_baseline/scripts/validate_engineering_baseline.py --config ep2/engineering_baseline/config.yaml,ep2_engineering_baseline_v1,True,195002,5d5a7d45ed7720c1fec408e04b05860cf0583bff46ff3dea39a3130ab63ca8f5
ep2_no_model_baseline_results.csv,ep2/engineering_baseline/outputs/reports/ep2_no_model_baseline_results.csv,report,uv run python ep2/engineering_baseline/scripts/validate_engineering_baseline.py --config ep2/engineering_baseline/config.yaml,ep2_engineering_baseline_v1,True,10,ffa568483f0051b715806febc80640c7ff130986dbfb7bdee5d9b579ea5a1d4e
ep2_no_model_baseline_comparison.csv,ep2/engineering_baseline/outputs/reports/ep2_no_model_baseline_comparison.csv,report,uv run python ep2/engineering_baseline/scripts/validate_engineering_baseline.py --config ep2/engineering_baseline/config.yaml,ep2_engineering_baseline_v1,True,30,d27801ce60dda2d3e067f6d49bbfd7e69acc8b06882ddcaafd05f377ba4338b6
ep2_no_model_baseline_gate.csv,ep2/engineering_baseline/outputs/reports/ep2_no_model_baseline_gate.csv,report,uv run python ep2/engineering_baseline/scripts/validate_engineering_baseline.py --config ep2/engineering_baseline/config.yaml,ep2_engineering_baseline_v1,True,74,b537ccad55f61ff775427804e8fe22dfeedf7a8f155fe5b7718cc0ef01558bdf
ep2_threshold_config_consistency_audit.csv,ep2/engineering_baseline/outputs/reports/ep2_threshold_config_consistency_audit.csv,report,uv run python ep2/engineering_baseline/scripts/validate_engineering_baseline.py --config ep2/engineering_baseline/config.yaml,ep2_engineering_baseline_v1,True,7,acb5d91126e419b112f0677e237667efc1c48a235dd5e45ffcee3b8321832d5b
config.yaml,ep2/engineering_baseline/config.yaml,input_config,uv run python ep2/engineering_baseline/scripts/validate_engineering_baseline.py --config ep2/engineering_baseline/config.yaml,ep2_engineering_baseline_v1,True,,02c64d1c90fb2344247f732e7935738bae17542f67442db3758ddcc0f4c6f492
