year,launch_event_count,episode_count,executable_episode_count,instrument_count
2017,78,46,46,43
2018,276,133,133,95
2019,688,298,298,149
2020,851,345,345,181
2021,767,331,331,187
2022,441,224,224,157
2023,715,312,312,190
2024,902,397,392,216
2025,887,378,377,207
ALL,5605,2464,2458,314
