schedule_id,gate_name,gate_value,threshold_value,comparison_id,passed,failure_reason,is_hard_stop
buy_all_on_launch_hold_to_H,after_cost_lift_vs_random,0.0009655559002459402,0.0,random,True,,True
buy_all_on_launch_hold_to_H,big_winner_coverage_loss_vs_buy_all,0.0,0.2,buy_all_hold_to_H,True,,True
buy_all_on_launch_hold_to_H,median_missed_gain_to_exposure,0.0,0.08,self,True,,True
buy_all_on_launch_hold_to_H,top1_instrument_year_exposure_share,0.0020341741253051262,0.1,self,True,,True
buy_all_on_launch_hold_to_H,top5_instrument_exposure_share,0.00935720097640358,0.35,self,True,,True
buy_all_on_launch_hold_to_H,turnover_reduction_vs_daily_baserate,-0.009993126695791998,0.5,baserate_reference,False,gate_failed,True
buy_all_on_launch_with_same_fast_fail,after_cost_lift_vs_random,0.0003542865121281035,0.0,random,True,,True
buy_all_on_launch_with_same_fast_fail,big_winner_coverage_loss_vs_buy_all,0.0,0.2,buy_all_hold_to_H,True,,True
buy_all_on_launch_with_same_fast_fail,median_missed_gain_to_exposure,0.0,0.08,self,True,,True
buy_all_on_launch_with_same_fast_fail,top1_instrument_year_exposure_share,0.0020341741253051262,0.1,self,True,,True
buy_all_on_launch_with_same_fast_fail,top5_instrument_exposure_share,0.00935720097640358,0.35,self,True,,True
buy_all_on_launch_with_same_fast_fail,turnover_reduction_vs_daily_baserate,-0.011228088741884301,0.5,baserate_reference,False,gate_failed,True
fixed_delay_1d,after_cost_lift_vs_random,0.0007031517905727236,0.0,random,True,,True
fixed_delay_1d,big_winner_coverage_loss_vs_buy_all,0.2828125,0.2,buy_all_hold_to_H,False,gate_failed,True
fixed_delay_1d,median_missed_gain_to_exposure,-0.002199580712053617,0.08,self,True,,True
fixed_delay_1d,top1_instrument_year_exposure_share,0.0017969451931716084,0.1,self,True,,True
fixed_delay_1d,top5_instrument_exposure_share,0.008984725965858042,0.35,self,True,,True
fixed_delay_1d,turnover_reduction_vs_daily_baserate,0.08406981581490214,0.5,baserate_reference,False,gate_failed,True
fixed_delay_1d,mean_after_cost_diff_vs_buy_all_hold_to_H,-0.0002624041096732166,0.0,buy_all_hold_to_H,False,gate_failed,True
fixed_delay_1d,mean_after_cost_diff_vs_buy_all_same_fast_fail,0.0003488652784446201,0.0,buy_all_same_fast_fail,True,,True
fixed_delay_3d,after_cost_lift_vs_random,-0.0012533141964456594,0.0,random,False,gate_failed,True
fixed_delay_3d,big_winner_coverage_loss_vs_buy_all,0.14644351464435157,0.2,buy_all_hold_to_H,True,,True
fixed_delay_3d,median_missed_gain_to_exposure,0.0013830915654629017,0.08,self,True,,True
fixed_delay_3d,top1_instrument_year_exposure_share,0.0026925148088314485,0.1,self,True,,True
fixed_delay_3d,top5_instrument_exposure_share,0.011308562197092083,0.35,self,True,,True
fixed_delay_3d,turnover_reduction_vs_daily_baserate,0.2355584934688869,0.5,baserate_reference,False,gate_failed,True
fixed_delay_3d,mean_after_cost_diff_vs_buy_all_hold_to_H,-0.0022188700966915996,0.0,buy_all_hold_to_H,False,gate_failed,True
fixed_delay_3d,mean_after_cost_diff_vs_buy_all_same_fast_fail,-0.0016076007085737629,0.0,buy_all_same_fast_fail,False,gate_failed,True
fixed_delay_5d,after_cost_lift_vs_random,-0.0008637782356071778,0.0,random,False,gate_failed,True
fixed_delay_5d,big_winner_coverage_loss_vs_buy_all,-0.030303030303030498,0.2,buy_all_hold_to_H,True,,True
fixed_delay_5d,median_missed_gain_to_exposure,0.004349895469612064,0.08,self,True,,True
fixed_delay_5d,top1_instrument_year_exposure_share,0.0025252525252525255,0.1,self,True,,True
fixed_delay_5d,top5_instrument_exposure_share,0.012626262626262628,0.35,self,True,,True
fixed_delay_5d,turnover_reduction_vs_daily_baserate,0.34814586667096525,0.5,baserate_reference,False,gate_failed,True
fixed_delay_5d,mean_after_cost_diff_vs_buy_all_hold_to_H,-0.001829334135853118,0.0,buy_all_hold_to_H,False,gate_failed,True
fixed_delay_5d,mean_after_cost_diff_vs_buy_all_same_fast_fail,-0.0012180647477352813,0.0,buy_all_same_fast_fail,False,gate_failed,True
