blocked_execution_reason,trade_direction,row_count,episode_count,row_share,episode_share
direction_specific_block,buy,154,143,0.027475468331846567,0.05803571428571429
direction_specific_block,sell,4,4,0.0007136485280999108,0.0016233766233766235
missing_price_row,both,3,3,0.0005352363960749331,0.0012175324675324675
none,none,5444,2458,0.9712756467439786,0.997564935064935
