split,window_id,eligible_episode_n,b8_captured_episode_n,b1_b3_b5_captured_episode_n,b8_incremental_episode_n,b8_incremental_recall_pct_of_eligible,b8_incremental_share_of_b8_captured,b8_incremental_event_n,b8_incremental_event_inside_window_n,b8_incremental_event_precision,b8_incremental_first_event_minus_low_median,b8_incremental_bad_side_10_20_rate,b8_incremental_label_20d_complete_rate,incremental_status,base_family_set,union_captured_episode_n,incremental_episode_n,incremental_episode_recall_pct_point,incremental_episode_ids_sample
all,pre120_calendar_to_high,428,326,426,2,0.004672897196261682,0.006134969325153374,6103,6,0.0009831230542356219,-26.0,0.0,1.0,ok,B1_or_B3_or_B5_triggered,428,2,0.004672897196261682,SH603127_20210706_0000;SZ300017_20250904_0002
all,low_to_high,428,246,410,6,0.014018691588785047,0.024390243902439025,6103,8,0.001310830738980829,16.0,0.0,1.0,ok,B1_or_B3_or_B5_triggered,416,6,0.014018691588785047,SH600779_20210802_0005;SH600879_20250904_0003;SH603127_20210706_0000;SH603786_20210112_0000;SZ300017_20250904_0002;SZ300123_20190429_0001
all,low_to_first_50pct,428,246,410,6,0.014018691588785047,0.024390243902439025,6103,8,0.001310830738980829,16.0,0.0,1.0,ok,B1_or_B3_or_B5_triggered,416,6,0.014018691588785047,SH600779_20210802_0005;SH600879_20250904_0003;SH603127_20210706_0000;SH603786_20210112_0000;SZ300017_20250904_0002;SZ300123_20190429_0001
train,pre120_calendar_to_high,225,183,224,1,0.0044444444444444444,0.00546448087431694,3231,4,0.0012380068090374497,-35.0,0.0,1.0,ok,B1_or_B3_or_B5_triggered,225,1,0.0044444444444444444,SH603127_20210706_0000
train,low_to_high,225,151,219,4,0.017777777777777778,0.026490066225165563,3231,6,0.0018570102135561746,9.5,0.0,1.0,ok,B1_or_B3_or_B5_triggered,223,4,0.017777777777777778,SH600779_20210802_0005;SH603127_20210706_0000;SH603786_20210112_0000;SZ300123_20190429_0001
train,low_to_first_50pct,225,151,219,4,0.017777777777777778,0.026490066225165563,3231,6,0.0018570102135561746,9.5,0.0,1.0,ok,B1_or_B3_or_B5_triggered,223,4,0.017777777777777778,SH600779_20210802_0005;SH603127_20210706_0000;SH603786_20210112_0000;SZ300123_20190429_0001
validation,pre120_calendar_to_high,22,18,22,0,0.0,0.0,1333,0,0.0,,,,ok,B1_or_B3_or_B5_triggered,22,0,0.0,
validation,low_to_high,22,12,22,0,0.0,0.0,1333,0,0.0,,,,ok,B1_or_B3_or_B5_triggered,22,0,0.0,
validation,low_to_first_50pct,22,12,22,0,0.0,0.0,1333,0,0.0,,,,ok,B1_or_B3_or_B5_triggered,22,0,0.0,
robustness,pre120_calendar_to_high,181,121,180,1,0.0055248618784530384,0.008264462809917356,1539,2,0.001299545159194282,-17.0,0.0,1.0,ok,B1_or_B3_or_B5_triggered,181,1,0.0055248618784530384,SZ300017_20250904_0002
robustness,low_to_high,181,78,168,2,0.011049723756906077,0.02564102564102564,1539,2,0.001299545159194282,19.5,0.0,1.0,ok,B1_or_B3_or_B5_triggered,170,2,0.011049723756906077,SH600879_20250904_0003;SZ300017_20250904_0002
robustness,low_to_first_50pct,181,78,168,2,0.011049723756906077,0.02564102564102564,1539,2,0.001299545159194282,19.5,0.0,1.0,ok,B1_or_B3_or_B5_triggered,170,2,0.011049723756906077,SH600879_20250904_0003;SZ300017_20250904_0002
