frontier_arm_id,split,window_id,episode_id,instrument,episode_split,episode_low_date,episode_high_date,first_50pct_date,board_bucket,duration_bucket,low_to_high_sessions,mfe_120,nearest_event_before_window_date,nearest_event_before_window_gap_sessions,nearest_event_after_window_date,nearest_event_after_window_gap_sessions,nearest_same_family_event_date,nearest_same_family_event_gap_sessions,nearest_same_instrument_event_key,nearest_event_minus_low_sessions,nearest_event_before_window_key,nearest_event_before_window_gap_days,nearest_event_after_window_key,nearest_event_after_window_gap_days,same_instrument_event_n_in_arm_split,miss_reason,diagnostic_status
08_R_core_event_regime_gated_raw,all,low_to_high,SH600482_20250924_0002,SH600482,robustness,2025-09-24,2026-03-06,2026-03-06,main_board,long,103,0.8739856801909307,2025-08-06,35.0,,,2025-08-06,-35.0,SH600482_20250806_risk_on_transition_union,-35.0,SH600482_20250806_risk_on_transition_union,35.0,,,62,timing_calendar_gap,ok
08_R_core_event_regime_gated_raw,all,low_to_high,SH600489_20251105_0004,SH600489,robustness,2025-11-05,2026-01-29,2026-01-29,main_board,medium,59,1.0688279301745631,2025-10-15,15.0,,,2025-10-15,-15.0,SH600489_20251015_risk_on_transition_union,-15.0,SH600489_20251015_risk_on_transition_union,15.0,,,102,timing_calendar_gap,ok
08_R_core_event_regime_gated_raw,all,low_to_high,SH600547_20251105_0006,SH600547,robustness,2025-11-05,2026-01-29,2026-01-29,main_board,medium,59,0.9538002980625933,2025-10-14,16.0,,,2025-10-14,-16.0,SH600547_20251014_risk_on_transition_union,-16.0,SH600547_20251014_risk_on_transition_union,16.0,,,88,timing_calendar_gap,ok
08_R_core_event_regime_gated_raw,all,low_to_high,SH600968_20250922_0001,SH600968,robustness,2025-09-22,2026-03-04,2026-03-04,main_board,long,103,0.5384615384615383,2025-06-19,67.0,,,2025-06-19,-67.0,SH600968_20250619_risk_on_transition_union,-67.0,SH600968_20250619_risk_on_transition_union,67.0,,,70,timing_calendar_gap,ok
08_R_core_event_regime_gated_raw,all,low_to_high,SH601868_20250905_0000,SH601868,robustness,2025-09-05,2026-03-12,2026-03-12,main_board,long,120,0.6033755274261603,2025-07-21,34.0,,,2025-07-21,-34.0,SH601868_20250721_risk_on_transition_union,-34.0,SH601868_20250721_risk_on_transition_union,34.0,,,18,timing_calendar_gap,ok
08_R_core_event_regime_gated_raw,all,low_to_high,SH601958_20251023_0003,SH601958,robustness,2025-10-23,2026-03-03,2026-03-03,main_board,long,85,0.984924623115578,2025-09-16,21.0,,,2025-09-16,-21.0,SH601958_20250916_risk_on_transition_union,-21.0,SH601958_20250916_risk_on_transition_union,21.0,,,85,timing_calendar_gap,ok
08_R_core_event_regime_gated_raw,all,low_to_high,SZ002195_20251017_0001,SZ002195,robustness,2025-10-17,2026-01-14,2026-01-14,main_board,medium,61,0.886981402002861,2025-09-17,16.0,,,2025-09-17,-16.0,SZ002195_20250917_risk_on_transition_union,-16.0,SZ002195_20250917_risk_on_transition_union,16.0,,,23,timing_calendar_gap,ok
08_R_core_event_regime_gated_raw,all,low_to_high,SZ300123_20190429_0001,SZ300123,train,2019-04-29,2019-05-14,2019-05-14,chinext,fast,8,0.693877551020408,2019-04-22,5.0,2019-07-29,53.0,2019-04-22,-5.0,SZ300123_20190422_risk_on_transition_union,-5.0,SZ300123_20190422_risk_on_transition_union,5.0,SZ300123_20190729_risk_on_transition_union,53.0,48,unknown,ok
08_R_core_event_regime_gated_raw,all,low_to_high,SZ300251_20251017_0008,SZ300251,robustness,2025-10-17,2026-02-11,2026-02-11,chinext,long,81,0.8537350910232266,2025-08-04,48.0,,,2025-08-04,-48.0,SZ300251_20250804_risk_on_transition_union,-48.0,SZ300251_20250804_risk_on_transition_union,48.0,,,105,timing_calendar_gap,ok
08_R_core_event_regime_gated_raw,all,low_to_high,SZ300383_20251023_0005,SZ300383,robustness,2025-10-23,2026-04-14,2026-04-14,chinext,long,114,0.5015698587127158,2025-08-25,37.0,,,2025-08-25,-37.0,SZ300383_20250825_risk_on_transition_union,-37.0,SZ300383_20250825_risk_on_transition_union,37.0,,,88,timing_calendar_gap,ok
