frontier_arm_id,split,window_id,timing_population,matched_event_n,captured_episode_n,event_minus_low_trading_days_p10,event_minus_low_trading_days_p25,event_minus_low_trading_days_median,event_minus_low_trading_days_p75,event_minus_low_trading_days_p90,first_event_minus_low_trading_days_p10,first_event_minus_low_trading_days_p25,first_event_minus_low_trading_days_median,first_event_minus_low_trading_days_p75,first_event_minus_low_trading_days_p90,event_minus_low_calendar_days_median,timing_denominator_status
08_R_core_event_regime_gated_raw,all,pre120_calendar_to_high,all_matched_events,4842,428,-59.0,-32.0,17.0,56.0,88.0,,,,,,25.0,ok
08_R_core_event_regime_gated_raw,all,pre120_calendar_to_high,captured_episode_first_event,427,428,-79.0,-74.0,-56.0,-32.0,8.300000000000011,-79.0,-74.0,-56.0,-32.0,8.300000000000011,-84.0,ok
08_R_core_event_regime_gated_raw,all,low_to_high,all_matched_events,3064,417,11.0,20.0,45.0,75.0,101.0,,,,,,69.0,ok
08_R_core_event_regime_gated_raw,all,low_to_high,captured_episode_first_event,417,417,5.0,8.0,14.0,20.0,34.0,5.0,8.0,14.0,20.0,34.0,21.0,ok
08_R_core_event_regime_gated_raw,all,low_to_first_50pct,all_matched_events,3064,417,11.0,20.0,45.0,75.0,101.0,,,,,,69.0,ok
08_R_core_event_regime_gated_raw,all,low_to_first_50pct,captured_episode_first_event,417,417,5.0,8.0,14.0,20.0,34.0,5.0,8.0,14.0,20.0,34.0,21.0,ok
08_R_core_event_regime_gated_raw,train,pre120_calendar_to_high,all_matched_events,2792,225,-60.0,-32.0,19.0,56.0,84.0,,,,,,28.0,ok
08_R_core_event_regime_gated_raw,train,pre120_calendar_to_high,captured_episode_first_event,224,225,-79.0,-75.0,-61.0,-36.0,8.599999999999994,-79.0,-75.0,-61.0,-36.0,8.599999999999994,-91.0,ok
08_R_core_event_regime_gated_raw,train,low_to_high,all_matched_events,1821,222,12.0,23.0,45.0,74.0,96.0,,,,,,70.0,ok
08_R_core_event_regime_gated_raw,train,low_to_high,captured_episode_first_event,222,222,5.0,9.0,14.0,20.0,31.0,5.0,9.0,14.0,20.0,31.0,21.0,ok
08_R_core_event_regime_gated_raw,train,low_to_first_50pct,all_matched_events,1821,222,12.0,23.0,45.0,74.0,96.0,,,,,,70.0,ok
08_R_core_event_regime_gated_raw,train,low_to_first_50pct,captured_episode_first_event,222,222,5.0,9.0,14.0,20.0,31.0,5.0,9.0,14.0,20.0,31.0,21.0,ok
08_R_core_event_regime_gated_raw,validation,pre120_calendar_to_high,all_matched_events,231,22,-42.0,-21.0,17.0,57.0,82.0,,,,,,28.0,ok
