frontier_arm_id,split,label_source,event_n,unique_instrument_n,unique_event_date_n,events_per_instrument_year_mean,events_per_instrument_year_p95,density_ratio_vs_r_core,same_instrument_10d_duplicate_rate,same_instrument_20d_duplicate_rate,next_open_executable_rate,event_t0_pit_pass_rate,trade_open_price_available_rate,non_executable_label_drop_n,censored_10d_n,censored_20d_n,censored_120d_n,label_10d_complete_n,label_10d_complete_rate,fast_fail_10d_count,fast_fail_10d_rate,label_20d_complete_n,label_20d_complete_rate,false_repair_20d_count,false_repair_20d_rate,bad_side_10_20_count,bad_side_10_20_rate,label_120d_complete_n,label_120d_complete_rate,winner_120_count,winner_120_rate,winner_120d_rate,label_status
08_R_core_event_regime_gated_raw,all,12A1_frozen_event_registry_labels,47914,1431,1387,,,,0.5783069666485787,0.7114413323871938,1.0,1.0,0.0,0,65,0,92,47849,0.9986434027632842,11578,0.24196952914376477,47914,1.0,14907,0.3111199231957257,16490,0.3446258020021317,47822,0.9980798931418792,7912,0.16544686545941198,0.16544686545941198,ok
08_R_core_event_regime_gated_raw,train,12A1_frozen_event_registry_labels,24292,1080,702,,,,0.5892474888852297,0.7231187222130743,1.0,1.0,0.0,0,38,0,38,24254,0.9984356989955541,6656,0.2744289601715181,24292,1.0,8404,0.34595751687798454,9326,0.3845138946153212,24254,0.9984356989955541,4609,0.19003051043126906,0.19003051043126906,ok
08_R_core_event_regime_gated_raw,validation,12A1_frozen_event_registry_labels,10667,759,320,,,,0.55648260991844,0.6738539420643105,1.0,1.0,0.0,0,6,0,6,10661,0.9994375175775757,2159,0.20251383547509613,10667,1.0,3133,0.29370957157588823,3344,0.3136666354000563,10661,0.9994375175775757,648,0.06078229059187693,0.06078229059187693,ok
08_R_core_event_regime_gated_raw,robustness,12A1_frozen_event_registry_labels,12955,774,365,,,,0.5712852180625241,0.7115399459668081,1.0,1.0,0.0,0,21,0,48,12934,0.9983790042454651,2763,0.21362300912324106,12955,1.0,3370,0.26013122346584333,3820,0.29534560074222976,12907,0.9962948668467773,2655,0.20570233206787014,0.20570233206787014,ok
08_R6_event_regime_gated_raw,all,12A1_frozen_event_registry_labels,16204,1384,521,,,,0.0,0.06010861515675142,1.0,1.0,0.0,0,36,0,40,16168,0.9977783263391755,3749,0.23187778327560613,16204,1.0,4910,0.3030116020735621,5383,0.3329416130628402,16164,0.997531473710195,2706,0.1674090571640683,0.1674090571640683,ok
08_R6_event_regime_gated_raw,train,12A1_frozen_event_registry_labels,7978,1038,270,,,,0.0,0.0747054399598897,1.0,1.0,0.0,0,25,0,25,7953,0.9968663825520181,2122,0.2668175531246071,7978,1.0,2687,0.3368012033091,2969,0.37331824468753927,7953,0.9968663825520181,1561,0.19627813403747013,0.19627813403747013,ok
08_R6_event_regime_gated_raw,validation,12A1_frozen_event_registry_labels,3897,737,123,,,,0.0,0.05029509879394406,1.0,1.0,0.0,0,3,0,3,3894,0.9992301770592764,756,0.1941448382126348,3897,1.0,1094,0.2807287657172184,1170,0.300462249614792,3894,0.9992301770592764,240,0.061633281972265024,0.061633281972265024,ok
08_R6_event_regime_gated_raw,robustness,12A1_frozen_event_registry_labels,4329,757,128,,,,0.0,0.04042504042504042,1.0,1.0,0.0,0,8,0,12,4321,0.9981519981519982,871,0.2015737097894006,4329,1.0,1129,0.2607992607992608,1244,0.28789632029622775,4317,0.9972279972279973,905,0.2096363215195738,0.2096363215195738,ok
12A2_C0_primary_canonical_union,all,12A3_recomputed_from_qfq,28691,1435,1907,,,,0.07249660172179428,0.4026001185040605,1.0,1.0,1.0,0,0,0,12,28691,1.0,6203,0.21620020215398558,28691,1.0,8268,0.2881739918441323,9173,0.31971698442020147,28679,0.999581750374682,4628,0.1613724327905436,0.1613724327905436,ok
12A2_C0_primary_canonical_union,train,12A3_recomputed_from_qfq,14560,1091,965,,,,0.07348901098901099,0.4024725274725275,1.0,1.0,1.0,0,0,0,0,14560,1.0,3454,0.23722527472527472,14560,1.0,4593,0.3154532967032967,5098,0.3501373626373626,14560,1.0,2600,0.17857142857142858,0.17857142857142858,ok
12A2_C0_primary_canonical_union,validation,12A3_recomputed_from_qfq,6860,762,483,,,,0.06924198250728864,0.3806122448979592,1.0,1.0,1.0,0,0,0,0,6860,1.0,1440,0.2099125364431487,6860,1.0,2015,0.29373177842565595,2198,0.32040816326530613,6860,1.0,525,0.07653061224489796,0.07653061224489796,ok
12A2_C0_primary_canonical_union,robustness,12A3_recomputed_from_qfq,7271,769,459,,,,0.07151698528400495,0.40338330353458945,1.0,1.0,1.0,0,0,0,12,7271,1.0,1309,0.1800302571860817,7271,1.0,1660,0.22830422225278504,1877,0.25814881034245635,7259,0.9983496080319075,1503,0.2070533131285301,0.2070533131285301,ok
12A2_B1_primary,all,12A3_recomputed_from_qfq,4570,1049,1596,,,,0.007439824945295405,0.03194748358862144,1.0,1.0,1.0,0,0,0,1,4570,1.0,1010,0.2210065645514223,4570,1.0,1309,0.28643326039387307,1485,0.324945295404814,4569,0.999781181619256,741,0.16217990807616547,0.16217990807616547,ok
12A2_B1_primary,train,12A3_recomputed_from_qfq,2163,748,813,,,,0.004623208506703652,0.021729079981507166,1.0,1.0,1.0,0,0,0,0,2163,1.0,517,0.23901987979657882,2163,1.0,657,0.30374479889042993,755,0.34905224225612574,2163,1.0,392,0.18122977346278318,0.18122977346278318,ok
12A2_B1_primary,validation,12A3_recomputed_from_qfq,1112,529,391,,,,0.0044964028776978415,0.029676258992805755,1.0,1.0,1.0,0,0,0,0,1112,1.0,236,0.21223021582733814,1112,1.0,340,0.3057553956834532,368,0.33093525179856115,1112,1.0,92,0.08273381294964029,0.08273381294964029,ok
12A2_B1_primary,robustness,12A3_recomputed_from_qfq,1295,532,392,,,,0.014671814671814672,0.04942084942084942,1.0,1.0,1.0,0,0,0,1,1295,1.0,257,0.19845559845559846,1295,1.0,312,0.24092664092664093,362,0.27953667953667954,1294,0.9992277992277993,257,0.19860896445131376,0.19860896445131376,ok
12A2_B2_primary,all,12A3_recomputed_from_qfq,3143,968,1055,,,,0.0034998409163219855,0.014953865733375756,1.0,1.0,1.0,0,0,0,1,3143,1.0,558,0.17753738466433344,3143,1.0,750,0.23862551702195356,826,0.26280623608017817,3142,0.9996818326439707,521,0.16581795035009547,0.16581795035009547,ok
12A2_B2_primary,train,12A3_recomputed_from_qfq,1664,711,548,,,,0.004206730769230769,0.015024038461538462,1.0,1.0,1.0,0,0,0,0,1664,1.0,313,0.18810096153846154,1664,1.0,408,0.24519230769230768,459,0.27584134615384615,1664,1.0,336,0.20192307692307693,0.20192307692307693,ok
