label_id,comparison_population,matched_event_n,complete_event_n,match_n,mismatch_n,match_rate,missing_recomputed_n,missing_frozen_n,mismatch_near_qfq_adjustment_boundary_n,corporate_action_boundary_status,frozen_source_path,recompute_rule_id,label_source,label_name,source_event_n,source_complete_n,recomputed_complete_n,comparable_n,matched_n,parity_match_rate,min_required_match_rate,parity_status,positive_rate
failure_10_label,08_candidate_family_event_labels_complete_rows,330682.0,330682,330682.0,0.0,1.0,0,636.0,0.0,not_available,08_risk_on_transition_recall_exploration_v0/outputs/local_cache/candidate_family_event_labels.parquet,12A3_qfq_recompute_failure_false_repair_winner_v1,08_candidate_family_event_labels,failure_10_label,331318,330682.0,331318,330682,330682.0,1.0,0.995,pass,
event_false_repair_20d_label,08_candidate_family_event_labels_complete_rows,331318.0,331318,331318.0,0.0,1.0,0,0.0,0.0,not_available,08_risk_on_transition_recall_exploration_v0/outputs/local_cache/candidate_family_event_labels.parquet,12A3_qfq_recompute_failure_false_repair_winner_v1,08_candidate_family_event_labels,event_false_repair_20d_label,331318,331318.0,331318,331318,331318.0,1.0,0.995,pass,
event_big_winner_120d_label,08_candidate_family_event_labels_complete_rows,330524.0,330524,330524.0,0.0,1.0,0,636.0,0.0,not_available,08_risk_on_transition_recall_exploration_v0/outputs/local_cache/candidate_family_event_labels.parquet,12A3_qfq_recompute_failure_false_repair_winner_v1,08_candidate_family_event_labels,event_big_winner_120d_label,331318,330524.0,331160,330524,330524.0,1.0,0.995,pass,
fast_fail_10d_label,12A2_state_change_recomputed_readout,,28691,,,,0,,,not_available,,12A3_qfq_recompute_failure_false_repair_winner_v1,12A2_state_change_recomputed,fast_fail_10d_label,28691,,28691,28691,,,0.995,readout_only,0.21620020215398558
false_repair_20d_label,12A2_state_change_recomputed_readout,,28691,,,,0,,,not_available,,12A3_qfq_recompute_failure_false_repair_winner_v1,12A2_state_change_recomputed,false_repair_20d_label,28691,,28691,28691,,,0.995,readout_only,0.2881739918441323
winner_120_label,12A2_state_change_recomputed_readout,,28679,,,,12,,,not_available,,12A3_qfq_recompute_failure_false_repair_winner_v1,12A2_state_change_recomputed,winner_120_label,28691,,28679,28679,,,0.995,readout_only,0.1613724327905436
