denominator_type,split,candidate_id,candidate_family,stage2_budget_X,common_denominator_n,candidate_matched_selected_n,comparator_matched_selected_n,candidate_matched_rate,complex_model_matched_rate,delta_vs_complex_model,delta_vs_complex_model_ci95_low,delta_vs_complex_model_ci95_high,bootstrap_replicate_valid_n,comparator_feature_list
ground_truth_no_fast_fail_survivor,all,single_f4f0b5f01efc729c,single_feature_stage2,0.3,9344,2717,2717,0.20316525579683475,0.20610967979389033,-0.0029444239970555786,-0.015572630407389555,0.01014744525430681,2000,stage2_continuation_score
ground_truth_no_fast_fail_survivor,train,single_f4f0b5f01efc729c,single_feature_stage2,0.3,4707,1513,1513,0.20092531394580304,0.21612690019828157,-0.015201586252478527,-0.033546428786723384,0.0017100654051695227,2000,stage2_continuation_score
ground_truth_no_fast_fail_survivor,validation,single_f4f0b5f01efc729c,single_feature_stage2,0.3,1414,171,171,0.1695906432748538,0.14619883040935672,0.023391812865497075,-0.027719770041362734,0.07480792780062251,2000,stage2_continuation_score
ground_truth_no_fast_fail_survivor,robustness,single_f4f0b5f01efc729c,single_feature_stage2,0.3,3223,1033,1033,0.21200387221684414,0.20135527589545016,0.010648596321393977,-0.0083170409076538,0.029980946817627106,2000,stage2_continuation_score
ground_truth_no_fast_fail_survivor,all,single_f4f0b5f01efc729c,single_feature_stage2,0.5,9344,4450,4450,0.18943820224719102,0.18943820224719102,0.0,-0.0076686440685369,0.007686978009819596,2000,stage2_continuation_score
ground_truth_no_fast_fail_survivor,train,single_f4f0b5f01efc729c,single_feature_stage2,0.5,4707,2445,2445,0.1950920245398773,0.20368098159509201,-0.008588957055214702,-0.019470460473712144,0.002344294357805546,2000,stage2_continuation_score
ground_truth_no_fast_fail_survivor,validation,single_f4f0b5f01efc729c,single_feature_stage2,0.5,1414,421,421,0.14014251781472684,0.12826603325415678,0.011876484560570055,-0.013535112207703953,0.03901779743085998,2000,stage2_continuation_score
ground_truth_no_fast_fail_survivor,robustness,single_f4f0b5f01efc729c,single_feature_stage2,0.5,3223,1584,1584,0.19381313131313133,0.18371212121212122,0.01010101010101011,-0.002324243976767328,0.022165206380998278,2000,stage2_continuation_score
ground_truth_no_fast_fail_survivor,all,single_f4f0b5f01efc729c,single_feature_stage2,0.7,9344,6226,6226,0.167362672663026,0.167362672663026,0.0,-0.004547029124973941,0.004866061650445012,2000,stage2_continuation_score
ground_truth_no_fast_fail_survivor,train,single_f4f0b5f01efc729c,single_feature_stage2,0.7,4707,3310,3310,0.18187311178247734,0.18640483383685802,-0.004531722054380682,-0.010817208820323582,0.0019347014272874802,2000,stage2_continuation_score
