slice_type,selected_n,selected_continuation_rate,base_continuation_rate,delta_vs_base,random_p50,delta_vs_random_p50,budget_total,budget_rank_evaluable,rank_not_evaluable_rate,direction_status,split,calendar_year,board_bucket,primary_family_id,calendar_month,stage1_anchor_selected_flag
split,279,0.12903225806451613,0.0932806324110672,0.03575162565344893,0.0932806324110672,0.03575162565344893,0.22055335968379447,0.22107765451664024,0.0023715415019762848,pass,robustness,,,,,
split,434,0.1935483870967742,0.12199747155499367,0.07155091554178052,0.12199747155499367,0.07155091554178052,0.2743362831858407,0.29503738953093134,0.07016434892541087,pass,train,,,,,
split,191,0.13089005235602094,0.08062418725617686,0.050265865099844084,0.08062418725617686,0.050265865099844084,0.2483745123537061,0.2523117569352708,0.015604681404421327,pass,validation,,,,,
calendar_year,95,0.042105263157894736,0.02694610778443114,0.015159155373463597,0.02694610778443114,0.015159155373463597,0.2844311377245509,0.2852852852852853,0.0029940119760479044,insufficient_n,robustness,2024,,,,
calendar_year,184,0.17391304347826086,0.11707841031149302,0.056834633166767845,0.11707841031149302,0.056834633166767845,0.19763694951664876,0.19806243272335844,0.0021482277121374865,pass,robustness,2025,,,,
calendar_year,0,,0.0,,0.0,,0.0,,1.0,insufficient_n,train,2018,,,,
calendar_year,147,0.14965986394557823,0.08943089430894309,0.06022896963663514,0.08943089430894309,0.06022896963663514,0.23902439024390243,0.2639138240574506,0.0943089430894309,pass,train,2019,,,,
calendar_year,160,0.3,0.18375241779497098,0.11624758220502901,0.18375241779497098,0.11624758220502901,0.30947775628626695,0.3225806451612903,0.04061895551257253,pass,train,2020,,,,
calendar_year,127,0.11023622047244094,0.09885057471264368,0.011385645759797267,0.09885057471264368,0.011385645759797267,0.29195402298850576,0.3038277511961722,0.03908045977011494,pass,train,2021,,,,
calendar_year,43,0.046511627906976744,0.02717391304347826,0.019337714863498483,0.02717391304347826,0.019337714863498483,0.23369565217391305,0.24022346368715083,0.02717391304347826,insufficient_n,validation,2022,,,,
calendar_year,148,0.1554054054054054,0.09743589743589744,0.057969507969507963,0.09743589743589744,0.057969507969507963,0.252991452991453,0.2560553633217993,0.011965811965811967,pass,validation,2023,,,,
board_bucket,51,0.1568627450980392,0.1774891774891775,-0.02062643239113829,0.1774891774891775,-0.02062643239113829,0.22077922077922077,0.2236842105263158,0.012987012987012988,insufficient_n,robustness,,chinext,,,
board_bucket,228,0.12280701754385964,0.07446808510638298,0.04833893243747667,0.07446808510638298,0.04833893243747667,0.2205029013539652,0.2205029013539652,0.0,pass,robustness,,main_board,,,
board_bucket,67,0.208955223880597,0.19066147859922178,0.01829374528137523,0.19066147859922178,0.01829374528137523,0.2607003891050584,0.3130841121495327,0.16731517509727625,insufficient_n,train,,chinext,,,
board_bucket,367,0.1907356948228883,0.10867924528301887,0.08205644953986943,0.10867924528301887,0.08205644953986943,0.2769811320754717,0.29196499602227527,0.05132075471698113,pass,train,,main_board,,,
board_bucket,21,0.23809523809523808,0.13333333333333333,0.10476190476190475,0.13333333333333333,0.10476190476190475,0.2,0.21,0.047619047619047616,insufficient_n,validation,,chinext,,,
board_bucket,170,0.11764705882352941,0.07228915662650602,0.04535790219702339,0.07228915662650602,0.04535790219702339,0.2560240963855422,0.258751902587519,0.010542168674698794,pass,validation,,main_board,,,
primary_family_id,37,0.02702702702702703,0.04929577464788732,-0.022268747620860292,0.04929577464788732,-0.022268747620860292,0.2605633802816901,0.2605633802816901,0.0,insufficient_n,robustness,,,B1,,
primary_family_id,61,0.14754098360655737,0.07368421052631578,0.07385677308024159,0.07368421052631578,0.07385677308024159,0.21403508771929824,0.21554770318021202,0.007017543859649123,insufficient_n,robustness,,,B2,,
primary_family_id,37,0.1891891891891892,0.12698412698412698,0.06220506220506222,0.12698412698412698,0.06220506220506222,0.29365079365079366,0.29365079365079366,0.0,insufficient_n,robustness,,,B3,,
primary_family_id,0,,0.3333333333333333,,0.3333333333333333,,0.0,0.0,0.0,insufficient_n,robustness,,,B4,,
primary_family_id,79,0.1518987341772152,0.10566037735849057,0.046238356818724624,0.10566037735849057,0.046238356818724624,0.1490566037735849,0.14933837429111532,0.0018867924528301887,insufficient_n,robustness,,,B5,,
primary_family_id,43,0.046511627906976744,0.05333333333333334,-0.006821705426356593,0.05333333333333334,-0.006821705426356593,0.5733333333333334,0.5733333333333334,0.0,insufficient_n,robustness,,,B6,,
primary_family_id,22,0.22727272727272727,0.11224489795918367,0.11502782931354359,0.11224489795918367,0.11502782931354359,0.22448979591836735,0.22448979591836735,0.0,insufficient_n,robustness,,,B8,,
primary_family_id,46,0.21739130434782608,0.1504424778761062,0.06694882647171987,0.1504424778761062,0.06694882647171987,0.40707964601769914,0.41818181818181815,0.02654867256637168,insufficient_n,train,,,B1,,
primary_family_id,118,0.2033898305084746,0.14356435643564355,0.059825474072831036,0.14356435643564355,0.059825474072831036,0.29207920792079206,0.3172043010752688,0.07920792079207921,pass,train,,,B2,,
primary_family_id,72,0.19444444444444445,0.12359550561797752,0.07084893882646692,0.12359550561797752,0.07084893882646692,0.4044943820224719,0.44171779141104295,0.08426966292134831,insufficient_n,train,,,B3,,
primary_family_id,0,,0.25,,0.25,,0.0,0.0,0.0,insufficient_n,train,,,B4,,
primary_family_id,127,0.1968503937007874,0.10014306151645208,0.09670733218433533,0.10014306151645208,0.09670733218433533,0.18168812589413447,0.19508448540706605,0.06866952789699571,pass,train,,,B5,,
primary_family_id,20,0.05,0.05128205128205128,-0.0012820512820512775,0.05128205128205128,-0.0012820512820512775,0.5128205128205128,0.5555555555555556,0.07692307692307693,insufficient_n,train,,,B6,,
primary_family_id,51,0.19607843137254902,0.15328467153284672,0.042793759839702294,0.15328467153284672,0.042793759839702294,0.3722627737226277,0.4015748031496063,0.072992700729927,insufficient_n,train,,,B8,,
primary_family_id,14,0.0,0.1,-0.1,0.1,-0.1,0.23333333333333334,0.24561403508771928,0.05,insufficient_n,validation,,,B1,,
primary_family_id,45,0.13333333333333333,0.07407407407407407,0.05925925925925926,0.07407407407407407,0.05925925925925926,0.20833333333333334,0.21226415094339623,0.018518518518518517,insufficient_n,validation,,,B2,,
primary_family_id,34,0.11764705882352941,0.056179775280898875,0.061467283542630535,0.056179775280898875,0.061467283542630535,0.38202247191011235,0.38202247191011235,0.0,insufficient_n,validation,,,B3,,
primary_family_id,0,,0.0,,0.0,,0.0,0.0,0.0,insufficient_n,validation,,,B4,,
primary_family_id,58,0.15517241379310345,0.0749185667752443,0.08025384701785915,0.0749185667752443,0.08025384701785915,0.18892508143322476,0.19141914191419143,0.013029315960912053,insufficient_n,validation,,,B5,,
primary_family_id,16,0.0625,0.08823529411764706,-0.025735294117647065,0.08823529411764706,-0.025735294117647065,0.47058823529411764,0.47058823529411764,0.0,insufficient_n,validation,,,B6,,
primary_family_id,24,0.20833333333333334,0.14516129032258066,0.06317204301075269,0.14516129032258066,0.06317204301075269,0.3870967741935484,0.39344262295081966,0.016129032258064516,insufficient_n,validation,,,B8,,
calendar_month,9,0.1111111111111111,0.10204081632653061,0.00907029478458049,0.10204081632653061,0.00907029478458049,0.1836734693877551,0.1836734693877551,0.0,insufficient_n,robustness,,,,2024-03,
calendar_month,41,0.024390243902439025,0.008771929824561403,0.015618314077877622,0.008771929824561403,0.015618314077877622,0.35964912280701755,0.35964912280701755,0.0,insufficient_n,robustness,,,,2024-04,
calendar_month,12,0.08333333333333333,0.03125,0.05208333333333333,0.03125,0.05208333333333333,0.375,0.375,0.0,insufficient_n,robustness,,,,2024-05,
