scope_id,split,raw_event_n,primary_scope_n,ground_truth_survivor_n,stage1_anchor_chained_survivor_n,excluded_event_n,source_arm_is_c0_rate,market_regime_risk_on_rate,stage_1_evaluable_rate
c0_risk_on_stage1_evaluable,all,15113,15113,9481,3616,0,1.0,1.0,1.0
c0_risk_on_stage1_evaluable,train,8303,8303,4827,1582,0,1.0,1.0,1.0
c0_risk_on_stage1_evaluable,validation,2151,2151,1420,769,0,1.0,1.0,1.0
c0_risk_on_stage1_evaluable,robustness,4659,4659,3234,1265,0,1.0,1.0,1.0
