denominator_type,deployable_at_stage_2_decision_time,stage,split,candidate_id,candidate_family,single_feature_comparison_role,complex_comparison_role,feature_list,feature_orientation_json,feature_list_hash,history_policy_id,history_window_mode,trailing_history_window_sessions,stage1_anchor_rule_id,stage1_anchor_selected_n,stage2_budget_X,denominator_n,rank_evaluable_n,rank_not_evaluable_n,denominator_positive_n,rank_evaluable_positive_n,selected_n,selected_positive_n,selected_budget_total,selected_budget_rank_evaluable,selected_continuation_rate,base_continuation_rate,delta_vs_base,random_p05,random_p50,random_p95,delta_vs_random_p50,delta_vs_random_p50_ci95_low,delta_vs_random_p50_ci95_high,single_feature_matched_rate,delta_vs_single_feature,delta_vs_single_feature_ci95_low,delta_vs_single_feature_ci95_high,complex_model_matched_rate,delta_vs_complex_model,delta_vs_complex_model_ci95_low,delta_vs_complex_model_ci95_high,bootstrap_denominator_positive_n,bootstrap_replicate_valid_n,rank_not_evaluable_rate,budget_abs_delta_total_vs_X,budget_abs_delta_rank_evaluable_vs_X,readout_status,diagnostic_only_flag,valid_seed_n
stage1_anchor_chained_survivor,True,stage_2,all,complex_stage2_score,complex_stage2_score,matched_challenger,not_applicable,stage2_continuation_score,"{""stage2_continuation_score"": ""desc""}",ba55b84a59b9455db2ad2a6346f97200cc6b4644d084be38e285537cd1bcfa78,board_then_global_rolling_504_sessions,rolling_sessions,504,simple_0066e3511eb63515,3616,0.3,3616,3490,126,373,358,904,145,0.25,0.25902578796561604,0.16039823008849557,0.10315265486725664,0.05724557522123894,,,,,,,0.16261061946902655,-0.002212389380530977,-0.023890626426011773,0.019301193027437484,,,,,145,0,0.03484513274336283,0.04999999999999999,0.04097421203438395,random_replay_failed,False,0
stage1_anchor_chained_survivor,True,stage_2,train,complex_stage2_score,complex_stage2_score,matched_challenger,not_applicable,stage2_continuation_score,"{""stage2_continuation_score"": ""desc""}",ba55b84a59b9455db2ad2a6346f97200cc6b4644d084be38e285537cd1bcfa78,board_then_global_rolling_504_sessions,rolling_sessions,504,simple_0066e3511eb63515,1582,0.3,1582,1471,111,193,178,434,84,0.2743362831858407,0.29503738953093134,0.1935483870967742,0.12199747155499367,0.07155091554178052,,,,,,,0.1912442396313364,0.002304147465437778,-0.029309062461462594,0.032006019298726776,,,,,84,0,0.07016434892541087,0.0256637168141593,0.004962610469068651,random_replay_failed,False,0
stage1_anchor_chained_survivor,True,stage_2,validation,complex_stage2_score,complex_stage2_score,matched_challenger,not_applicable,stage2_continuation_score,"{""stage2_continuation_score"": ""desc""}",ba55b84a59b9455db2ad2a6346f97200cc6b4644d084be38e285537cd1bcfa78,board_then_global_rolling_504_sessions,rolling_sessions,504,simple_0066e3511eb63515,769,0.3,769,757,12,62,62,191,25,0.2483745123537061,0.2523117569352708,0.13089005235602094,0.08062418725617686,0.050265865099844084,,,,,,,0.1518324607329843,-0.020942408376963345,-0.06327262253713525,0.023611356102867062,,,,,25,0,0.015604681404421327,0.05162548764629388,0.047688243064729186,random_replay_failed,False,0
stage1_anchor_chained_survivor,True,stage_2,robustness,complex_stage2_score,complex_stage2_score,matched_challenger,not_applicable,stage2_continuation_score,"{""stage2_continuation_score"": ""desc""}",ba55b84a59b9455db2ad2a6346f97200cc6b4644d084be38e285537cd1bcfa78,board_then_global_rolling_504_sessions,rolling_sessions,504,simple_0066e3511eb63515,1265,0.3,1265,1262,3,118,118,279,36,0.22055335968379447,0.22107765451664024,0.12903225806451613,0.0932806324110672,0.03575162565344893,,,,,,,0.12544802867383512,0.0035842293906810097,-0.03786247634750491,0.044071972658129746,,,,,36,0,0.0023715415019762848,0.07944664031620552,0.07892234548335975,random_replay_failed,False,0
stage1_anchor_chained_survivor,True,stage_2,all,complex_stage2_score,complex_stage2_score,matched_challenger,not_applicable,stage2_continuation_score,"{""stage2_continuation_score"": ""desc""}",ba55b84a59b9455db2ad2a6346f97200cc6b4644d084be38e285537cd1bcfa78,board_then_global_rolling_504_sessions,rolling_sessions,504,simple_0066e3511eb63515,3616,0.5,3616,3490,126,373,358,1612,232,0.44579646017699115,0.46189111747851,0.14392059553349876,0.10315265486725664,0.04076794066624212,,,,,,,0.14392059553349876,0.0,-0.011702586691597093,0.01180490767084097,,,,,232,0,0.03484513274336283,0.05420353982300885,0.03810888252148997,random_replay_failed,False,0
stage1_anchor_chained_survivor,True,stage_2,train,complex_stage2_score,complex_stage2_score,matched_challenger,not_applicable,stage2_continuation_score,"{""stage2_continuation_score"": ""desc""}",ba55b84a59b9455db2ad2a6346f97200cc6b4644d084be38e285537cd1bcfa78,board_then_global_rolling_504_sessions,rolling_sessions,504,simple_0066e3511eb63515,1582,0.5,1582,1471,111,193,178,736,124,0.46523388116308473,0.5003399048266486,0.16847826086956522,0.12199747155499367,0.046480789314571544,,,,,,,0.1644021739130435,0.0040760869565217295,-0.013555697181758114,0.020434484571884067,,,,,124,0,0.07016434892541087,0.03476611883691527,0.0003399048266485849,random_replay_failed,False,0
stage1_anchor_chained_survivor,True,stage_2,validation,complex_stage2_score,complex_stage2_score,matched_challenger,not_applicable,stage2_continuation_score,"{""stage2_continuation_score"": ""desc""}",ba55b84a59b9455db2ad2a6346f97200cc6b4644d084be38e285537cd1bcfa78,board_then_global_rolling_504_sessions,rolling_sessions,504,simple_0066e3511eb63515,769,0.5,769,757,12,62,62,344,40,0.44733420026007803,0.45442536327608984,0.11627906976744186,0.08062418725617686,0.035654882511265,,,,,,,0.11337209302325581,0.0029069767441860517,-0.022323906341015602,0.02686307469393071,,,,,40,0,0.015604681404421327,0.05266579973992197,0.045574636723910156,random_replay_failed,False,0
stage1_anchor_chained_survivor,True,stage_2,robustness,complex_stage2_score,complex_stage2_score,matched_challenger,not_applicable,stage2_continuation_score,"{""stage2_continuation_score"": ""desc""}",ba55b84a59b9455db2ad2a6346f97200cc6b4644d084be38e285537cd1bcfa78,board_then_global_rolling_504_sessions,rolling_sessions,504,simple_0066e3511eb63515,1265,0.5,1265,1262,3,118,118,532,68,0.4205533596837945,0.4215530903328051,0.12781954887218044,0.0932806324110672,0.03453891646111325,,,,,,,0.13533834586466165,-0.007518796992481203,-0.029409045020919233,0.015139025699287623,,,,,68,0,0.0023715415019762848,0.07944664031620552,0.07844690966719492,random_replay_failed,False,0
stage1_anchor_chained_survivor,True,stage_2,all,complex_stage2_score,complex_stage2_score,matched_challenger,not_applicable,stage2_continuation_score,"{""stage2_continuation_score"": ""desc""}",ba55b84a59b9455db2ad2a6346f97200cc6b4644d084be38e285537cd1bcfa78,board_then_global_rolling_504_sessions,rolling_sessions,504,simple_0066e3511eb63515,3616,0.7,3616,3490,126,373,358,2298,283,0.6355088495575221,0.6584527220630373,0.12315056570931245,0.10315265486725664,0.019997910842055808,,,,,,,0.1279373368146214,-0.004786771105308965,-0.011636751625243894,0.002131711809839199,,,,,283,0,0.03484513274336283,0.06449115044247788,0.04154727793696267,random_replay_failed,False,0
stage1_anchor_chained_survivor,True,stage_2,train,complex_stage2_score,complex_stage2_score,matched_challenger,not_applicable,stage2_continuation_score,"{""stage2_continuation_score"": ""desc""}",ba55b84a59b9455db2ad2a6346f97200cc6b4644d084be38e285537cd1bcfa78,board_then_global_rolling_504_sessions,rolling_sessions,504,simple_0066e3511eb63515,1582,0.7,1582,1471,111,193,178,1004,147,0.6346396965865992,0.6825288919102651,0.14641434262948208,0.12199747155499367,0.024416871074488408,,,,,,,0.14342629482071714,0.0029880478087649376,-0.0065457851605808665,0.011987843818362575,,,,,147,0,0.07016434892541087,0.06536030341340071,0.017471108089734844,random_replay_failed,False,0
