split,ground_truth_survivor_n,ground_truth_survivor_continuation_rate,stage1_anchor_chained_survivor_n,stage1_anchor_chained_survivor_continuation_rate,chained_survivor_share_of_ground_truth_survivors,continuation_rate_delta_chained_vs_ground_truth,continuation_positive_capture_rate,fast_fail_reduction_from_stage1_anchor,stage1_defense_opportunity_cost_status
all,9481,0.13827655310621242,3616,0.10315265486725664,0.3813943676827339,-0.035123898238955786,0.28451563691838294,0.18414942561369815,continuation_cost_but_stage2_recoverable
train,4827,0.1559975139838409,1582,0.12199747155499367,0.327739796975347,-0.03400004242884723,0.25630810092961487,0.18414942561369815,continuation_cost_but_stage2_recoverable
validation,1420,0.08661971830985915,769,0.08062418725617686,0.5415492957746478,-0.005995531053682293,0.5040650406504065,0.18414942561369815,no_material_continuation_cost
robustness,3234,0.1345083487940631,1265,0.0932806324110672,0.391156462585034,-0.041227716382995896,0.271264367816092,0.18414942561369815,continuation_cost_but_stage2_recoverable
