denominator_type,split,candidate_id,candidate_family,stage2_budget_X,common_denominator_n,candidate_matched_selected_n,comparator_matched_selected_n,candidate_matched_rate,single_feature_matched_rate,delta_vs_single_feature,delta_vs_single_feature_ci95_low,delta_vs_single_feature_ci95_high,bootstrap_replicate_valid_n,comparator_feature_list
ground_truth_no_fast_fail_survivor,all,complex_stage2_score,complex_stage2_score,0.3,9344,2623,2623,0.2123522683949676,0.2150209683568433,-0.0026686999618757146,-0.016976195245670143,0.011123348902824317,2000,realized_path_volatility_0_20d
ground_truth_no_fast_fail_survivor,train,complex_stage2_score,complex_stage2_score,0.3,4707,1496,1496,0.23462566844919786,0.2232620320855615,0.011363636363636354,-0.0075821507352660045,0.030541164605795354,2000,realized_path_volatility_0_20d
ground_truth_no_fast_fail_survivor,validation,complex_stage2_score,complex_stage2_score,0.3,1414,287,287,0.15331010452961671,0.1672473867595819,-0.013937282229965181,-0.052641171135962575,0.024782970124686412,2000,realized_path_volatility_0_20d
ground_truth_no_fast_fail_survivor,robustness,complex_stage2_score,complex_stage2_score,0.3,3223,840,840,0.19285714285714287,0.21666666666666667,-0.023809523809523808,-0.04848807123579024,0.0017811493048513604,2000,realized_path_volatility_0_20d
ground_truth_no_fast_fail_survivor,all,complex_stage2_score,complex_stage2_score,0.5,9344,4401,4401,0.19177459668257213,0.19200181776868894,-0.0002272210861168078,-0.008201557031946888,0.008237730225991538,2000,realized_path_volatility_0_20d
ground_truth_no_fast_fail_survivor,train,complex_stage2_score,complex_stage2_score,0.5,4707,2418,2418,0.21381306865177832,0.20678246484698098,0.007030603804797336,-0.004533455973534327,0.018304381722732906,2000,realized_path_volatility_0_20d
ground_truth_no_fast_fail_survivor,validation,complex_stage2_score,complex_stage2_score,0.5,1414,527,527,0.127134724857685,0.12903225806451613,-0.0018975332068311146,-0.02230640982964781,0.01849725232999336,2000,realized_path_volatility_0_20d
ground_truth_no_fast_fail_survivor,robustness,complex_stage2_score,complex_stage2_score,0.5,3223,1456,1456,0.17857142857142858,0.19024725274725274,-0.011675824175824162,-0.025973361516417836,0.0019477918901566692,2000,realized_path_volatility_0_20d
ground_truth_no_fast_fail_survivor,all,complex_stage2_score,complex_stage2_score,0.7,9344,6281,6281,0.1713103009074988,0.1717879318579844,-0.00047763095048561355,-0.005378874637949999,0.004541371855831496,2000,realized_path_volatility_0_20d
ground_truth_no_fast_fail_survivor,train,complex_stage2_score,complex_stage2_score,0.7,4707,3336,3336,0.19184652278177458,0.18854916067146282,0.003297362110311758,-0.003135879397970063,0.00975819980718712,2000,realized_path_volatility_0_20d
