check_id,stage,artifact_path,expected_value,observed_value,status,reason
scope_restart_estimands_exact,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/references/21c_full_v4/scope_restart_decision.json,pass,pass,pass,
scope_restart_execution_false,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/references/21c_full_v4/scope_restart_decision.json,pass,pass,pass,
scope_restart_file_present,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/references/21c_full_v4/scope_restart_decision.json,pass,pass,pass,
scope_restart_holdout_false,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/references/21c_full_v4/scope_restart_decision.json,pass,pass,pass,
scope_restart_path_canonical,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/references/21c_full_v4/scope_restart_decision.json,pass,pass,pass,
scope_restart_requirement_sha256_match,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/references/21c_full_v4/scope_restart_decision.json,pass,pass,pass,
scope_restart_reviewer_human,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/references/21c_full_v4/scope_restart_decision.json,pass,pass,pass,
scope_restart_routes_exact,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/references/21c_full_v4/scope_restart_decision.json,pass,pass,pass,
scope_restart_schema_exact,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/references/21c_full_v4/scope_restart_decision.json,pass,pass,pass,
scope_restart_sha256_match,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/references/21c_full_v4/scope_restart_decision.json,pass,pass,pass,
scope_restart_status_exact,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/references/21c_full_v4/scope_restart_decision.json,pass,pass,pass,
