upstream_scope,artifact_id,source_file,required_fact,expected_value,observed_value,source_row_filter,derived_gate,contract_gate,hash_verified,validation_outcome_read,authorization_field,authorization_value,blocking_reason
19A,upstream_19a_contract_audit,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/upstream_19a_contract_audit.csv,aggregate_contract_gate,"""pass""","""pass""",,pass,pass,,False,,,
19B0,upstream_19b0_contract_audit,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/upstream_19b0_contract_audit.csv,aggregate_contract_gate,"""pass""","""pass""",,pass,pass,,False,,,
19B,entry_universe_19b_decision,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/entry_universe_19b_decision.csv,decision_state,"[""19B_false_positive_burden_blocked"", ""19B_positive_exposure_persistent_enrichment_only_diagnostic"", ""19B_baseline_quality_blocked_enrichment_only_diagnostic_possible""]","""19B_false_positive_burden_blocked""",,pass,pass,,False,,,
19B,entry_universe_19b_decision,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/entry_universe_19b_decision.csv,validation_outcome_read,false,false,,pass,pass,,False,,,
19B,entry_universe_19b_decision,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/entry_universe_19b_decision.csv,N_family_brought_to_robustness,2,2,,pass,pass,,False,,,
19B,entry_universe_19b_decision,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/entry_universe_19b_decision.csv,N_tested_family_cell_pairs,2,2,,pass,pass,,False,,,
19B,entry_universe_19b_decision,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/entry_universe_19b_decision.csv,positive_exposure_robustness_gate,"""pass""","""pass""",,pass,pass,,False,,,
19B,entry_universe_19b_decision,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/entry_universe_19b_decision.csv,matched_baseline_residual_gate,"""fail""","""fail""",,pass,pass,,False,,,
19B,entry_universe_19b_decision,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/entry_universe_19b_decision.csv,max_ep19_terminal_state_if_no_residual_pass,"""19_entry_universe_enrichment_only_diagnostic""","""19_entry_universe_enrichment_only_diagnostic""",,pass,pass,,False,,,
19B,entry_universe_19b_decision,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/entry_universe_19b_decision.csv,robustness_candidate_manifest_gate,"""pass""","""pass""",,pass,pass,,False,,,
19B,entry_universe_19b_decision,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/entry_universe_19b_decision.csv,outcome_boundary_gate,"""pass""","""pass""",,pass,pass,,False,,,
