feature_name,feature_signal_group,source_alias,feature_value_type,source_artifact,source_columns,asof_rule,pit_safe_flag,missing_rate,left_bad_nonmissing_n,right_clean_nonmissing_n,left_bad_missing_rate,right_clean_missing_rate,missing_rate_delta_abs,used_in_primary_readout,primary_whitelist_flag,exploratory_only_flag,feature_support_gate,blocking_reason
return_5d_asof_decision_date,recent_return,return_5d,numeric,EP07 canonical or qfq close,return_5d|close,event_t0_date close,True,0.0,614,290,0.0,0.0,0.0,True,True,False,pass,
return_10d_asof_decision_date,recent_return,return_10d,numeric,EP07 canonical or qfq close,return_10d|close,event_t0_date close,True,0.0,614,290,0.0,0.0,0.0,True,True,False,pass,
return_20d_asof_decision_date,recent_return,return_20d,numeric,EP07 canonical or qfq close,return_20d|close,event_t0_date close,True,0.0,614,290,0.0,0.0,0.0,True,True,False,pass,
return_60d_asof_decision_date,recent_return,return_60d,numeric,EP07 canonical or qfq close,return_60d|close,event_t0_date close,True,0.0,614,290,0.0,0.0,0.0,True,True,False,pass,
stock_vs_market_return_20d_asof_decision_date,relative_strength,stock_vs_market_20d,numeric,EP07 canonical or qfq + benchmark,stock_vs_market_20d|close|benchmark_close,event_t0_date close,True,0.0,614,290,0.0,0.0,0.0,True,True,False,pass,
return_60d_cross_section_rank_pct_asof_decision_date,relative_strength,nan,numeric,baseline eligible universe + qfq close,return_60d,event_t0_date close,True,0.0,614,290,0.0,0.0,0.0,True,True,False,pass,
close_to_ema60_asof_decision_date,relative_strength,close_to_ema60,numeric,EP07 canonical or qfq close,close_to_ema60|close,event_t0_date close,True,0.0,614,290,0.0,0.0,0.0,True,True,False,pass,
amount_ratio_20d_asof_decision_date,liquidity_amount,amount_ratio_20d,numeric,EP07 canonical or qfq money,amount_ratio_20d|money,event_t0_date close,True,0.0,614,290,0.0,0.0,0.0,True,True,False,pass,
rolling_20d_money_mean_asof_decision_date,liquidity_amount,,numeric,qfq money,money,decision_date close,True,0.0,614,290,0.0,0.0,0.0,True,True,False,pass,
atr_20_pct_asof_decision_date,volatility_range,atr_20_pct,numeric,EP07 canonical or qfq high/low/close,atr_20_pct|high|low|close,event_t0_date close,True,0.0,614,290,0.0,0.0,0.0,True,True,False,pass,
atr_20_pct_rank_asof_decision_date,volatility_range,nan,numeric,baseline eligible universe + atr_20_pct,atr_20_pct,event_t0_date close,True,0.0,614,290,0.0,0.0,0.0,True,True,False,pass,
intraday_range_pct_asof_decision_date,volatility_range,intraday_range_pct,numeric,EP07 canonical or qfq high/low/close,intraday_range_pct|high|low|close,event_t0_date close,True,0.0,614,290,0.0,0.0,0.0,True,True,False,pass,
close_position_in_120d_range_asof_decision_date,range_position,nan,numeric,qfq high/low/close,high|low|close,event_t0_date close,True,0.001288659793814433,612,290,0.0032573289902280145,0.0,0.0032573289902280145,True,True,False,pass,
market_regime_risk_on_asof_decision_date,market_regime,market_regime_bucket,boolean,EP07 canonical or benchmark,market_regime_bucket|benchmark_close,event_t0_date close,True,0.0,614,290,0.0,0.0,0.0,True,True,False,pass,
market_drawdown_60d_asof_decision_date,market_regime,market_drawdown_60d,numeric,EP07 canonical or benchmark,market_drawdown_60d|benchmark_close,event_t0_date close,True,0.0,614,290,0.0,0.0,0.0,True,True,False,pass,
match_market_cap,size,market_cap_bucket_asof_decision_date,numeric,pit_topn_400_100_executable_daily.csv,total_market_cap_cny,decision_date close,True,0.0,614,290,0.0,0.0,0.0,True,True,False,pass,
match_amount20,liquidity_amount,rolling_20d_amount_bucket_asof_decision_date,numeric,qfq money,money,decision_date close,True,0.0,614,290,0.0,0.0,0.0,True,True,False,pass,
match_vol60,volatility_range,rolling_60d_volatility_bucket_asof_decision_date,numeric,qfq close,close,decision_date close,True,0.0,614,290,0.0,0.0,0.0,True,True,False,pass,
match_return20,recent_return,recent_20d_return_bucket_asof_decision_date,numeric,qfq close,close,decision_date close,True,0.0,614,290,0.0,0.0,0.0,True,True,False,pass,
