formula_id,arm_id,residual_model_id,estimation_sessions,minimum_paired_observation,formation_sessions,standardization_ddof,rcond,frozen_formula_text_sha256
NO_SCORE_BASELINE,SRC0_ALL_ELIGIBLE_BASELINE,,0,,,,,b95e56ddf435b1016576b5b2252092a548d81518813094773228d31a233ee21d
SRC_10D_STANDARDIZED,SRC4_MKT_RESID_CONT_10D,rolling_252d_sequential_market_residual_adaptation,252,200,10,1,1e-12,30ebffe6d7905efc35fd2720187a303ea7f7829c3492573ec0ce3fa17ab268bf
SRC_5D_STANDARDIZED,SRC3_MKT_RESID_CONT_5D,rolling_252d_sequential_market_residual_adaptation,252,200,5,1,1e-12,e2358850ffe9350a7256af1242c8f8e3be329ee1958abec6e45ca9fd87d90cd4
TOT_10D_STANDARDIZED,SRC2_TOTAL_CONT_10D,,0,,10,1,,462f99169ec04f5203024fcfcd19846afd0b9b332e15d516d54817b10463fbff
TOT_5D_STANDARDIZED,SRC1_TOTAL_CONT_5D,,0,,5,1,,81832dadfe362ca0a4958217b457920f98f5052339cd80c5709142bdc3cfcb32
VOL20,SRC5_LOWVOL_20D_COMPARATOR,,0,,20,1,,6a26bab7b377682a27abc0768d5236d09a9919dfe063ba600ea630d0e66b838b
