decision_date,zero_based_session_index,iso_year,iso_week,entry_date,entry_within_boundary,residual_10D_calendar_ready,calendar_signal_possible,fold_id
2017-01-06,3,2017,1,2017-01-09,True,False,False,NOT_IN_FOLD
2017-01-13,8,2017,2,2017-01-16,True,False,False,NOT_IN_FOLD
2017-01-20,13,2017,3,2017-01-23,True,False,False,NOT_IN_FOLD
2017-01-26,17,2017,4,2017-02-03,True,False,False,NOT_IN_FOLD
2017-02-03,18,2017,5,2017-02-06,True,False,False,NOT_IN_FOLD
2017-02-10,23,2017,6,2017-02-13,True,False,False,NOT_IN_FOLD
2017-02-17,28,2017,7,2017-02-20,True,False,False,NOT_IN_FOLD
2017-02-24,33,2017,8,2017-02-27,True,False,False,NOT_IN_FOLD
2017-03-03,38,2017,9,2017-03-06,True,False,False,NOT_IN_FOLD
2017-03-10,43,2017,10,2017-03-13,True,False,False,NOT_IN_FOLD
2017-03-17,48,2017,11,2017-03-20,True,False,False,NOT_IN_FOLD
2017-03-24,53,2017,12,2017-03-27,True,False,False,NOT_IN_FOLD
2017-03-31,58,2017,13,2017-04-05,True,False,False,NOT_IN_FOLD
2017-04-07,61,2017,14,2017-04-10,True,False,False,NOT_IN_FOLD
2017-04-14,66,2017,15,2017-04-17,True,False,False,NOT_IN_FOLD
2017-04-21,71,2017,16,2017-04-24,True,False,False,NOT_IN_FOLD
2017-04-28,76,2017,17,2017-05-02,True,False,False,NOT_IN_FOLD
2017-05-05,80,2017,18,2017-05-08,True,False,False,NOT_IN_FOLD
2017-05-12,85,2017,19,2017-05-15,True,False,False,NOT_IN_FOLD
2017-05-19,90,2017,20,2017-05-22,True,False,False,NOT_IN_FOLD
2017-05-26,95,2017,21,2017-05-31,True,False,False,NOT_IN_FOLD
2017-06-02,98,2017,22,2017-06-05,True,False,False,NOT_IN_FOLD
2017-06-09,103,2017,23,2017-06-12,True,False,False,NOT_IN_FOLD
2017-06-16,108,2017,24,2017-06-19,True,False,False,NOT_IN_FOLD
2017-06-23,113,2017,25,2017-06-26,True,False,False,NOT_IN_FOLD
2017-06-30,118,2017,26,2017-07-03,True,False,False,NOT_IN_FOLD
2017-07-07,123,2017,27,2017-07-10,True,False,False,NOT_IN_FOLD
2017-07-14,128,2017,28,2017-07-17,True,False,False,NOT_IN_FOLD
2017-07-21,133,2017,29,2017-07-24,True,False,False,NOT_IN_FOLD
2017-07-28,138,2017,30,2017-07-31,True,False,False,NOT_IN_FOLD
2017-08-04,143,2017,31,2017-08-07,True,False,False,NOT_IN_FOLD
2017-08-11,148,2017,32,2017-08-14,True,False,False,NOT_IN_FOLD
2017-08-18,153,2017,33,2017-08-21,True,False,False,NOT_IN_FOLD
2017-08-25,158,2017,34,2017-08-28,True,False,False,NOT_IN_FOLD
2017-09-01,163,2017,35,2017-09-04,True,False,False,NOT_IN_FOLD
2017-09-08,168,2017,36,2017-09-11,True,False,False,NOT_IN_FOLD
2017-09-15,173,2017,37,2017-09-18,True,False,False,NOT_IN_FOLD
2017-09-22,178,2017,38,2017-09-25,True,False,False,NOT_IN_FOLD
2017-09-29,183,2017,39,2017-10-09,True,False,False,NOT_IN_FOLD
2017-10-13,188,2017,41,2017-10-16,True,False,False,NOT_IN_FOLD
2017-10-20,193,2017,42,2017-10-23,True,False,False,NOT_IN_FOLD
2017-10-27,198,2017,43,2017-10-30,True,False,False,NOT_IN_FOLD
2017-11-03,203,2017,44,2017-11-06,True,False,False,NOT_IN_FOLD
2017-11-10,208,2017,45,2017-11-13,True,False,False,NOT_IN_FOLD
2017-11-17,213,2017,46,2017-11-20,True,False,False,NOT_IN_FOLD
2017-11-24,218,2017,47,2017-11-27,True,False,False,NOT_IN_FOLD
2017-12-01,223,2017,48,2017-12-04,True,False,False,NOT_IN_FOLD
2017-12-08,228,2017,49,2017-12-11,True,False,False,NOT_IN_FOLD
2017-12-15,233,2017,50,2017-12-18,True,False,False,NOT_IN_FOLD
2017-12-22,238,2017,51,2017-12-25,True,False,False,NOT_IN_FOLD
2017-12-29,243,2017,52,2018-01-02,True,False,False,NOT_IN_FOLD
2018-01-05,247,2018,1,2018-01-08,True,False,False,NOT_IN_FOLD
2018-01-12,252,2018,2,2018-01-15,True,False,False,NOT_IN_FOLD
2018-01-19,257,2018,3,2018-01-22,True,False,False,NOT_IN_FOLD
2018-01-26,262,2018,4,2018-01-29,True,True,True,EARLY
2018-02-02,267,2018,5,2018-02-05,True,True,True,EARLY
