source_artifact,source_sha256,cost_field,effective_start_date,expected_value,observed_value,inherited_value,status,blocking_reason
20A_v2_and_linked_EP19,2b164c5aff823b1ebddb679a93936dc3a637b4252ca10c8d4252d92e3bfee7ac,commission_buy_bps,ALL,2.5,2.5,2.5,pass,
20A_v2_and_linked_EP19,2b164c5aff823b1ebddb679a93936dc3a637b4252ca10c8d4252d92e3bfee7ac,commission_sell_bps,ALL,2.5,2.5,2.5,pass,
20A_v2_and_linked_EP19,2b164c5aff823b1ebddb679a93936dc3a637b4252ca10c8d4252d92e3bfee7ac,minimum_commission_cny,ALL,5,5,5,pass,
20A_v2_and_linked_EP19,2b164c5aff823b1ebddb679a93936dc3a637b4252ca10c8d4252d92e3bfee7ac,slippage_buy_bps,ALL,5,5,5,pass,
20A_v2_and_linked_EP19,2b164c5aff823b1ebddb679a93936dc3a637b4252ca10c8d4252d92e3bfee7ac,slippage_sell_bps,ALL,5,5,5,pass,
20A_v2_and_linked_EP19,2b164c5aff823b1ebddb679a93936dc3a637b4252ca10c8d4252d92e3bfee7ac,stamp_tax_proxy_bps,ALL,5,5,5,pass,
20A_v2_and_linked_EP19,2b164c5aff823b1ebddb679a93936dc3a637b4252ca10c8d4252d92e3bfee7ac,transfer_fee_buy_bps_post_2022_04_29,2022-04-29,0.1,0.1,0.1,pass,
20A_v2_and_linked_EP19,2b164c5aff823b1ebddb679a93936dc3a637b4252ca10c8d4252d92e3bfee7ac,transfer_fee_buy_bps_pre_2022_04_29,1990-12-19,0.2,0.2,0.2,pass,
