artifact_id,column_name,required,expected_dtype,observed_dtype,nullable_allowed,observed_null_n,status,blocking_reason
benchmark,close,True,contract_registered,present,False,,pass,
benchmark,date,True,contract_registered,present,False,,pass,
benchmark,index_alias,True,contract_registered,present,False,,pass,
benchmark,instrument,True,contract_registered,present,False,,pass,
benchmark,source_trade_date,True,contract_registered,present,False,,pass,
project_universe,available_time,True,contract_registered,present,False,,pass,
project_universe,instrument,True,contract_registered,present,False,,pass,
project_universe,membership_available_time,True,contract_registered,present,False,,pass,
project_universe,source_membership_date,True,contract_registered,present,False,,pass,
project_universe,total_market_cap_cny,True,contract_registered,present,False,,pass,
project_universe,usable_trade_date,True,contract_registered,present,False,,pass,
qfq_root,close,True,contract_registered,present,False,0,pass,
qfq_root,date,True,contract_registered,present,False,0,pass,
qfq_root,instrument,True,contract_registered,present,False,0,pass,
qfq_root,source_function,True,contract_registered,present,False,0,pass,
qfq_root,source_turnover_unit,True,contract_registered,present,False,0,pass,
qfq_root,source_volume_unit,True,contract_registered,present,False,0,pass,
security_master,delist_date,True,contract_registered,present,True,,pass,
security_master,instrument,True,contract_registered,present,False,,pass,
security_master,is_delisted,True,contract_registered,present,False,,pass,
security_master,listing_date,True,contract_registered,present,False,,pass,
security_master,metadata_source,True,contract_registered,present,False,,pass,
trading_calendar,trade_date,True,contract_registered,present,False,,pass,
