artifact_id,relative_path,dataset_role,file_size,row_count,date_min,date_max,sha256,status,blocking_reason
benchmark,topics/02_AFML_BIG_WINNER/data/processed/index/benchmark_indices_daily.csv,benchmark,998166,2281,2017-01-03,2026-05-29,5a423eca433727c40eb59799301f31d49065bb17cd3bb49e61074af70d87e54d,pass,
project_universe,topics/02_AFML_BIG_WINNER/data/processed/universe/pit_topn_400_100_executable_daily.csv,project_universe,495306944,1140000,2017-01-04,2026-05-29,e73968ddf54b646ab2d831467a0e2882970e5f96880df12c41bd01a39c243965,pass,
qfq_root,topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq,qfq_root,985335294,,2017-01-03,2026-05-29,f539f1d9aa0530024f6392a5ce7a60c0c9a929bc609b633d1d3e22861f64fc8e,pass,
security_master,topics/02_AFML_BIG_WINNER/data/raw/akshare/status/instrument_metadata_target_universe.csv,security_master,412496,4915,,,3175ae478bbfe9729d2b45cc0c8ca373fe903ee8d9acc9a96fed111441452601,pass,
trading_calendar,topics/02_AFML_BIG_WINNER/data/raw/akshare/status/trading_calendar.csv,trading_calendar,96778,2281,2017-01-03,2026-05-29,1d5ff82a6718fc4e19b95c98456813043b30aeaa1b452d591376b1d427c2b60d,pass,
