arm_id,family_id,formula_id,formation_sessions,holding_sessions,return_semantics,weighting,bucket_count,matrix_role,primary_gate_eligible,comparator_only,favorable_direction,claim_ceiling
SRC0_ALL_ELIGIBLE_BASELINE,short_term_market_residual_continuation_adaptation,NO_SCORE_BASELINE,0,5,project_conservative_close_to_close_proxy,EW,0,all_eligible_baseline,False,True,all,design_contaminated_historical_only
SRC0_ALL_ELIGIBLE_BASELINE,short_term_market_residual_continuation_adaptation,NO_SCORE_BASELINE,0,5,qfq_complete_case_sensitivity,EW,0,all_eligible_baseline,False,True,all,design_contaminated_historical_only
SRC0_ALL_ELIGIBLE_BASELINE,short_term_market_residual_continuation_adaptation,NO_SCORE_BASELINE,0,10,project_conservative_close_to_close_proxy,EW,0,all_eligible_baseline,False,True,all,design_contaminated_historical_only
SRC0_ALL_ELIGIBLE_BASELINE,short_term_market_residual_continuation_adaptation,NO_SCORE_BASELINE,0,10,qfq_complete_case_sensitivity,EW,0,all_eligible_baseline,False,True,all,design_contaminated_historical_only
SRC1_TOTAL_CONT_5D,short_term_market_residual_continuation_adaptation,TOT_5D_STANDARDIZED,5,5,project_conservative_close_to_close_proxy,EW,5,matched_total_comparator,False,True,high,design_contaminated_historical_only
SRC1_TOTAL_CONT_5D,short_term_market_residual_continuation_adaptation,TOT_5D_STANDARDIZED,5,5,project_conservative_close_to_close_proxy,EW,10,matched_total_comparator,False,True,high,design_contaminated_historical_only
SRC1_TOTAL_CONT_5D,short_term_market_residual_continuation_adaptation,TOT_5D_STANDARDIZED,5,5,project_conservative_close_to_close_proxy,VW,5,matched_total_comparator,False,True,high,design_contaminated_historical_only
SRC1_TOTAL_CONT_5D,short_term_market_residual_continuation_adaptation,TOT_5D_STANDARDIZED,5,5,project_conservative_close_to_close_proxy,VW,10,matched_total_comparator,False,True,high,design_contaminated_historical_only
SRC1_TOTAL_CONT_5D,short_term_market_residual_continuation_adaptation,TOT_5D_STANDARDIZED,5,5,qfq_complete_case_sensitivity,EW,5,matched_total_comparator,False,True,high,design_contaminated_historical_only
SRC1_TOTAL_CONT_5D,short_term_market_residual_continuation_adaptation,TOT_5D_STANDARDIZED,5,5,qfq_complete_case_sensitivity,EW,10,matched_total_comparator,False,True,high,design_contaminated_historical_only
SRC1_TOTAL_CONT_5D,short_term_market_residual_continuation_adaptation,TOT_5D_STANDARDIZED,5,5,qfq_complete_case_sensitivity,VW,5,matched_total_comparator,False,True,high,design_contaminated_historical_only
