split,seed_episode_id,instrument_id,step_signal_date,step_offset,added_family_set,added_family_count,step_status,included_in_primary_fresh_count
train,415c4914859f3d9e,SH600000,2017-11-22,1,price_trend|pullback_drawdown|volatility_band,3,outside_primary_fresh_window,False
train,415c4914859f3d9e,SH600000,2017-11-23,2,momentum_rps|pullback_drawdown,2,outside_primary_fresh_window,False
train,38fa37f8a1566144,SH600000,2018-01-24,10,price_trend|pullback_drawdown,2,same_offset_multi_family_step,True
train,9091f704601082ad,SH600000,2018-07-20,9,oscillator|price_trend|volume_money,3,same_offset_multi_family_step,True
train,9091f704601082ad,SH600000,2018-07-23,10,momentum_rps|pullback_drawdown,2,same_offset_multi_family_step,True
train,fe0ca11057cc8967,SH600000,2019-02-25,21,price_trend|pullback_drawdown,2,same_offset_multi_family_step,True
train,ad0e06d621afc2d1,SH600000,2019-04-16,7,price_trend|volume_money,2,same_offset_multi_family_step,True
train,72a3a5c5839b97ff,SH600000,2019-06-11,4,volatility_band|volume_money,2,same_offset_multi_family_step,True
train,72a3a5c5839b97ff,SH600000,2019-06-12,5,momentum_rps|pullback_drawdown,2,same_offset_multi_family_step,True
train,6b509e8b1c8ae4e8,SH600000,2019-07-25,4,oscillator|volume_money,2,same_offset_multi_family_step,True
train,dde33c849aa9f42c,SH600000,2019-10-11,20,price_trend|pullback_drawdown,2,same_offset_multi_family_step,True
train,ef21dbc4364fd5d8,SH600000,2020-04-29,16,momentum_rps|oscillator|price_trend|pullback_drawdown|volatility_band,5,same_offset_multi_family_step,True
train,223586065401db46,SH600000,2020-07-02,23,price_trend|pullback_drawdown|volatility_band,3,same_offset_multi_family_step,True
train,8263e19da1f5d30a,SH600000,2020-11-27,30,momentum_rps|pullback_drawdown|volatility_band|volume_money,4,after_observable_failure,False
train,4736fe599ba42089,SH600000,2020-12-01,1,pullback_drawdown|range_breakout|volatility_band,3,outside_primary_fresh_window,False
train,65c479e34a61efa2,SH600000,2021-01-15,2,oscillator|volume_money,2,outside_primary_fresh_window,False
train,65c479e34a61efa2,SH600000,2021-02-01,13,momentum_rps|price_trend,2,same_offset_multi_family_step,True
validation,672abba1b2bcf657,SH600000,2022-01-10,3,oscillator|volatility_band,2,same_offset_multi_family_step,True
validation,3349c733f20c51a3,SH600000,2022-04-06,3,volatility_band|volume_money,2,same_offset_multi_family_step,True
validation,eabd1cec60d9c4f9,SH600000,2022-09-09,20,oscillator|volume_money,2,same_offset_multi_family_step,True
validation,ae708ef3a8f17dc2,SH600000,2022-11-11,4,oscillator|range_breakout|volume_money,3,same_offset_multi_family_step,True
validation,d71729349f8205b6,SH600000,2023-03-03,2,oscillator|range_breakout|volatility_band,3,outside_primary_fresh_window,False
validation,b72ba6fbcaf01fc7,SH600000,2023-04-17,1,volatility_band|volume_money,2,outside_primary_fresh_window,False
validation,b72ba6fbcaf01fc7,SH600000,2023-04-18,2,volatility_band|volume_money,2,outside_primary_fresh_window,False
validation,b72ba6fbcaf01fc7,SH600000,2023-04-20,4,momentum_rps|pullback_drawdown|volatility_band,3,same_offset_multi_family_step,True
validation,674cc3891616a0fa,SH600000,2023-07-13,24,oscillator|volume_money,2,same_offset_multi_family_step,True
validation,a135c05c92bd5c2d,SH600000,2023-07-28,4,oscillator|pullback_drawdown|volume_money,3,same_offset_multi_family_step,True
validation,fc799be24c2b07e5,SH600000,2024-01-24,18,oscillator|volatility_band,2,same_offset_multi_family_step,True
robustness,0d20c231ddc0632e,SH600000,2024-07-02,25,oscillator|volatility_band|volume_money,3,after_observable_failure,False
robustness,0d20c231ddc0632e,SH600000,2024-07-03,26,oscillator|volatility_band,2,after_observable_failure,False
robustness,8315953bdb2d16f8,SH600000,2024-07-12,2,momentum_rps|pullback_drawdown,2,outside_primary_fresh_window,False
robustness,8315953bdb2d16f8,SH600000,2024-07-15,3,momentum_rps|oscillator|pullback_drawdown,3,same_offset_multi_family_step,True
robustness,916884769fa0945f,SH600000,2024-09-24,3,oscillator|price_trend|pullback_drawdown|volatility_band|volume_money,5,same_offset_multi_family_step,True
robustness,cbc65244f5e0c539,SH600000,2024-12-24,14,momentum_rps|oscillator|price_trend|pullback_drawdown|volatility_band,5,same_offset_multi_family_step,True
robustness,af2aaf02009b40b9,SH600000,2025-01-27,5,oscillator|pullback_drawdown|volatility_band,3,same_offset_multi_family_step,True
robustness,728560ea9771824b,SH600000,2025-03-18,2,momentum_rps|pullback_drawdown,2,outside_primary_fresh_window,False
robustness,728560ea9771824b,SH600000,2025-03-19,3,momentum_rps|pullback_drawdown,2,same_offset_multi_family_step,True
robustness,728560ea9771824b,SH600000,2025-04-16,22,price_trend|volatility_band,2,after_observable_failure,False
robustness,728560ea9771824b,SH600000,2025-04-17,23,price_trend|volatility_band,2,after_observable_failure,False
robustness,978f9d3080b40f1e,SH600000,2025-04-30,1,oscillator|volume_money,2,outside_primary_fresh_window,False
